195,198,41,NOAUTHOR,"АВИЛОВА. Первое горе. (Рассказы.) Изд. 2-е, М., Кн-во писателей в Москве, 1919. (Народношколоная б-ка.) Стр. 60, т. 7 000. * 42. — Пышная жизнь. «Камардин». М., Кн-во писателей в Мэскве, 1918. (Народношкольная б-ка.) Стр. 32, т. 20 000, ц. 50 к."
199,198,42,NOAUTHOR,MISSING
199,202,43,NOAUTHOR,"АВС ЮНЕВ И Ч В. Как мы защищаемая с моря. Кронштадт. М.—Л’., Огиз—Учпедгиз, 1931. (Краевая б-ка школьника.) Стр. 64, т. 10 000, ц. 35 к."
203,204,44,NOAUTHOR,"АГАПКИНА А. Вихран. (Рассказ.) Рис. К. Козловой. М., «Крестьянская газета», 1930. (Б-ка «Дружные ребята».) Стр. 32, т. 25 000, ц. 8 к."
205,208,45,NOAUTHOR,"АГНИВЦЕВ Н. Я. В защиту трубочиста. (Сказка.) Ряс. И. Малютина. М., «Молодая гвардия», 1926. Стр. 9, т. 10 000, ц. 45 к. * 46. — Винтик-шпунтик. Рис. В. Твардовского. Л., «Радуга», 1925. Стр. 9, т. 10 000, ц. 60 к."
209,208,46,NOAUTHOR,MISSING
209,212,47,ERRAUTHOR,"То же. Изд. 2-е, Л., «Радуга», 1927. Стр. 9, т. 20 000, ц. 35 к. ’ 48.— Война игрушек. (Стихи.)Рис. С. Мальта. Рязань, «Друзья детей», 1925. Стр. 16, -т. 10 000, ц. 90 к."
213,212,48,NOAUTHOR,MISSING
213,218,49,ERRAUTHOR,"Знакомые незнакомцы. Риз. П. Пастухова. Л.—М., «Радуга»-, 1925. Стр; 12, т. 30 000, ц. 23 к. * 50. — Как примус захотел Фордом сделаться. Машинная сказочка. Рис. К. Елисеева. Л., «Радуга», 1925. Стр. 15, т. 10 000, ц. 65 к. ~ 51. — То же. Изд. 2-е, Л.,* «Радуга», 1927. Стр. 11, т. 20 000, ц. 35 к."
219,218,50,NOAUTHOR,MISSING
219,218,51,NOAUTHOR,MISSING
219,226,52,ERRAUTHOR,"Кирпичики мои. (Стихи.) Рис. А.Жаба. Л., «Радуга», 1926. Стр. 11,т. 30 000, 23 к. 53/— То же. Изд. 2-е, Л., «Радуга», 1927. Стр. 11, т. 50 000, ц. 12 к. io"
227,226,53,NOAUTHOR,MISSING
227,228,54,ERRAUTHOR,"Китайская болтушка. (Стихи.) Рис. Ю. Ганфа. Рязань, «Друзья детей», 1925. Стр. 15, т. 10 000, ц. 90 к."
229,230,55,ERRAUTHOR,"Кит и сниток. (Стихи.) Рис. С. Рах-манина. Л., «Радуга», 1927. Стр. 8, т. 30 000, ц. 23 к."
231,234,56,ERRAUTHOR,"Маленький черный Мурзу к. (Стихи.) Рис. С. Адливанкина. М., «Молодая гвардия», 1926. Стр. 16, т. 10 000, ц. 55 к."
235,238,57,ERRAUTHOR,"Мыши из цирка. (Стихи.) Рис. B.  Твардовского. Л., «Радуга», 1927. Стр. 12, т. 30 000, ц. 23 к."
239,242,58,ERRAUTHOR,"То же. Л., «Радуга», 1930. Стр. 11, т. 60 000, ц. 10 к.              ."
243,244,59,ERRAUTHOR,"О бедном щегленке. (Стихи.) Рис. М. Пашкевич. М.—Л., «Радуга», 1927. Стр.11,' т. 30 0С0, ц. 23 к*"
245,252,60,ERRAUTHOR,"То же. Л., «Радуга», 1930. Стр. 11, т. 60 000, ц. 10 к. ’ 61. — Октябренок-постреленок. Рис. И. Малютина. М., «Октябренок». Стр. 11, т. 9 100,. ц. 85 к. J62. — О шестерых вот этих. (Сказка про Коминтерн.) Рис. К.'Рудакова. Л., «Книга», 1926. Стр. 12, т. 5 200, ц. 1 р."
253,252,61,NOAUTHOR,MISSING
253,252,62,NOAUTHOR,MISSING
253,254,63,ERRAUTHOR,"Разноцветные ребята. (Рис. О. Бонч.) Л., «Радуга», 1928. Стр. 11, т. 20 000, ц. 22 к."
255,256,64,ERRAUTHOR,"Ребя шй город. (Стихи.) Рис. В. Добровольского. Л., «Радуга», 1929. Стр. 11 , т. 20 000, ц. 30 к."
257,262,65,ERRAUTHOR,"Рикша из Шанхая. (Стихи.) Рис. C.  Адливанкина. М., «Молодая гвардия», 1927. Стр. 16, т. 10 000, ц. 55 к."
