author_std,n,nolang,nas,langs,default,enforce
Джамбул,7,0,4,казахский,казахский,yes
ДжангазиевМ,13,1,1,киргизский,киргизский,
ДжатиевТИ,8,0,5,осетинский,осетинский,
ДжемсВ,5,2,2,английский,английский,yes
ДжованьолиР,9,4,1,итальянский,итальянский,yes
ДжусуевС,2,1,0,киргизский,киргизский,
ДиккенсЧ,70,23,14,английский,английский,yes
ДильбазиМ,5,0,1,азербайджанский,азербайджанский,
ДинереЦ,5,1,0,латышский,латышский,
ДмитриевН,4,0,3,якутский,якутский,
ДоджММ,13,0,2,английский,английский,yes
ДодэА,13,6,3,французский,французский,yes
ДойльАК,23,1,7,английский,английский,yes
ДонченкоО,16,0,1,украинский,украинский,
ДорианНА,5,0,4,адыгейский,адыгейский,
ДризОО,44,1,8,идиш,идиш,
ДруцэИ,4,1,2,молдавский,молдавский,
ДубовкаВН,5,0,1,белорусский,белорусский,
ДуйсенбиевА,7,0,3,казахский,казахский,
ДыкЛ,2,1,0,вьетнамский,вьетнамский,
ДьяконовЛВ,28,0,27,сербский,,
ДюмаА,30,3,4,французский,французский,yes
ЕвстафьевН,2,0,1,чувашский,чувашский,
ЕгоровИИ,3,1,1,якутский,якутский,
ЕрикеевА,4,0,3,татарский,татарский,
ЖаколиоЛ,4,0,3,французский,французский,yes
ЖалсараевД,7,2,0,бурятский,бурятский,
ЖамбалонА,4,0,1,бурятский,бурятский,
ЖанэКХ,12,0,1,адыгейский,адыгейский,
ЖимбиевЦ,3,0,2,бурятский,бурятский,
ЖичкаФД,4,0,1,белорусский,белорусский,
ЖуковскаяЕА,13,0,12,французский,,
ЖукровскийВ,4,0,2,польский;вьетнамский,польский,yes
ЗабилаНЛ,53,1,6,украинский,украинский,
ЗадунайскаяЗ,5,0,4,итальянский,,no
ЗаканиО,2,1,0,таджикский,таджикский,
ЗалкаМ,7,0,6,венгерский,венгерский,yes
ЗальтенФ,6,0,2,немецкий,немецкий,yes
ЗарьянН,3,1,0,армянский,армянский,
ЗаславскийР,4,0,3,французский,,no
ЗбанацкийЮ,18,0,3,украинский,украинский,
ЗикмундМ,3,1,1,чешский,чешский,yes
ЗиловЛН,54,0,53,африканские,,no
ЗоляЭ,6,3,2,французский,французский,yes
ЗонлейтнерА,3,0,1,немецкий,немецкий,yes
ЗорьянС,7,0,2,армянский,армянский,
ЗубВА,6,0,2,белорусский,белорусский,
Зульфия,2,0,1,узбекский,узбекский,
ИваненкоВ,4,0,1,украинский,украинский,
ИваненкоОД,24,0,1,украинский,украинский,
ИвановВМ,6,0,5,марийский,марийский,
ИвановВен,3,0,1,марийский,марийский,
ИгебаевА,4,0,1,башкирский,башкирский,
ИкрамиД,2,0,1,таджикский,таджикский,
ИловайскийАД,3,0,2,вьетнамский,,
ИмерманисА,4,1,0,латышский,латышский,
ИмярековМ,2,1,0,мордовский,мордовский,
ИоселианиОШ,16,0,1,грузинский,грузинский,
ИрасекА,5,0,2,чешский,чешский,yes
ИрвингВ,7,2,3,английский,английский,yes
ИсаакянА,3,0,2,армянский,армянский,
