author_std,wdname,qid,result,gender,sex,birth,death,birth_year,death_year,author
БордаковПП,NA,NA,NA,m,NA,1882,1945,NA,NA,"Петров, А.; Петров, А. [проф. П. П. Бордаков]"
БордеИ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Борде, Инге"
БорейкоБМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Борейко, Б.; Борейко, Б. М."
БорецкийАВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борецкий, А. В."
БоржковцоваГ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Боржковцова, Г."
БорзенкоС,"Борзенко, Сергей Александрович",Q4093646,1,-,male,NA,NA,1909,1972,"Борзенко, С."
БорзовВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борзов, В.; Борзов, Валерий"
БорзуновГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борзунов, Г."
БорзуновС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борзунов, Семен"
БоринБ,"Борин, Борис Михайлович",Q4093705,1,m,male,NA,NA,1923,1984,"Борин, Б."
БоринК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борин, К."
БоринЯ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борин, Я."
БорисенкоН,NA,NA,NA,f,NA,NA,NA,NA,NA,"Борисенко, Надежда"
БорискинН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борискин, Николай"
Борисов-ВладимировН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов-Владимиров, Н."
БорисовА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов, А.; Борисов, Андрей"
БорисовБ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов, Б."
БорисовВГ,"Борисов, Виктор Гаврилович",Q24010302,1,m,male,NA,NA,1915,2007,"Борисов, В.; Борисов, В. Г.; Борисов, Виктор"
БорисовЕБ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов, Е.; Борисов, Е. Б.; Борисов, Евгений"
БорисовЕИ,"Борисов, Евгений Иванович",Q18634109,1,m,male,NA,NA,1853,1900,"Борисов, Е. И."
БорисовИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов, Игорь"
БорисовИП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов, И. П."
БорисовКД,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов, К. Д."
БорисовЛ,"Борисов, Леонид Ильич",Q4093865,1,m,male,NA,NA,1897,1972,"Борисов, Л.; Борисов, Леонид"
БорисовН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов, Н.; Борисов, Николай"
БорисовНА,"Борисов, Николай Александрович",Q106714525,1,m,male,NA,NA,1849;1850,1900,"Борисов, Н. А."
БорисовНВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов, Н. В."
БорисовПП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов, П. П."
БорисовР,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов, Р."
БорисовТМ,"Борисов, Трофим Михайлович",Q4093895,1,m,male,NA,NA,1882,1941,"Борисов, Т.; Борисов, Т. М.; Борисов, Трофим"
БорисовЭ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисов, Э."
БорисоваАК,"Борисова, Анна К",Q125663,1,f,male,NA,NA,1956,NA,"Борисова, А. К."
БорисоваГ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Борисова, Г."
БорисоваЕ,"Борисова, Екатерина Борисовна",Q21089365,1,f,female,NA,NA,1906,1972,"Борисова, Е.; Борисова, Екатерина"
БорисоваМИ,"Борисова, Майя Ивановна",Q45810050,1,f,female,NA,NA,1932,1996,"Борисова, М.; Борисова, М. И.; Борисова, Майя"
БорисоваР,NA,NA,NA,f,NA,NA,NA,NA,NA,"Борисова, Р.; Борисова, Раиса"
БорисовскийВВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Борисовский, В.; Борисовский, В. В."
БорисоглебскийМВ,"Борисоглебский, Михаил Васильевич",Q4094027,1,m,male,NA,NA,1896,1942,"Борисоглебский, М. В."
БоричевскаяЕ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Боричевская, Евинка"
