author_std,wdname,qid,result,gender,sex,birth,death,birth_year,death_year,author
НосовСС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Носов, С. С."
НоткинаЛ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Ноткина, Л."
НоульсД,"Ноульс, Джозеф",NA,2,-,NA,NA,NA,NA,NA,"Ноульс, Д."
НугмановМН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Нугманов, М. Н.; Нугманов, Мустафа"
НудельманР,"Нудельман, Рафаил Ильич ;Нудельман, Рафаил Эльевич",Q4327924,1,-,male,NA,NA,1931,2017,"Нудельман, Рафаил"
НуньесХ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Нуньес, Хименес Антонио"
НурС,NA,NA,NA,-,NA,NA,NA,NA,NA,"Нур, С."
НуриЗ,"Нури, Заки",Q3920970,1,m,male,NA,NA,1921,1984,"Нури, З.; Нури, Заки"
НурмагамбетовТ,"Нурмагамбетов, Тынымбай",Q12556747,1,m,male,NA,NA,1945,NA,"Нурмагамбетов, Т."
НуруллинВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Нуруллин, В."
НуруллинИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Нуруллин, Ибрагим"
НусиновИ,"Нусинов, Илья Исаакович",Q4328183,1,m,male,NA,NA,1920,1970,"Нусинов, Илья"
НусуповЧ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Нусупов, Ч."
НюрнбергМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Нюрнберг, М."
НёстлингерК,"Нёстлингер, Кристине",Q93652,1,-,female,NA,NA,1936,2018,"Нёстлингер, К."
ОбидиX,NA,NA,NA,-,NA,NA,NA,NA,NA,"Обиди, X."
ОблонскийА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Облонский, А."
ОбойщиковКА,"Обойщиков, Кронид Александрович",Q4329492,1,m,male,NA,NA,1920,2011,"Обойщиков, К. А.; Обойщиков, Кронид"
ОболенскаяЕ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Оболенская, Екатерина"
Обос-Апер,NA,NA,NA,-,NA,NA,NA,NA,NA,Обос-Апер
ОбрадовичС,"Обрадович, Сергей Александрович",Q1484985,1,-,male,NA,NA,1892,1956,"Обрадович, С."
ОбразцовИВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Образцов, И. В."
ОбразцовПА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Образцов, П.; Образцов, П. А.; Образцов, Пантелеймон"
ОбразцовСВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Образцов, С.; Образцов, С. В.; Образцов, Сергей"
ОбрантС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Обрант, С.; Обрант, Семен"
ОбрубовН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Обрубов, Н."
ОбручевВА,"Обручев, Владимир Афанасьевич",Q359568,1,m,male,NA,NA,1863,1956,"Обручев, В.; Обручев, В. А."
ОбручевСВ,"Обручев, Сергей Владимирович",Q4329921,1,m,male,NA,NA,1891,1965,"Обручев, С.; Обручев, С. В."
ОбрывалинА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Обрывалин, А.; Обрывалин, Александр"
ОбуховВМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Обухов, В. М."
ОбуховЛ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Обухов, Леонид"
ОбуховаЛА,"Обухова, Лидия Алексеевна",Q4330077,1,f,female,NA,NA,1922;1924,1991,"Обухова, Л. А.; Обухова, Лидия"
ОбуховаНА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Обухова, Н. А.; Обухова, Наталья"
ОваловЛС,"Овалов, Лев Сергеевич",Q4330617,1,m,male,NA,NA,1905,1997,"Овалов, Л. С."
ОваловП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Овалов, П."
ОввянАА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Оввян, А. А."
ОвечкинАА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Овечкин, А. А.; Овечкин, Александр"
ОвечниковВК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Овечников, В. К."
ОвсенковВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Овсенков, В."
ОвсепянРГ,"Овсепян, Рубен Геворгович ;Овсепян, Рубен Георгиевич",Q4330794,1,-,male,NA,NA,1939,2016,"Овсепян, Р. Г."
ОвсянниковИВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Овсянников, И. В."
ОвсянниковЮ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Овсянников, Юрий"
ОвсянниковаМ,"Овсянникова, Мария Дмитриевна",Q19910648,1,f,female,NA,NA,1904,1985,"Овсянникова, Мария"
ОвчаренкоАИ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Овчаренко, А. И."
ОвчаренкоЛН,NA,NA,NA,-,NA,NA,NA,NA,NA,"Овчаренко, Л. Н."
ОвчаренкоФЕ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Овчаренко, Ф. Е."
ОвчаровК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Овчаров, К."
ОвчароваНГ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Овчарова, Н. Г.; Овчарова, Наталья"
ОвчинниковВВ,"Овчинников, Всеволод Владимирович",Q4330919,1,m,male,NA,NA,1926,2021,"Овчинников, В.; Овчинников, В. В.; Овчинников, Всеволод"
ОвчинниковНН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Овчинников, Н. Н.; Овчинников, Николай"
ОвчинниковЮА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Овчинников, Ю. А."
ОвчинниковаАА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Овчинникова, А. А."
ОганесянВА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Оганесян, В. А."
ОганисьянЮС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Оганисьян, Ю.; Оганисьян, Ю. С.; Оганисьян, Юлий"
ОгаревНП,"Огарев, Николай Платонович",Q374362,1,m,male,NA,NA,1813,1877,"Огарев, Н. П."
ОглоблинАИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Оглоблин, А. И."
ОгневВФ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Огнев, В.; Огнев, В. Ф.; Огнев, Владимир"
ОгневН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Огнев, Н."
ОгневСИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Огнев, С. И."
ОгневскийЛ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Огневский, Л.; Огневский, Леонид"
ОгнецветЭС,"Огнецвет, Эди Семёновна",Q4331114,1,-,female,NA,NA,1913,2000,"Огнецвет, Э.; Огнецвет, Э. С.; Огнецвет, Эди."
ОгородниковА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Огородников, А."
ОграновичМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Огранович, М."
ОгульчанскийА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Огульчанский, А."
Одабаш,"Одабаш, Абибулла Абдурешидович",Q10973960,1,m,male,1891,1937,1881;1891,1937,Одабаш [Тимурджан]
ОдарИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Одар, И.; Одар, Иван"
ОдинцовА,"Одинцов, Арнольд Борисович",Q16682551,1,m,male,NA,NA,1913,1971,"Одинцов, Арнольд"
ОдинцовВВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Одинцов, В. В."
ОдинцовМ,"Одинцов, Михаил Петрович",Q4331606,1,m,male,NA,NA,1921,2011,"Одинцов, М."
ОднараловНВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Однаралов, Н."
ОднораловНВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Одноралов, Н.; Одноралов, Н. В."
ОдоевскийВФ,"Одоевский, Владимиръ Феодорович",Q468067,1,m,male,NA,NA,1803;1804,1869,"Одоевский, В.; Одоевский, В. Ф."
ОельшлегельГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Оельшлегель, Готтфрид"
ОжешкоЭ,"Ожешко, Элиза",Q240174,1,-,female,NA,NA,1841,1910,"Ожешко, Э."
ОжоговскаяГ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Ожоговская, Г.; Ожоговская, Ганна"
ОзаровскаяОЭ,"Озаровская, Ольга Эрастовна",Q15076757,1,f,female,NA,NA,1874,1931;1933,"Озаровская, О. Э."
ОзерецкаяЕЛ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Озерецкая, Е.; Озерецкая, Е. Л.; Озерецкая, Елена"
ОзернаяР,NA,NA,NA,f,NA,NA,NA,NA,NA,"Озерная, Р."
ОзерныйБ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Озерный, Б.; Озерный, Борис"
ОзеровА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Озеров, Алексей"
ОзеровМВ,"Озеров, Михаил Витальевич",Q30345830,1,m,male,NA,NA,1944,NA,"Озеров, М. В.; Озеров, Михаил"
ОзолинВЯ,"Озолин, Вильям Янович",Q4332228,1,m,male,NA,NA,1931,1997,"Озолин, В. Я."
ОзолиньЯ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Озолинь, Я."
ОзолиняН,NA,NA,NA,-,NA,NA,NA,NA,NA,"Озолиня, Н."
ОйслендерА,"Ойслендер, Александр Ефимович",Q28359338,1,m,male,NA,NA,1908,1963,"Ойслендер, Александр"
ОйфаП,"Ойфа, Пётр Наумович",Q108667570,1,-,male,NA,NA,1907,1987,"Ойфа, П."
ОйхманБ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Ойхман, Б."
ОкадоИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Окадо, Иосико"
ОкининНМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Окинин, Н. М."
ОкладниковАП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Окладников, А. П."
ОкладниковИС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Окладников, И. С."
ОкладниковаЕА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Окладникова, Е. А."
ОксВ,"Окс, Виктор Борисович",Q55654408,1,-,male,NA,NA,1879,1954,"Окс, В."
ОкскийГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Окский, Г.; Окский, Гурий"
ОкуджаваБ,"Окуджава, Булат Шалвович",Q239652,1,f,male,NA,NA,1924,1997,"Окуджава, Булат"
ОкуневЯМ,"Окунев, Яков Маркович",Q4333348,1,m,male,NA,NA,1882,1932,"Окунев, Я. М."
ОлдинС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Олдин, С.; Олдин, Сесиль"
ОлдриджД,"Олдридж, Джеймс",Q1340595,1,m,male,NA,NA,1918,2015,"Олдридж, Д.; Олдридж, Джеймс"
ОлдричТБ,"Олдрич, Томас Бейли",Q922191,1,-,male,NA,NA,1836,1907,"Олдрич, Т. Б."
ОлевН,"Олев, Наум Миронович",Q1972053,1,m,male,NA,NA,1939,2009,"Олев, Наум"
ОлевскаяМИ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Олевская, М. И."
ОлевскийБ,"Олевский, Борис Абрамович",Q21111062,1,m,male,NA,NA,1908,1941,"Олевский, Б."
ОлейникГА,"Олейник, Григорий Антонович",NA,2,-,NA,NA,NA,NA,NA,"Олейник, Г. А."
ОлейникЕФ,"Олейник, Евгений Федорович",NA,2,-,NA,NA,NA,NA,NA,"Олейник, Е. Ф."
ОлейникС,"Олейник, Степан Иванович",Q3849104,1,m,male,NA,NA,1908,1982,"Олейник, Степан"
ОлейниковНМ,"Олейников, Николай Макарович",Q1957798,1,m,male,NA,NA,1898,1937,"Кравцов, С.; Олейников, Н. М.; Свирепый, М."
ОлексенкоЕ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Олексенко, Е."
ОленинН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Оленин, Н."
ОленинаР,NA,NA,NA,f,NA,NA,NA,NA,NA,"Оленина, Рада"
ОленинаС,NA,NA,NA,f,NA,NA,NA,NA,NA,"Оленина, Светлана"
Оленич-ГнененкоАП,"Оленич-Гнененко, Александр Павлович",Q4333599,1,m,male,NA,NA,1893,1963,"Оленич-Гнененко, А.; Оленич-Гнененко, А. П.; Оленич-Гнененко, Александр"
ОлесяО,NA,NA,NA,-,NA,NA,NA,NA,NA,"Олеся, О."
ОлешаЮК,"Олеша, Юрий Карлович",Q380000,1,m,male,NA,NA,1899,1960,"Олеша, Ю.; Олеша, Ю. К.; Олеша, Юрий"
ОливерX,NA,NA,NA,-,NA,NA,NA,NA,NA,"Оливер, X."
ОливьеЖ,"Оливье, Жан",Q1821778,1,-,male,NA,NA,1925,2005,"Оливье, Жан."
ОлоА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Оло, А."
ОлофинскийН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Олофинский, Николай"
ОлсуфьеваА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Олсуфьева, А."
ОлуичГ,"Олуич, Гроздана",Q866323,1,-,female,NA,NA,1934,2019,"Олуич, Г."
ОльГ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Оль, Гр."
ОльгинС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Ольгин, С."
ОльгинЯ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Ольгин, Я."
ОлькотЛ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Олькот, Л."
ОльхонА,"Ольхон, Анатолий Сергеевич",Q4334362,1,m,male,NA,NA,1903,1950,"Ольхон, А.; Ольхон, Анатолий"
ОльчеваМА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Ольчева, М. А."
ОльченкоД,NA,NA,NA,m,NA,NA,NA,NA,NA,"Ольченко, Дмитрий"
ОльченкоДД,NA,NA,NA,-,NA,NA,NA,NA,NA,"Ольченко, Д. Д."
ОльшанскийАА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Ольшанский, А. А."
ОльшанскийВИ,"Ольшанский, Виктор Иосифович",Q4334442,1,m,male,NA,NA,1954,NA,"Ольшанский, В. И."
ОльшанскийИГ,"Ольшанский, Иосиф Григорьевич",Q4334446,1,m,male,NA,NA,1917,2004,"Ольшанский, И.; Ольшанский, И. Г.; Ольшанский, Иосиф"
ОльшевскаяЗ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Ольшевская, З."
ОльшевскаяФ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Ольшевская, Ф."
ОльшевскийР,"Ольшевский, Рудольф Александрович",Q4334484,1,m,male,NA,NA,1938,2003,"Ольшевский, Р.; Ольшевский, Рудольф"
ОлютинЕ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Олютин, Е."
ОмаровАТ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Омаров, А. Т."
ОмаровМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Омаров, М."
ОмаровС,"Омаров, Сейтжан",Q4334542,1,m,male,NA,NA,1906,1985,"Омаров, Сейтжан"
ОмаровТК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Омаров, Т. К."
Омбыш-КузнецовСО,NA,NA,NA,m,NA,NA,NA,NA,NA,"Омбыш-Кузнецов, С. О.; Омбыш-Кузнецов, С."
ОмельченкоВМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Омельченко, В. М."
ОмельченкоНМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Омельченко, Н. М.; Омельченко, Николай"
ОметаВ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Омета, В."
ОмирбековЖ,"Омирбеков, Жаппар Ералинович",Q16434165,1,m,male,NA,NA,1920,2010,"Омирбеков, Жаппар"
ОморовА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Оморов, А."
ОндарБЛ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Ондар, Б. Л.-С.; Ондар, Бичеоол"
ОндрейовЛ,"Ондрейов, Людо",Q3504212,1,m,male,NA,NA,1901,1962,"Ондрейов, Людо"
ОнегинаТ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Онегина, Т."
ОнегинаТД,NA,NA,NA,f,NA,NA,NA,NA,NA,"Онегина, Т. Д."
ОнеговАС,"Онегов, Анатолий Сергеевич",Q4334854,1,m,male,NA,NA,1934,2021,"Онегов, А.; Онегов, А. С.; Онегов, Анатолий"
ОникаН,NA,NA,NA,-,NA,NA,NA,NA,NA,"Оника, Н."
ОнищенкоО,NA,NA,NA,m,NA,NA,NA,NA,NA,"Онищенко, О.; Онищенко, Олег"
ОношкевичА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Оношкевич, А."
ОношковичА,NA,NA,NA,-,NA,NA,NA,NA,NA,"Оношкович, Ад."
ОнрудГ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Онруд, Г."
ОпаринАИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Опарин, А.; Опарин, А. И.; Опарин, А. И. [акад.]; Опарин, А. И. [проф.]"
ОпендакЕ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Опендак, Е."
ОполовниковАВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Ополовников, А. В.; Ополовников, Александр"
ОпочининЕ,"Опочинин, Евгений Николаевич",Q4335422,1,m,male,NA,NA,1858,1928,"Опочинин, Е."
ОпрышкоОЛ,"Опрышко, Олег Леонидович",Q4335487,1,-,male,NA,NA,1936,NA,"Опрышко, О. Л."
ОразбердыеваО,NA,NA,NA,f,NA,NA,NA,NA,NA,"Оразбердыева, О.; Оразбердыева, Огультэч"
ОратовскийИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Оратовский, И."
ОрбеллиР,NA,NA,NA,-,NA,NA,NA,NA,NA,"Орбелли, Расудана"
ОрджоникидзеВ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Орджоникидзе, Виль"
ОрджоникидзеГК,NA,NA,NA,-,NA,NA,NA,NA,NA,"Орджоникидзе, Г. К."
ОрджоникидзеЭГ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Орджоникидзе, Э. Г."
ОрдухановАР,NA,NA,NA,m,NA,NA,NA,NA,NA,"Ордуханов, А. Р."
ОрдынскаяЕ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Ордынская, Е."
ОрдынскаяТ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Ордынская, Татьяна"
ОреховскийА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Ореховский, А."
ОреховскийН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Ореховский, Н."
ОрешинП,"Орешин, Петр Васильевич",Q1684135,1,m,male,NA,NA,1887,1938,"Орешин, П.; Орешин, Петр"
ОрешкинБС,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орешкин, Б.; Орешкин, Б. С."
ОрешковВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орешков, В."
ОрешковГВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орешков, Г. В."
ОржеховскаяФМ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Оржеховская, Ф.; Оржеховская, Ф. М.; Оржеховская, Фаина"
ОрликЮГ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Орлик, Ю. Г."
ОрлинскаяЛ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Орлинская, Л."
Орлов,NA,NA,NA,m,NA,NA,NA,NA,NA,ОРЛОВ
ОрловБ,"Орлов, Борис Георгиевич",NA,2,m,NA,1922,1964,NA,NA,"Орлов, Б."
ОрловВА,"Орлов, Владимир Александрович",NA,2,m,NA,NA,NA,NA,NA,"Орлов, В. А."
ОрловВВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орлов, В. В.; Орлов, Владимир Васильевич"
ОрловВГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орлов, Василий"
ОрловВИ,"Орлов, Владимир Иванович",Q4336645,1,m,male,NA,NA,1916,1974,"Орлов, В.; Орлов, В. И.; Орлов, Вл."
ОрловВН,"Орлов, Владимир Натанович",Q4336647,1,m,male,NA,NA,1930,1999,"Орлов, В. Н.; Орлов, Виктор; Орлов, Владимир; Орлов, Владимир Н.; Орлов, Владимир Натанович"
ОрловВТ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орлов, В. Т.; Орлов, Владимир Т."
ОрловГФ,"Орлов, Георгий Фёдорович ;Орлов, Георгий Федорович",Q4336662,1,m,male,NA,NA,1925,2007,"Орлов, Г. Ф."
ОрловДК,"Орлов, Даль Константинович",Q12136377,1,m,male,NA,NA,1935,2021,"Орлов, Д. К.; Орлов, Даль"
ОрловНИ,"Орлов, Николай Иванович",NA,2,m,NA,1891,NA,NA,NA,"Орлов, Н.; Орлов, Николай"
ОрловОП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орлов, О. П."
ОрловП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орлов, П.; Орлов, Петр"
ОрловСС,"Орлов, Сергей Сергеевич",Q4336714,1,m,male,NA,NA,1921,1977,"Орлов, С. С.; Орлов, Сергей"
ОрловФК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орлов, Ф. К."
ОрловаА,NA,NA,NA,f,NA,NA,NA,NA,NA,"Орлова, А.; Орлова, Арита"
ОрловаАН,NA,NA,NA,f,NA,NA,NA,NA,NA,"Орлова, А. Н."
ОрловаЕМ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Орлова, Е. М."
ОрловаЕН,NA,NA,NA,f,NA,NA,NA,NA,NA,"Орлова, Е. Н."
ОрловаМ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Орлова, М."
ОрловаН,NA,NA,NA,f,NA,NA,NA,NA,NA,"Орлова, Н."
ОрловецП,NA,NA,NA,-,NA,NA,NA,NA,NA,"Орловец, П."
ОрловскаяИ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Орловская, И."
ОрловскийБ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орловский, Борис"
ОрловскийЛ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орловский, Л."
ОроЮ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Оро, Ю."
ОрскийБ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Орский, Б."
ОртенбергД,NA,NA,NA,-,NA,NA,NA,NA,NA,"Ортенберг, Д."
ОртыковБ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Ортыков, Болта"
ОруджевА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Оруджев, А."
ОрцевиМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Орцеви, М."
ОсГМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Ос; Ос, Г.; Ос, Г. М."
ОсадчаяАП,NA,NA,NA,f,NA,NA,NA,NA,NA,"Осадчая, А. П."
ОсадчийОМ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осадчий, О. М.; Осадчий, Олег"
ОсееваВА,"Осеева, Валентина Александровна",Q4337560,1,f,female,NA,NA,1902,1969,"Осеева, В.; Осеева, В. А.; Осеева, Валентина"
ОсетровЕИ,"Осетров, Евгений Иванович",Q15845736,1,m,male,NA,NA,1923,1993,"Осетров, Е.; Осетров, Е. И.; Осетров, Евгений"
ОсецкаяА,"Осецкая, Агнешка",Q467368,1,f,female,NA,NA,1936,1997,"Осецкая, Агнешка"
ОсинА,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осин, А."
ОсининНП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осинин, Н.; Осинин, Н. П.; Осинин, Николай"
ОсиповАГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осипов, Альберт"
ОсиповАМ,"Осипов, Александр Михайлович",NA,2,m,NA,1897,1969,NA,NA,"Осипов, А. М."
ОсиповАМ,"Осипов, Александр Михайлович",NA,2,m,NA,NA,NA,NA,NA,"Осипов, А."
ОсиповАП,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осипов, А. П.; Осипов, Алексей"
ОсиповВ,"Осипов, Владимир Николаевич",Q4337866,1,m,male,NA,NA,1938,2020,"Осипов, Владимир"
ОсиповВБ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осипов, В. Б."
ОсиповВД,"Осипов, Валерий Дмитриевич",Q4007841,1,m,male,NA,NA,1930,1987,"Осипов, Валерий"
ОсиповИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осипов, И."
ОсиповК,"Осипов, К.",Q15720310,1,m,male,NA,NA,1900,1955,"Осипов, К."
ОсиповНФ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осипов, Н.; Осипов, Н. Ф.; Осипов, Николай"
ОсиповЮК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осипов, Ю. К."
ОсиповаЗ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Осипова, Зинаида"
ОсиповаНX,NA,NA,NA,f,NA,NA,NA,NA,NA,"Осипова, Н. X."
ОсиповаНХ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Осипова, Н.; Осипова, Нелли"
ОситеМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Осите, М."
ОскаровВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Оскаров, В."
ОсманисЯВ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Османис, Я.; Османис, Я. В.; Османис, Язеп"
ОсмоналиевК,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осмоналиев, К."
ОсмоновА,"Осмонов, Алыкул",Q1961785,1,m,male,NA,NA,1915,1950,"Осмонов, А.; Осмонов, Алыкул"
ОсовскийЕГ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осовский, Е. Г."
ОсокинВ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осокин, Василий"
ОсокинВИ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осокин, В.; Осокин, В. И."
ОсокинВН,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осокин, В. Н."
ОсокинЕ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Осокин, Е.; Осокин, Евгений"
ОстапенкоГ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Остапенко, Галина"
ОсташеваН,NA,NA,NA,f,NA,NA,NA,NA,NA,"Осташева, Нина"
ОсташинскийН,"Осташинский, Наум Иосифович",Q17748998,1,m,male,NA,NA,1927,2004,"Осташинский, Н."
ОстенВ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Остен, В."
ОстенМ,"Остен, Мария",Q75766,1,f,female,NA,NA,1908,1942,"Остен, Мария"
ОстенкоИ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Остенко, И."
ОстерГБ,"Остер, Григорий Бенционович",Q1071688,1,m,male,NA,NA,1947,NA,"Остер, Г.; Остер, Г. Б.; Остер, Григорий"
ОстрецоваЛ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Острецова, Л.; Острецова, Лидия"
ОстриковИ,"Остриков, Иван Димитров",Q55758225,1,m,male,NA,NA,1929,1980,"Остриков, Иван"
ОстровенецАМ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Островенец, А. М."
ОстроверЛ,NA,NA,NA,-,NA,NA,NA,NA,NA,"Островер, Л."
ОстровойС,"Островой, Сергей Григорьевич",Q4338985,1,m,male,NA,NA,1911,2005,"Островой, С.; Островой, Сергей"
ОстровскаяВ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Островская, В."
ОстровскаяЭ,NA,NA,NA,f,NA,NA,NA,NA,NA,"Островская, Э.; Островская, Эльфрида"
ОстровскиxПЕ,NA,NA,NA,m,NA,NA,NA,NA,NA,"Островский, П. Е."
ОстровскийАД,NA,NA,NA,m,NA,NA,NA,NA,NA,"Островский, А.; Островский, А. Д."
