ФИО;Название;Жанр;Год издания;Тираж;Для младшего возраста;Для среднего возраста;Для старшего возраста;Примечания;Место издания;Пол
Кауров В.;В дальний путь;;1951;30000;0;1;0;;"Москва; Ленинград";м
Кауров В.;В дальний путь;;1952;25000;0;1;0;;Челябинск;м
Кауров В.;В дальний путь;;1952;25000;0;1;0;;Челябинск;м
Кауров В.;В дальний путь;;1952;25000;0;1;0;;Челябинск;м
Коковин Е.;Детство в Соломбале;;1951;400000;1;0;0;;"Москва; Ленинград";м
Коковин Е.;Детство в Соломбале;;1952;100000;1;0;0;;"Москва; Ленинград";м
Коковин Е.;Детство в Соломбале;;1951;15000;0;1;0;;Архангельск;м
Коломиец А.;Одноклассники;;1951;10000;0;1;0;;Краснодар;м
Кононов А.;Верное сердце;;1952;30000;0;1;1;;"Москва; Ленинград";м
Косов С.;Митина пятерка;;1952;30000;1;0;0;;"Москва; Ленинград";м
Котовщикова А.;Они стали пионерами;;1951;30000;1;0;0;;"Москва; Ленинград";ж
Кривоносова З.;Интересное путешествие;;1951;15000;1;0;0;;Ставрополь;ж
Кузнецова А.;Твой дом ;;1951;30000;1;1;0;;Новосибирск;ж
Ликстанов И.;Приключения юнги;;1951;30000;0;1;0;x;Свердловск;м
Ликстанов И.;Приключения юнги;;1952;30000;1;0;0;x;Симферопль;м
Львова К.;Настойчивый характер;;1951;90000;0;1;0;;Москва;ж
Мар Е.;Дом, в котором ты учишься;;1951;30000;1;0;0;;"Москва; Ленинград";м
Марьенков М.;Знак дружбы;;1951;30000;0;1;1;;Петрозаводск;м
Матвеев Г.;Первая весна;;1952;45000;0;1;0;;Ленинград;м
Матушкин В.;В одном классе;;1952;20000;0;1;0;x;Сталинград;м
Мусатов А.;Дом на горе;;1951;30000;0;1;1;;"Москва; Ленинград";м
Мусатов А.;Дом на горе;;1952;150000;0;1;1;;"Москва; Ленинград";м
Мусатов А.;Дом на горе;;1952;15000;0;1;1;;Куйбышев;м
Никитич Н.;Андрюша идет в школу;;1952;30000;1;0;0;;"Москва; Ленинград";ж
Носов Н.;Веселая семейка;;1951;150000;1;0;0;;"Москва; Ленинград";м
Носов Н.;Веселая семейка;;1951;15000;1;0;0;;Симферопль;м
Носов Н.;Веселая семейка;;1952;100000;1;0;0;;"Москва; Ленинград";м
Носов Н.;Веселая семейка;;1952;100000;1;0;0;;Ярославль;м
Носов Н.;Витя Малеев в школе и дома;;1952;30000;1;0;0;;"Москва; Ленинград";м
Носов Н.;Витя Малеев в школе и дома;;1952;150000;1;0;0;;"Москва; Ленинград";м
Носов Н.;Витя Малеев в школе и дома;;1952;150000;1;0;0;;"Москва; Ленинград";м
Носов Н.;Витя Малеев в школе и дома;;1952;100000;1;0;0;;Ленинград;м
Носов Н.;Дневник Коли Синицына;;1951;400000;1;0;0;;"Москва; Ленинград";м
Носов Н.;Дневник Коли Синицына;;1952;75000;1;0;0;;Тюмень;м
Осеева В.;Васёк Трубачёв и его товарищи. Книга первая;;1951;150000;1;1;0;;"Москва; Ленинград";ж
Осеева В.;Васёк Трубачёв и его товарищи. Книга первая;;1951;150000;1;1;0;;"Москва; Ленинград";ж
Осеева В.;Васёк Трубачёв и его товарищи. Книга вторая;;1951;30000;1;1;0;;"Москва; Ленинград";ж
Осеева В.;Васёк Трубачёв и его товарищи. Книга вторая;;1952;100000;1;0;0;;"Москва; Ленинград";ж
Осеева В.;Васёк Трубачёв и его товарищи. Книга вторая;;1952;100000;1;0;0;;"Москва; Ленинград";ж
Осеева В.;Васёк Трубачёв и его товарищи. Книги первая и вторая;;1952;150000;1;1;0;;"Москва; Ленинград";ж
Осеева В.;Васёк Трубачёв и его товарищи. Книги первая и вторая;;1952;100000;1;1;0;;Ленинград;ж
Осеева В.;Васёк Трубачёв и его товарищи. Книга третья;;1952;30000;1;1;0;;"Москва; Ленинград";ж
Осеева В.;Волшебное слово;;1951;20000;1;0;0;;Ростов;ж
Осетров Е.;Подземные сокровища;;1951;20000;0;1;0;x;Владимир;м
Осинин Н.;Через все преграды;;1951;30000;0;1;1;x;Новосибирск;м
Перфильева А.;Путь-дорога;;1951;30000;0;1;1;x;"Москва; Ленинград";ж
Прилежаева М.;Над волгой;;1952;30000;0;1;1;;"Москва; Ленинград";ж
Розанов С.;Беспокойная пятерка;;1952;15000;1;0;0;;Саратов;м
Розанов С.;Приключения травки;;1951;400000;1;0;0;;"Москва; Ленинград";м
Рязанова Е.;Первый день;;1952;15000;1;1;0;;Саратов;ж
Рысс Е.;Воспитанник капитанов;;1951;30000;0;1;0;x;"Москва; Ленинград";м
Саконская Нина и Соколовский Александр;Добро пожаловать;;1952;30000;1;0;0;;"Москва; Ленинград";м и ж
Селянкин О.;Есть, так держать;;1952;10000;0;1;1;;Молотов;м
Сёмин Л.;Вторая весна;;1952;30000;1;0;0;;"Москва; Ленинград";м
Толстой А.;Желтухин;;1951;30000;1;0;0;;Саратов;м
Устюгов А.;У моста;;1951;15000;1;1;0;;Киров;м
Финакина Т.;Наши знакомые;;1952;15000;1;0;0;x;Калуга;ж
Чебаевский Н.;Полный вперед;;1952;30000;0;1;0;x;Барнаул;м
Шим Э.;Лето на Корбе;;1951;30000;1;0;0;;"Москва; Ленинград";м
Шишов А.;Жаркие дни;;1952;15000;1;0;0;;Иваново;м
Шманкевич А.;Самое главное;;1951;30000;0;1;0;x;Хабаровск;м
Шундик Н.;На севере дальнем;;1952;30000;0;1;1;;"Москва; Ленинград";м
Шошин М.;Чуткие товарищи;;1952;15000;1;0;0;;Иваново;м
Эмден Э.;Школьный год Марины Петровой;;1952;30000;0;1;0;;"Москва; Ленинград";ж
Яровая М.;В одном селе;;1952;15000;0;1;0;x;Киров;ж
