ФИО,Название,Жанр,Год издания,Тираж,Для младшего возраста,Для среднего возраста,Для старшего возраста,Примечания,Место издания,Пол
"Караев, Г.;Успенский, Л.",В копорском замке,,1941,150000,0,1,1,0,Ленинград,м
"Караев, Г.;Успенский, Л.",Пулковский меридиан,Повесть,1939,25000,0,0,1,0,Москва; Ленинград,м
"Карягин, П. Ф.",У белых камней,Рассказы,1941,5000,0,1,1,0,Ашхабад,м
"Кассиль, Л.",Веливое противостояние,,1941,25000,0,0,1,0,Москва; Ленинград,м
"Кассиль, Л.",Дорогие мои мальчишки,Повесть,1944,45000,0,1,0,0,Москва; Ленинград,м
"Кассиль, Л.",Друзья-товарищи,Рассказы,1942,50000,1,1,0,0,Свердловск,м
"Кассиль, Л.",Необычный урок,Рассказ,1942,15000,1,1,0,0,Пятигорск,м
"Кассиль, Л.",Обыкновенные ребята,Рассказы,1942,30000,0,0,1,0,Москва; Ленинград,м
"Кассиль, Л.","Черемыш, брат героя",Повесть,1940,177000,1,0,0,0,Москва; Ленинград,м
"Кассиль, Л.","Черемыш, брат героя",,1944,10000,1,1,0,0,Куйбышев,м
"Катаев, В.",Белеет парус одинокий,Повесть,1940,50000,0,1,1,0,Москва; Ленинград,м
"Катаев, В.",Белеет парус одинокий,Повесть,1940,25000,0,1,1,0,Москва; Ленинград,м
"Катаев, В.",Белеет парус одинокий,Повесть,1944,30000,0,1,1,0,Москва; Ленинград,м
"Катаев, В.",Сон,Рассказ,1941,50000,1,0,0,0,Москва; Ленинград,м
"Катаев, В.",Сон,Рассказ,1942,3000,0,1,0,0,Сталинбад,м
"Катаев, В.",Сын полка,Повесть,1945,30000,0,1,0,0,Москва; Ленинград,м
"Катаев, В.",Сын полка,Повесть,1945,30000,1,1,0,0,Москва; Ленинград,м
"Катаев, В.",Сын полка,Повесть,1945,30000,0,1,0,0,Магадан,м
"Катаев, В.",Флаг,Рассказ,1942,25000,0,1,1,0,Москва; Ленинград,м
"Климов, А.",Твои сверстники,Рассказы,1943,15000,0,1,1,0,Челябинск,м
"Коковин, Е.",Вожак санитарной упряжки,Повесть,1945,15000,0,1,1,0,Архангельск,м
"Колдунков, Е.",Зеленая кобылка,,1940,10000,0,1,0,0,Свердловск,м
"Колосов, А.",Военно-почтовые голуби,,1935,15000,0,0,1,0,Москва; Ленинград,м
"Кононенко, Е.",Товарищи,Рассказы,1942,25000,0,0,1,0,Киров,м
"Кононов, А. Т.",Имя отряда,,1945,75000,0,1,0,0,Москва; Ленинград,м
"Костыков, Ю.",Волшебная лампа,,1944,50000,0,0,1,0,Москва,м
"Кочин, Н.",Колубин,,1941,10000,0,1,1,0,Горький,м
"Кретова, О. К.",В стране чудес,Рассказ,1940,10000,0,1,1,0,Воронеж,м
"Кретова, О. К.",Старший брат,Рассказ,1941,5130,0,1,1,0,Воронеж,м
"Кристалинский, В. Г.",Веселый спутник,,1944,2000,0,1,0,0,Москва,м
"Курочкин, В. С.",Морской чорт,Рассказ,1940,25000,0,1,1,0,Москва; Ленинград,м
"Леонов, С.",Сердца отважных,,1941,25000,0,1,1,0,Ленинград,м
"Лесков, Н. С.",Железная воля,Рассказ,1945,50000,0,0,1,0,Москва; Ленинград,м
"Лесков, Н. С.",Рассказы,,1942,50000,0,1,1,0,Москва; Ленинград,м
"Лесков, Н. С.",Рассказы и повести,,1944,50000,1,1,0,0,Москва; Ленинград,м
"Ликстанов, И. И.",Красные флажки,Повесть,1943,5000,0,1,0,0,Свердловск,м
"Линьков, Л. А.",Следопыт (Рассказы из жизни Ермолая Серова),,1941,50000,0,1,1,0,Москва; Ленинград,м
"Лурье, С. Я.",Письмо греческого мальчика,,1940,60000,1,1,0,0,Москва; Ленинград,м
"Лурье, С. Я.",Письмо греческого мальчика,,1941,25000,1,1,0,0,Москва; Ленинград,м
"Малакшинов, П.",Мальчик из Забойкалья,Повесть,1942,3000,0,1,1,0,Улан-Удэ,м
