Автор,Название,Жанр,"Год издания",Тираж,"Для мл. возраста","Для сред. возраста","Для старш. возраста",Примечания,Город,"Пол автора"
"Куприн А.",Скворцы,Рассказ,1947,150000,1,0,0,0,"Москва; Ленинград",м
"Курочкин В.","Бригада смышлённых",Повесть,1947,60000,0,1,1,0,"Москва; Ленинград",м
"Лавренев Б.","Большое сердце",,1948,150000,1,0,0,0,"Москва; Ленинград",м
"Лавров Г. Д.","Пчела бурка",,1946,15000,1,0,0,0,Саратов,м
"Лагин Б. Л.","Броненосец ""Анюта""",Повесть,1946,45000,0,1,1,0,"Москва; Ленинград",м
"Лебедев В.","Преобразователь природы",Повесть,1948,60000,0,1,1,0,"Москва; Ленинград",м
"Лесков Н. С.","Железная воля",,1946,25000,0,0,1,0,"Москва; Ленинград",м
"Ликстанов И.",Малышок,Повесть,1947,60000,0,1,1,0,"Москва; Ленинград",м
"Ликстанов И.",Малышок,Повесть,1948,75000,0,1,0,0,"Москва; Ленинград",м
"Ликстанов И.",Малышок,Повесть,1948,75000,0,0,0,0,"Москва; Ленинград",м
"Ликстанов И.",Малышок,Повесть,1948,15000,0,1,1,0,Свердловск,м
"Ликстанов И.","Приключения юнги",,1947,20000,1,0,0,0,Горький,м
"Лифшиц В.","Ленинская улица",,1947,30000,0,1,1,0,"Москва; Ленинград",м
"Лифшиц В.","На берегах Невы",,1946,30000,0,1,0,0,"Москва; Ленинград",м
"Лукин Н.","Первый подземный",Повесть,1948,30000,0,1,0,0,"Москва; Ленинград",м
"Лухманов Д.","Солёный ветер",Повесть,1946,,0,1,1,0,Москва,м
"Лялицкая С.","Волшебный лес",Очерк,1948,10000,0,1,1,0,Чкалов,ж
"Ляпунов Б.",Ракета,,1948,30000,0,1,1,0,"Москва; Ленинград",м
"Майсте Г.","О ленине",,1948,20200,0,0,0,1,Таллин,
"Маркова О.","Разрешите войти!",Повесть,1947,10000,0,1,1,0,Свердловск,ж
"Маршак С.","Школьные товарищи",,1947,25000,1,0,0,0,Ставрополь,м
"Матвеев Г.","Новый сорт",Повесть,1948,30000,0,1,0,0,"Москва; Ленинград",м
"Матвеев Г.","Тайная схватка",Повесть,1948,30000,0,1,1,0,"Москва; Ленинград",м
"Медведев Д. Н.","Это было под Ровно",,1948,30000,0,1,1,0,"Москва; Ленинград",м
"Медведев Д. Н.","Это было под Ровно",,1948,30000,0,1,0,0,"Москва; Ленинград",м
"Миронов А.","В стране голубых проекторов",Рассказы,1946,10000,0,1,1,0,Ленинград,м
"Могилевский Б.","Илья Ильич Мечников",Повесть,1948,30000,0,0,1,0,"Москва; Ленинград",м
"Молчанов И.","Рассказы о моих друзьях",Рассказы,1948,8000,0,1,0,0,Архангельск,м
"Мораф М.","Из жихни Чаплыгина",,1946,45000,0,1,1,0,"Москва; Ленинград",
"Муканов Сабит","Мои мектебы (Школа жизни)","Автобиографическая повесть",1947,30000,0,1,0,0,"Москва; Ленинград",м
"МУСАТОВ А.",Стожары,Повесть,1948,45000,0,1,0,0,"Москва; Ленинград",м
"МУСАТОВ А.",Стожары,Повесть,1948,100000,1,1,0,0,"Москва; Ленинград",м
"Мухарева А.","Мы учились в Москве",рассказы,1947,15000,0,1,1,0,"Москва; Ленинград",ж
"Мухарева А.","На войне",рассказы,1946,15000,1,0,0,0,Ленинград,ж
"Нагишкин Д.","Тихая бухта",Повесть,1947,30000,0,1,0,0,"Москва; Ленинград",м
"Нагишкин Д.","Тихая бухта",Повесть,1948,15000,0,1,1,0,Иркутск,м
"Некрасов Н. А.","Генерал Топтыгин",,1946,50000,1,0,0,0,"Москва; Ленинград",м
"Некрасов Н. А.","Генерал Топтыгин",,1948,150000,1,0,0,0,"Москва; Ленинград",м
"Некрасов Н. А.","Генерал Топтыгин",,1947,25150,1,0,0,0,Воронеж,м
"Некрасов Н. А.","Генерал Топтыгин",,1948,50000,1,0,0,0,Москва,м
"Некрасов Н. А.","Генерал Топтыгин",,1948,30000,1,0,0,0,"Ростов н/Д",м
"Никулин Ю.","Перемет дяди Василия",Рассказы,1948,30000,0,1,1,0,"Москва; Ленинград",м
"новиков-Прибой А. С.","Два друга",Рассказы,1948,15000,0,1,1,0,Ярославль,м
"Оленич-Гнененко А.","На лесной тропе",,1947,10000,1,1,0,0,"Ростов н/Д",м
"Орлов Вл.","Рассказы о неуловимом",Рассказы,1946,45000,0,1,0,0,"Москва; Ленинград",м
"Осеева В.","Васёк Трубачев и его товарищи",Повесть,1947,45000,1,0,0,0,"Москва; Ленинград",ж
"Островский Н.","Как закалялась сталь",Роман,1948,30000,0,0,1,0,"Москва; Ленинград",м
"Островский Н.","Как закалялась сталь",Роман,1948,30000,0,0,1,0,"Москва; Ленинград",м
"Островский Н.","Первые комсомольцы",,1948,30000,0,1,1,0,"Москва; Ленинград",м
"Островский Н.",Отважные,Рассказы,1946,20000,0,1,1,0,Ленинград,м
"Пантелеев Л.","Гвардии рядовой",,1947,20000,0,0,0,0,Ташкент,м
"Пантелеев Л.","На ялике",Рассказы,1948,45000,1,1,0,0,"Москва; Ленинград",м
"Пантелеев Л.",Ночка,Рассказ,1948,150000,1,0,0,0,"Москва; Ленинград",м
"Пантелеев Л.",Пакет,Повесть,1946,45000,1,0,0,0,"Москва; Ленинград",м
"Пантелеев Л.","Первый подвиг",,1946,15000,0,0,0,0,Петрозаводск,м
"Папаригопуло Б.",Измаил,Повесть,1948,30000,0,1,1,0,"Москва; Ленинград",м
"Паустовский К.","Далёкие годы",Повесть,1946,30000,0,0,1,0,"Москва; Ленинград",м
"Паустовский К.","Мещорская сторона",Очерк,1947,45000,0,1,1,0,"Москва; Ленинград",м
