ФИО,Название,Жанр,"Год издания",Тираж,"Для младшего возраста","Для среднего возраста","Для старшего возраста",Примечания,"Место издания",Пол
"Бруштейн, А.","Дорога уходит в даль...",Трилогия,1964,100,,1,1,,Москва,ж
"Бруштейн, А.","Дорога уходит в даль...","книга 1 и 2",1965,100,,1,1,,Москва,ж
"Бруштейн, А.","Дорога уходит в даль...","книга 3",1965,100,,1,1,,Москва,ж
"Брынских, С.","Отряд спешит на помощь",Повесть,1964,30,,1,,,Ташкент,м
"Бударин, М.","Тайна забытого леса",,1965,50,,1,,,Новосибирск,м
"Будогоская, Л.","Золотой глазок",Повесть,1966,165,1,,,,Москва,ж
"Булатов, И.","Сын подпольщика",Повесть,1965,300,1,,,,Челябинск,м
"Бытовой, С.","Река твоих отцов",Повесть,1965,75,,1,1,,Ленинград,м
"Вайсберг, Л.",Повести,,1964,65,,1,,,Москва,м
"Валевский, А.","Весь в отца",Рассказы,1965,100,1,,,,Ленинград,м
"Василенко, И.",Артемка,Повести,1964,50,,,,,Москва,м
"Василенко, И.",Артемка,Повести,1965,100,,,,,Москва,м
"Василенко, И.",Артемка,Повести,1965,75,,,,,Ростов-на-Дону,м
"Василенко, И.","Жизнь и приключения Заморыша",Повести,1964,100,,1,1,,Москва,м
"Василенко, И.",Звездочка,Повести,1966,100,,1,,,Москва,м
"Василенко, И.","Золотые туфельки",Повесть,1966,100,,1,,,Петрозаводск,м
"Васюкова, Г.","Разные истории",Рассказы,1966,80,1,,,,Минск,ж
"Вахман, В.","Друзья с Петроградской",Повесть,1965,30,,1,1,,Ленинград,м
"Великанов, А.","Тимка из Куриловки",Повести,1966,30,,,,,Горький,м
"Великанов, В.","Приключения укротителя","Повесть и рассказы",1965,50,,1,1,,Ярославль,м
"Велтистов, Е.","Электроник - мальчик из чемодана",Повесть,1964,65,,1,,,Москва,м
"Верейская, Е.","Белая шубка",Рассказы,1966,100,1,,,,Ленинград,ж
"Верейская, Е.","Внучка коммунара",Повесть,1966,100,,,,,Ленинград,ж
"Верейская, Е.","Повести и рассказы",,1965,100,,1,,,Ленинград,ж
"Вересов, А.","Конец ""Русской Бастилии""",Повесть,1964,50,,1,1,,Ленинград,м
"Вершинин, В.","Загадочная тропа",Повесть,1964,30,,,,,Горький,м
"Вершинин, В.","Тайна Змеиного острова",Повести,1966,30,,,,,Горький,м
"Видгоп, Л.; Сухотин, Я.",Амулет,Повесть,1965,70,,1,,,Ленинград,м;м
"Вилькин, Я.","История Лима Великолепного",,1965,15,,1,1,,Минск,м
"Винников, В.","Детство моряка",Повесть,1964,65,,1,,,Москва,м
"Вишнев, П.",Юнга,Повесть,1966,100,,1,,,Куйбышев,м
"Владимиров, В","Повесть о школяре Иве",,1964,65,,1,1,,Москва,м
"Власов, А.; Млодик, А.",Мандат,Повесть,1964,150,,,,,Ленинград,м;м
"Власов, А.; Млодик, А.","Тайна девяти усачей",Повесть,1964,50,,1,,,Ленинград,м;м
"Водовозов, Е.","Тайна полковника Вебера",Повесть,1966,550,,1,,,Челябинск,м
"Водопьянов, М.","В ледовом плену",Рассказ,1966,150,1,,,,Москва,м
"Водопьянов, М.",Космонавт-1,,1965,200,1,,,,Москва,м
"Воеводин, Е.","Будь сдоров, салажонок!",Рассказ,1965,100,,1,1,,Ленинград,м
"Воинов, А.",Иностранка,Повесть,1965,100,,1,,,Москва,м
"Воинов, А.",Отважные,Роман,1965,100,,,,,Москва,м
"Воищев, Ю.","Летучий голландец или невероятные приключения четырех третьеклассников",Повесть,1966,15,1,1,,,Воронеж,м
"Воищев, Ю.; Иванов, А.","Пираты Неизвестного моря",Повесть,1964,100,1,1,,,Москва,м;м
"Воищев, Ю.; Иванов, А.","Потрясающие открытия Лешки Скворечникова. Тайна Петровской кузни.",Повести,1964,15,1,1,,,Воронеж,м;м
"Волк, И.","Вода Алагеза",Рассказы,1966,100,1,,,,Москва,ж
"Волк, И.","Смеющийся цветок",Повесть,1964,60,,,,,Москва,ж
"Волков, Е.; Лазарев, В.","Мальчишкам снятся бригантины",Повесть,1966,115,,,,,Москва,м;м
"Волкодаев, П.","Чей мальчишка",Повесть,1964,100,,1,1,,Минск,м;м
"Вольф, С.","Вдоль нашего дома",Рассказы,1964,200,1,,,,Москва,м
"Вольф, С.","Дом в сто этажей","Повесть и рассказы",1964,100,1,,,,Ленинград,м
"Вольф, С.","Лети, корабль мой, лети!",Рассказы,1964,115,1,,,,Москва,м
"Вольф, С.","Мой брат боксер и ласточки",Повесть,1966,50,,1,1,,Ленинград,м
"Воронин, П.","Рассказы о первых шагах в жизни",,1964,30,1,1,,,Новосибирск,м
"Воронин, С.","На своей земле",Повесть,1966,150,,1,,,Ленинград,м
"Воронков, А.","Серебряная серьга",Повесть,1966,100,1,1,,,Ленинград,м
"Воронкова, Л.","Алтайская повесть",,1964,100,,,,,Москва,ж
"Воронкова, Л.","Волшебный берег",Повести,1966,100,1,,,,Москва,ж
"Воронкова, Л.","Где твой дом?",Повесть,1964,100,,,1,,Москва,ж
"Воронкова, Л.","Село Городище",Повести,1964,150,1,,,,Москва,ж
"Воронов, Н.","Спасители. Бег в ночи",Рассказы,1965,100,,,1,,Тула,м
"Воронцова, Т.","С тобой товарищи",Повесть,1965,1965,,1,,,Красноярск,ж
