author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
"Пантелеев, Л.",Честное слово,NA,1959-01-01,500000,TRUE,FALSE,FALSE,NA,Москва,М,Пантелеев,честное слово
"Пантелеев, И.",Щука,NA,1958-01-01,10000,TRUE,FALSE,FALSE,NA,Абакан,М,Пантелеев,щука
"Пантелеев, И.",Эспедиция на Княшку,Повесть,1961-01-01,30000,TRUE,TRUE,FALSE,FALSE,Абакан,м,Пантелеев,эспедиция на княшку
"Пантюхин,С.П.",Детская змейковая станция,NA,1941-01-01,17500,FALSE,FALSE,TRUE,FALSE,Москва,м,Пантюхин,детская змейковая станция
"Панькин, И.",Внук зеленой молнии,Матросские сказки и легенды,1963-01-01,115000,FALSE,TRUE,FALSE,TRUE,Москва,м,Панькин,внук зеленой молнии
"Панькин, И.",Легенда о матерях,NA,1965-01-01,100000,TRUE,NA,NA,NA,Тула,м,Панькин,легенда о матерях
"Панькин, И.",Начало новой жизни,Повесть,1963-01-01,75000,FALSE,TRUE,FALSE,FALSE,Тула,м,Панькин,начало новой жизни
"Панькин, И.",Начало одной жизни,NA,1960-01-01,100000,FALSE,TRUE,FALSE,NA,Москва,М,Панькин,начало одной жизни
"Панькин, И.",Приключения братьев Тик-Так,Повесть,1965-01-01,75000,NA,TRUE,NA,NA,Москва,м,Панькин,приключения братьев тик так
"Папанин,И.Д.",На полюсе,NA,1940-01-01,100000,TRUE,TRUE,FALSE,FALSE,Москва; Ленинград,м,Папанин,на полюсе
Папаригопуло Б.,Измаил,Повесть,1948-01-01,30000,FALSE,TRUE,TRUE,FALSE,Москва; Ленинград,м,Папаригопуло,измаил
"Парамонов,А.Н.",Увлекательная работа,Рассказ,1941-01-01,25000,FALSE,TRUE,TRUE,FALSE,Москва; Ленинград,м,Парамонов,увлекательная работа
"Парфенов, Л.",Неделя приключений,Романтич. история,1962-01-01,115000,FALSE,TRUE,TRUE,TRUE,Москва,м,Парфенов,неделя приключений
"Пархомов, М.","Выше голову, сынок",Рассказы,1961-01-01,75000,FALSE,FALSE,TRUE,FALSE,Москва,м,Пархомов,выше голову сынок
"Пархомов, М.",Хороший парень,Рассказы,1961-01-01,100000,FALSE,FALSE,TRUE,FALSE,Москва,м,Пархомов,хороший парень
"Паршков, В.",В горах Ала-Тоо,Москва,1954-01-01,10090,FALSE,TRUE,TRUE,FALSE,Фрунзе,м,Паршков,в горах ала тоо
"Парыгина, Н.",Внук шахтера,NA,1958-01-01,15000,FALSE,TRUE,TRUE,TRUE,Тула,Ж,Парыгина,внук шахтера
"Парыгина, Н.",Не все впереди,NA,1966-01-01,65000,NA,TRUE,NA,NA,Москва,ж,Парыгина,не все впереди
"Парыгина, Н.",Что сердцу дорого,NA,1958-01-01,15000,FALSE,TRUE,TRUE,NA,Москва,Ж,Парыгина,что сердцу дорого
"Парыгина, Н.",Я вернусь!,повести,1970-01-01,75,NA,NA,TRUE,NA,Москва,ж,Парыгина,я вернусь
"Пасман, Б.",Мой цех,Рассказы,1963-01-01,15000,FALSE,TRUE,FALSE,FALSE,Новосибирск,м,Пасман,мой цех
"Пасько, О.",В лесу и дома,Рассказы,1953-01-01,10000,TRUE,TRUE,FALSE,FALSE,Кишинев,ж,Пасько,в лесу и дома
"Пасько, С.",Дальние дороги,Повести и рассказы,1963-01-01,100000,FALSE,TRUE,FALSE,FALSE,Кишинев,м,Пасько,дальние дороги
"Пасько, С.",Иринкина уха,Очерки,1963-01-01,15000,TRUE,TRUE,FALSE,FALSE,Кишинев,м,Пасько,иринкина уха
"Пасько, С.",Моя летняя тетрадь,NA,1958-01-01,10000,FALSE,TRUE,FALSE,NA,Кишинев,М,Пасько,моя летняя тетрадь
"Пасько, С.",Обыкновенное дело,Рассказы,1961-01-01,100000,FALSE,TRUE,TRUE,FALSE,Кишинев,м,Пасько,обыкновенное дело
"Пасько, С.",Озорной олень,Рассказы,1962-01-01,15000,FALSE,TRUE,FALSE,FALSE,Кишинев,м,Пасько,озорной олень
"Пасько, С.",Рассказы,NA,1960-01-01,20000,TRUE,TRUE,FALSE,NA,Кишинев,М,Пасько,рассказы
"Пасько, О.",Смелый,Рассказы,1953-01-01,10000,FALSE,TRUE,TRUE,FALSE,Кишинев,ж,Пасько,смелый
