Автор,Пол,Название,Год издания,Тираж,Место издания,Для младшего возраста,Для среднего возраста,Для старшего возраста,Примечания
"Куракин, П.",М,Далекая юность,1959,90000,Ленинград,0,0,1,
"Лагин, Л.",М,Старик Хоттабыч,1958,100000,Москва,1,1,0,
"Лагин, Л.",М,Старик Хоттабыч,1959,200000,Москва,1,1,0,
"Лагин, Л.",М,Старик Хоттабыч,1958,50000,Ташкент,1,1,0,
"Лагин, Л.",М,Старик Хоттабыч,1959,75000,Киев,1,1,0,
"Лебедев, Ю.",М,Красный галстук,1959,15000,Омск,0,1,0,
"Левин, Б.",М,По затерянным следам,1958,100000,Харьков,0,1,0,
"Левин, В.",М,Две сосны,1960,50000,Одесса,1,1,0,
"Левченко, Н.",М,Минька,1958,5000,Махачкала,1,0,0,
"Ликстанов, И.",М,Безымянная слава,1959,85000,Москва,0,1,0,
"Ликстанов, И.",М,Малышок,1959,85000,Москва,0,1,0,
"Ликстанов, И.",М,Первое имя,1958,75000,Свердловск,0,1,1,
"Ликстанов, И.",М,Первое имя,1958,100000,Москва,0,1,1,
"Лойко, Н.",Ж,Ася находит семью,1960,140000,Москва,0,1,0,
"Люфанов, Е.",М,Помощники,1959,115000,Ленинград,1,0,0,
"Лясковский, В. ",М,Как Тимошка бычков ловил,1958,215000,Киев,1,0,0,
"Максимович, Н.",Ж,Клад,1959,50000,Пермь,1,0,0,
"Малевинский, Ю.",М,Андрейкины рассказы. Первый день,1958,15000,Казань,1,0,0,
"Маликов, К.",М,Воробьиная купальня,1960,100000,Смоленск,1,0,0,x
"Малюгин, П.",М,Аннушкина Аллея,1960,300000,Киров,1,0,0,
"Мамедов, М.",М,Карандаш,1959,40000,Смоленск,1,1,0,
"Мамушин, В.",М,Товарищи помогли,1958,5000,Иваново,0,1,0,
"Мандель, А.",М,Спор у ворот,1959,25000,Орел,1,0,0,
"Марченко, Т.",Ж,Подарок,1960,75000,Краснодар,1,0,0,
"Маслов, И.",М,Друзья,1959,3000,Абакан,0,1,0,
"Матвеев, Г. ",М,Семнадцатилетние,1958,75000,Челябинск,0,1,1,
"Матвеев, Г. ",М,Семнадцатилетние,1959,100000,Ленинград,0,1,0,
