author_std,fullname,qid,gender,birth_year,death_year,author
АкмамедовО,NA,NA,m,NA,NA,"Акмамедов, О."
АкодусЯИ,NA,NA,NA,NA,NA,"Акодус, Я. И."
АкопенкоЛЕ,NA,NA,NA,NA,NA,"Акопенко, Л. Е."
АкоповЗ,NA,NA,m,NA,NA,"Акопов, З."
АкопянА,"Акопян, Арутюн Амаякович",Q4059741,m,1918,2005,"Акопян, Арутюн"
АкопянМ,"Акопян, Микаел",Q13054109,m,1925,1983,"Акопян, Микаел"
Аксагорская,NA,NA,f,NA,NA,Аксагорская
АксаковКС,"Аксаков, Константин Сергеевич",Q722730,m,1817,1860,"Аксаков, К. С."
АксаковМ,"Аксаков, Михаил Георгиевич",Q29359782,m,1912,1974,"Аксаков, Михаил"
АксаковСТ,"Аксаков, Сергей Тимофеевич",Q315188,m,1791,1859,"Аксаков, С.; Аксаков, С. Т."
АксельродА,NA,NA,NA,NA,NA,"Аксельрод, А."
АксельродЕМ,"Аксельрод, Елена Марковна ;Аксельрод, Елена Мееровна",Q4059884,f,1932,NA,"Аксельрод, Е. М.; Аксельрод, Елена"
АксеновАА,NA,NA,m,NA,NA,"Аксенов, А. А."
АксеноваАС,NA,NA,f,NA,NA,"Аксенова, А. С.; Аксенова, Анна"
АксеноваО,NA,NA,f,NA,NA,"Аксенова, О."
АксютинЕ,NA,NA,m,NA,NA,"Аксютин, Евгений"
АктанГА,NA,NA,NA,NA,NA,"Актан, Г. А.[Гильгендорф]."
АкулининАМ,NA,NA,m,NA,NA,"Акулинин, А. М."
АкулининВИ,NA,NA,m,NA,NA,"Акулинин, В. И.; Акулинин, Василий"
АкуловГ,NA,NA,m,NA,NA,"Акулов, Григорий"
АкуловНС,NA,NA,m,NA,NA,"Акулов, Н. С.; Акулов, Николай"
АкуловФ,NA,NA,m,NA,NA,"Акулов, Ф."
АкульшинРМ,NA,NA,m,NA,NA,"Акульшин, Р. М."
АкушинскийМ,NA,NA,m,NA,NA,"Акушинский, Михаил"
АладышевПН,NA,NA,m,NA,NA,"Аладышев, П. Н."
Алазе.,NA,NA,NA,NA,NA,Алазе.
АлампиевП,NA,NA,m,NA,NA,"Алампиев, П."
АлановВ,NA,NA,m,NA,NA,"Аланов, В.; Аланов, Виктор"
АлатырцевВИ,"Алатырцев, Владимир Иванович",Q20603938,m,1908,1964,"Алатырцев, В. И."
АлбекЛА,NA,NA,NA,NA,NA,"Албек, Лизетхан; Албек, Лизетхан [Е. А. Албегова]"
АлбычевПВ,NA,NA,m,1887,1953,"Албычев, П.; Албычев, П. В."
АлгаА,"Алга, Александр Егорович",Q4060629,m,1913,1977,"Алга, Александр"
АлданскийВ,NA,NA,m,NA,NA,"Алданский, Виктор [Афанасьев]"
АлдошинН,NA,NA,m,NA,NA,"Алдошин, Н."
АлейниковМН,NA,NA,m,NA,NA,"Алейников, М.; Алейников, М. Н.; Алейников, Моисей"
АлександриВ,"Александри, Василе",Q352004,m,1821,1890,"Александри, В.; Александри, Василе"
Александров.,NA,NA,m,NA,NA,Александров.
АлександровА,NA,NA,m,NA,NA,"Александров, А."
АлександровАА,NA,NA,m,NA,NA,"Александров, А. А."
АлександровАЛ,"Александров, Александр Леонардович",Q4061062,m,1947,2009,"Александров, А. Л."
АлександровАС,NA,NA,m,NA,NA,"Александров, А. С."
