Бахтамов Рафаил.	216, 3844
Бахутова Н.	2502
Бачев Г.	4240
Бегалин Сапаргали.	3880
Бегалина Е.	4542, 4543
Бедарев Олег.	217, 3786, 3841
Беднов В.	4662
Бедный Демьян.	218, 3775, 3857, 3889, 3907, 3919, 3936, 3947
Безыменский А.	219, 3770, 3775,3798, 3825, 3828, 3829, 3857, 3889, 3907, 3919, 3921, 3926, 3940, 3947
Безруков П.	3835
Бейлин А.	3895
Бейшеналиев Шукурбек.	3101, 3102
Бек А.	3847, 3895
Белахова Мария.	220, 384, 1542
Белая Л.	4463
Беленков Сергей.	221, 222
Беленькая Л.	4531, 4581, 4593
Белецкая В.	3989
Белинский В.	2747, 3804
Белов А.	4532
Белов П.	3945, 4015
Белоглазова Р.	3103
Белозеров Т.	224—229, 3828, 3829, 3938
Белокрылов В.	230
Белокуров Л.	231, 3933
Беломлинский М.	232
Белоус Д.	3855
Белоусов А.	233
Белоусов Валентин.	234
Белоусов М.	235
Белтевица В.	3871
Белькович В.	2429
Белый В.	3851
Белых Г.	236
Беляев А.	3829
Беляев Александр.	237—244
Беляев Б.	4448
Беляев В.	97, 98, 4591
Беляев М.	4015
Беляев П.	3827
Беляева В.	3796, 4453
Беляков И.	3782, 3841
Беляков Иван.	245—248
Беляков Н.	3805
Беляков А.	3783
Бенашвили.	249
Беневич Евг.	4493
Беранже Пьер-Жан.	3910
Берг О.	250
Бергольц О.	3857, 3862, 3889, 3895, 3907, 3920, 3936, 3940
Бердник О.	3104
Бердникова Е.	4241
Берегов К.	1709
Бережнов М.	3783
Березин В.	251
Березко Г.	252
Березняк П.	3875
Березовская Т.	4242
Берендгоф К.	3798
Берендгоф Николай.	3828, 3829
Береснев А.	253
Берестинский М.	254
Берестов В.	255—259, 1467, 3765, 3772, 3805, 3866, 3828
Берилов Р.	4212
Беркова Н.	4359
Бернова А.	4015
Берри Джон.	3873
Берхин Н.	4588
Бесаев Тазрет.	3105
Беспалов В.	260, 3777, 3778
Бестужев-Лада И.	3582
Бехлерова Е.	3560, 3855
Бжехва Ян.	3501
Бианки А.	3805
Бианки Виталий.	261—282, 3768, 3783, 3805, 3806, 3836, 3924, 3934, 4467
Бнккол Шарнф.	3106
Бикушев Гани.	283, 284
Бнкчентаев Анвер.	3107, 3108
Биленкин Д.	285, 3843
Билль-Белоцерковский В.	3769
Бнль А.	3883
Бннз Арчи.	3562
Бирковский В.	4239
Бирман А.	3990
Бирман С.	3901
Бирюкова А.	3826
Бнссет Дональд.	3563, 3934
Битов А.	286
Бичер-Стоу Гарриет.	3564
Благннина Елена.	287—298, 3519, 3805, 3828, 3829, 3838, 3841, 3856, 3911, 3924 3934.
Благой Д. Д.	2809, 2887, 3907
Благутин Б.	3860
Блантер М.	3851, 3947
Блаштейн А.	4214 
Блехман М.	3765
Близнец Виктор.	3109
Блинов Виктор.	299
Блинов Г.	300, 301
Блинчевская М.	2849
Блок А. А.	302, 311, 3779—3781, 3805, 3811, 3841, 3889, .3906, 3920, 3926, 3935, 3940
Блынский Д.	312, 313, 3936 
Бляхин П.	314—316, 3922
Боборико М.	317
Бобров В.	3810
Бобров Л.	3991
Бобров С.	318
Бобровский Б.	319
Бобылев Ф.	320
Бовыкина З.	4495
Боганов В.	3786 
Богаченков В.	321
Богданов Е.	322
Богданов И.	4648
Богданов М.	3765, 3817
Богданов Н.	1020, 2131, 3769, 3796, 3805, 3829, 3888, 3904, 3905, 4449.
Богданов Николай.	323—329, 3816, 3828, 3834, 3847, 3915, 3940
Богданов Олег.	3775
Богданов П.	4243
Богданова Д.	3783
Богданович А. Е.	4461
Боголепов П.	3763
Боголюбская М.	3805, 3858, 3934
Богомазов О.	3851
Богомазов С.	331, 3786, 3851, 3921
Богомазов Сергей.	330
Богомолец- И.	3825
Богомолов В.	332—335, 3940
Богословский Н.	336, 2972-2974, 2990, 3001, 3851
Боград В.	2848
Богуславская В.	4648
Богуславский М.	3797
Богушевич Ю.	3875
Бодровец К.	3883
Бойко Г.	3110, 3772, 3805, 3841
Бойко Р.	3846, 3851
Бокарев Е. А.	3948
Боков В.	3782
Боков Викт<?р.	3857, 3936 
Боков Петр.	337, 338 
Болгаров Н.	4212
Болдырев Виктор.	339
Болдырев Н.	4533
Болквадзе Мери.	3111
Болотников Н.	3852
Болтромеюк В.	340
Болтянская Э.	4258
Большак В.	3883
Большакова Е.	341
Большинцов М.	342, 3795, 3805, 3883
Бонатти Вальтер.	3766
Бондаренко, братья.	3777, 3778
Бондаренко Вениамин.	343
Бондаренко Владимир.	343
Бондаренко Иврн.	344, 3937
Бондаренко Петр.	345
Бондарин С.	3765
Бонди С.	2881, 2882, 2885, 2888, 2924—2926
Бонтан А.	3565
Бонч-Бруевич В. Д.	346—350, 3770, 3805, 3822, 3825, 3841, 3904, 3905, 3924, 3926, 3934, 3940
Борейко Б.	4126
Борисов Г.	4014
Борисов Е.	3992
Борисов Л.	351
Борисов С.	3778
Борисова В.	4419
Борисова Е.	352
Борисова Л.	3783
Борисова М.	353, 354, 3877, 3947
Борисова Р.	355 
Борисовский А.	4534
Борисовский Г.	3868
Борноволоков Э.	4299
Боровик В.	356
Боровиков Г.	357
Бородин А.	3874
Бородулин Рыгор.	3112
Бороздин В.	358—360, 3828, 3829, 3873
Бороздин И.	2731
Бороздин Н.	4299
Босев Асен.	3870
Боскэ Ален.	3837
Босторина Л.	1391
Бостром А.	3817, 3923
Ботвинник М.	4146
Бочарников В.	362.
Бочин Н.	363—365
Бояринова В.	3871
Боярова О.	3566
Бояршинов А.	919, 3026
Брагин В.	366—370
Брагин М.	371
Бражнин И.	372
Браиловская Г.	373, 374
Брандис Е.	1393, 3572, 3596, 3844, 4213, 4214, 4492
Браневская Я.	3863
Брауде Л.	3764, 4405, 4493
Браун Жанна.	375, 376
Браун Н.	3775, 3919
Браусевич Л.	1042
Бревдо Б.	4212, 4214
Брегова Д.	377, 2751
Бременер М.	378
Бреслер Джимми.	3785
Брнеде Л.	3883
Бромберг А.	4468
Бровка П.	3782, 3936
Броделе А.	3815
Бродицкая Ю.	3783
Бродский А.	3841
Бродский Александр.	379
Бродский Б.	3994
Бродский Н.	2980, 2983
Бромлей Н.	3828
Броневский В.	3787
Брошкевич Ежи.	3567
Брудный Д.	3499
Бруни И.	4155
Брутане В.	3815
Бруштейн А.	380, 381,-3890
Брыль Я.	3856
Брынских С.	382
Брюсов В.	3782, 3889, 3906, 3919
Брянцев Г.	383, 384
Брянцева В.	3873, 3899, 3921, 3993
Буачидзе Ш.	3901
Бубинец А.	3825
Бугельская Н.	3956
Бугреева М.	4648
Бугрова Т.	4270
Бугрова Т. Н.	385
Бударин М.	3825
Бударов Георгий.	386
Будашкин Н.	3838, 3851
Буденный С. М.	3784
Будогоская Л.	387
Будрис Р.	3113
Бузанов С.	3770
Бузинов В.	3783
Бузо С.	3891
Бун Хиен.	3774
Буйло Констанция.	3871
Буйло К.	3856
Букин В.	3782, 3947
Букин Н.	388
Буланч Стеван.	3568
Буларкиева М.	3871
Булатов М.	389—395, 3038, 3058, 3805, 3856, 3893, 3924, 3928
Булатова Клара.	3871
Буличевский Ю.	3995
Бульванкер В.	3996
