Белоруссов Л.	3702
Белостоцкая Е.	3777
Белоус Д.	3534, 3544
Белоусов В.	196
Белоусов В.	197
Белоцерковский Б.	3702
Белоцерковский В.	198
Белышев И.	199
Бельды В.	3656
Беляев А.	200 -203, 3702
Беляев И.	204, 3500
Беляев К.	3605
Беляков И.	205—209, 3527, 3596
Беляков Л.	3592, 3593
Беляков Н.	3611
Беляков Н.	4216
Беляшвили А.	3560
Бем К.	377
Бенгачев А.	3567
Бендииа В.	3581а
Бендова К.	3186
Берг Л.	3187
Берген Ш.	3614
Берггольц О.	3629
Бердзенишвили Г.	3560
Бердников С.	3711
Бережной В.	3647
Березин Н.	210, 3570
Березницкий Е.	211
Берендгоф Н.	3583
Берестов В.	212—216, 3527, 3534, 3581а, 3582, 3597, 3611
Берилов Р.	3542
Бернар Буа Дадье.	3502
Берносевич Г.	217
Берулава Х.	3530
Бершадский Р.	3527, 3779, 3780
Бесаев Т.	3603
Бескровный М.	3781
Беспалов В.	218, 3517
Беспощадный П.	219
Бестужев-Марлинский А. А.	3617
Бехлер Г.	3596
Бешкильцев С.	3677
Бжехва Я.	3497, 3498
Бианки В.	220—237, 580, 3371, 3372, 3551, 3583, 3596, 3667, 3782, 3783, 3980
Биишева З.	3605
Бикчентаев А.	2775, 3605, 3651
Билай В.	3784
Бильдушкинов В.	3605
Бильчинский В.	3516
Бин Синь.	3581а
Бирзниек-Упит Э.	2776
Бирюков В.	3711
Бирюков С.	238
Бирюков-Раменский Н.	239
Бичер-Стоу Г.	3188
Благинина Е.	240—247, 2807, 3148, 3391, 3523а, 3527, 3534, 3581—3583, 3595—3597, 3601, 3675
Благман А.	4217
Благово В.	3702
Благодаров В.	3785
Благой Д.	2523, 3617
Благосклонов К.	3534, 3786 
Блок А.	248, 3545, 3595, 3596, 3673, 3714, 3715
Блок Э.	1184
Бломберг Р.	3189
Блохина В.	3992
Блюмин М.	3507
Бобров С.	3461, 3787
Боброва З.	3618
Бобровская (Зеликсон) Ц. С.	3664
Бобылев Ф.	249
Богатков В.	4218
Богаткова Л.	4219
Богатырев В.	250
Богданов М.	251, 252, 3630
Богданов Н.	251—254, 3583, 3602, 3606, 3644, 3650, 3687, 3688, 3960
Богданов О.	3555
Богданова Г.	252
Богданова Д.	4010, 4011
Богданова О.	3788
Богданова Э.	3523а, 3595
Богемский Г.	3179
Боголюбов К.	3500
Боголюбов С.	260
Боголюбская М.	4569
Боголюбский С.	4086
Богомазов С.	3634
Богомазова М.	3515
Богомолов В.	255—257, 3568
Богомолов В.	258, 259
Богоров В.	3901
Богословский Н.	260
Богословский Н.	2628, 3789
Богуславская С.	3549
Богушевич Ю.	261, 262
Божаткин М.	3522, 3713
Боженко А.	3543
Бойко Г.	2777—2783, 3521, 3523а, 3544, 3595—3597, 3677, 3710
Боккаччо Дж.	3621
Боксерман Ю.	3790
Болгарин И.	3716
Болгаров Н.	3791
Болдырев В.	3618, 3619
Болдырев Г.	4220
Болотин С.	3638
Болотник Н.	3604
Болоховский А.	4432
Болышева Т.	3550
Бондарев Б.	263
Бондаренко И.	264
Бондаренко Ф.	3646
Бонди С.	2527, 2528
Бондин А.	265, 3500
Бонч-Бруевич В.	266—273, 3581а, 3582, 3596, 3623, 3664
Борахвостов В.	3527
Борбугулов М.	3671
Борзов В.	4438
Борин Б.	274
Борин К.	3792
Борисов В.	3793
Борисов И.	3664
Борисов Л.	275
Борисов Н.	276
Борисова Г.	4211
Борисова Р.	3638
Боричевская Е.	277
Борноволоков Э.	4221
Боровик Э.	3182, 3535
Боровиков Г.	278—281, 3618
Боровков Н.	3720
Бородин А.	3637
Бороздин В.	282, 283, 3527, 3718
Бороздин И.	2426
Боронина Е.	284
Борута К.	2784
Борченко А.	3710
Борян Г.	2785, 2787
Босев А.	3190, 3500, 3584, 3611
Востром А.	3696
Ботвинник И.	3656
Ботезату Д.	3148а
Бочарников В.	3593
Бочин В.	3032
Бочкарева К.	3794
Бошко И.	4535
Брагин В.	285, 286
Брагинский И.	4009
Бражнин И.	287
Браиловская Г.	288, 3523а, 3527
Брайнина Б.	1774
Брандис Е.	3196—3200, 3236, 3237, 3242, 4160, 4514, 4549, 4568
Бранислав Ф.	3549
Браун Н.	3629
Браччолина П.	3621
Брейинн Р.	1472, 1473, 1519
Бременер М.	289—291, 3527
Бреннеке В.	3191
Брентано К.	3614
Брннский А.	297
Бритаев С.	3156
Бровка П.	3629
Бродицкая Ю.	3795
Бродский А.	292, 293, 3556, 3582, 3583, 3596 
Бродский Б.	3726, 3796
Бродский Н.	2602—2604
Бромберг А.	3725
Бромлей Н.	1614, 3611, 4080
Бронте Э.	3192
Бронштейн М.	3797
Брудзиньский С.	3645
Брудный Д.	3510
Брунова К.	4080
Бруштейн А.	294—296, 674, 2083
Брыжинский И.	2788, 3723 
Брюсов В.	3585, 3673 
Брюсова В.	3702
Брянцев Г.	298, 299
Бубекина Г.	4222
Бубенщиков В.	3677
Бублейников Ф.	3798
Будаев Ц.	2789
Буданов В.	3541, 3542
Буданова Т.	1993
Буданцев Ю.	3701
Будийоно С.	3502
Бужкевич М.	3701
Буйло К.	2790
Букин Н.	3678
Букина А.	4402
Буков Е.	2791—2793, 3569
Буларкиева М.	3671
Булатов М.	300,.2646, 2652, 2662, 2667, 2672, 2674, 2676, 2679, 2680, 2684, 2694, 2706, 2707, 2711, 2713, 2714, 2739, 3127, 3135, 3314—3316, 3521, 3528, 3601, 3717, 3801
Булыгин И.	3563
Бунимович Д.	4224
Бунин И. А.	3529, 3534, 3582, 3587, 3673, 3721
Бунова Л.	301
Бунтов Я.	3802
Буравлев В.	4225—4227
Бурдейный Ф.	4228
Бурлаков Г.	3803
Буров А.	302
Буренков Ю.	3506
Бурсов Б.	2570
Буртынский А.	303
Бурче Е.	2088
Бурьян Б.	304
Буссенар Л.	3193—3195
Бутаков Г.	978
Бутин П.	4130
Бутырина Б.	4407
Бухштаб Б.	2493, 2552—2554, 4518
Буценко.	4229
Буцень О.	3556
Бушко О.	305
Бушуева В.	306, 3563, 3564
Бхабни Бхаттачарая.	3502
Быков В.	3487
Быкова К.	307
Быкова М.	3630, 3696
Быковский В.	3863
Былинин А.	3546
Быстрозоров И.	308
Бытовой С.	309, 310
Быховец В.	311
Бычко В.	2794, 3499, 3501, 3677
Бюргер Г А.	3614
Бьерн Л.	4230
Вавилин М.	3605
Ваганов И.	31
Вагин Г.	3592, 3593
Вагнер Л.	313
Вагнер Н.	251, 3597
Важа-Пшавела.	3119
Важдаев В.	314—316, 3141, 3271, 3438 3527, 3596
Вайветкин Л.	3579
Вайншток В.	3266, 3423
Вайс Г.	317, 338
