Козлов А.	1961
Козлова.	4080
Козулина Т.	3974
Коком.	3603
Комаров А. Н.	1170, 2094, 2372, 2490, 4039
Комаров Г.	263, 1119
Конашевич В.	90,245, 717,1119,1160, 1615, 1620, 1623, 1625, 1631, 1760, 1783, 1918, 2104, 2109, 2121, 2140, 2146, 2148, 2149, 2165, 2167, 2375, 2958, 2968, 3466, 3926, 3928, 3931, 3941, 3944, 3955, 3956, 3963, 3964
Кондратов Ф.	801, 1598, 2493
Кондратьев П.	672, 1853, 3007, 3820
Конов В. П.	2076
Коновалов В.	1022, 1431, 2285, 3316
Константинов В.	747, 1726
Кораблинов В.	840, 847, 1100, 1792, 2389, 3560, 3574
Королев И.	494, 623, 624, 879
Короткий А.	951, 2505, 2632, 3090, 3214, 3598, 3714, 3780
Корт.	553
Костров Н.	2429, 3238
Котляревская М.	1324
Котухин В.	1809
Кравцов А.	1069, 1211
Кравченко А.	2385
Красовский Л.	938, 939
Кривцов А.	4019
Криммер Э.	1653, 1766
Крукшенк.	1147
Крутиков Е. А.	1241, 2964, 3396
Крылова А.	1961
Крылова Г. А.	2476, 4035
Крылова и Покровская.	883
Крюков Б.	2170, 2939, 3382
Кудрин А. А.	481, 2092, 2344а, 4120
Кузанян Н.	3011
Кузмичев П. И.	3993
Кузнецов И.	1119, 1738, 2270, 2272, 2457, 3625
Кузнецов К.	7, 8, 9, 34, 50, 228, 229, 525, 547, 719, 980, 985, 1049, 1407, 1434, 1568, 1684, 1857, 1964, 1967, 2051, 2163, 2245, 2278, 2408, 2493, 2623, 2726, 3026, 3103, 3309„ 3759, 3888, 4162
Кузьмин Н. В.	1187, 3530
Кукалев В.	1660
Кукрыниксы.	856, 858, 861, 1580, 1839, 2102, 3148; 3151, 4096
Кукс М.	505, 686, 2441, 2485
Кулагин А.	1265
Купреянов Н.	1775, 2390, 3026, 3649
Курдов В.	320, 322, 325, 343, 460, 1648, 1653, 1654, 1856, 2104, 2642
Куропаткин.	1374
Кустов П.	425, 1891, 2251
Кутателадзе Д. Е.	1470, 2519
Кэмбл.	3451
Лабренц Ф. Ф.	496, 1089, 1191, 1193,. 3217, 3218, 3219
Лабренц Ф. Ф. и Шевелев Ю. Е.	66
Лавров А.	341, 919, 1692, 1694, 2373, 2540
Ладягин В.	1578, 3232, 3401, 3414, 3702
Лапатухин В.	3388
Лансере Е.	3593
Ланцетти В.	1
Лаптев А.	6, 53, 246, 932, 1119, 1221, 1294, 1422, 1875, 2051, 3401, 3989
Лапшин Н.	443, 1078, 1451, 1462, 1469, 1473, 1476, 1480, 2262, 3477, 3492, 3691, 4001, 4180
Ларин А.	123, 984, 1099, 1574
Лебедев В л. Вас.	305, 1653, 1884, 1885, 1886, 1887, 2104, 2110, 2132, 2137, 2144, 2147, 2161, 2164, 2165, 2168, 2174, 2178, 2179, 2186, 2642, 3225
Лебедев В.	2823
Лебедев И.	3271
Лебедева Е. Е.	1897
Лебедева Т.	1597
Лебедева-Маврина Т.	4022
Левин Г.	206
Лекаренко Н.	3969
Лену ар М.	1228
Лень В. Г.	355
Лесько Н.	1812
Лехт Ф.	3803
Ликан Г.	3053
Ликман Г.	734, 1370, 3394
Ликгарт В.	1170
Лисснер Э.	2079, 2081, 2087, 2093, 3553, 3643
Литвак Л.	371, 436, 654, 763, 2052, 2094, 2257, 2451, 2507, 2827, 3483, 3697, 3725, 4057
Ломовицкий К.	1975, 1976, 1977
Лотонина В.	1346
Лунин И. П.	2709
Любимов В.	2703
Люстрицкий А. С.	300
Лютомский А.	3497
Ляс М.	3984
Маврина Т.	241, 1874, 2630, 3300, 3363, 3959
Макаров и Заковряшин.	817
Малевич.	1245
Малевский Ю. А.	66
Мальт Р.	121
Мальцев Н.	2352
Маличенко С. Г.	2887
Малюченко Б.	176, 2925, 4078
Манжелес Ара.	183
Маризе Мария.	407
Мартынюк П.	19, 396, 628
Масляненко П.	509, 539, 955, 2749, 3290, 4073
Матвеева М.	264, 3579
Маторин М. В.	3699
Матюх В.	1162
Машкова Н.	3256
Мезерницкий Ю.	379, 460, 502, 623, 1011, 1545, 2642, 2940, 3286, 3333
Мелентьев Г. А.	412
Мельников Д.	1273, 2493, 4102
Мизгирева О.	4064
Милашевский В.	2006, 2611, 2612, 3299
Миловидов Б.	123, 159, 1126, 1379, 1966, 2812, 3453
Митрохин Д.	1139, 2125
Митурич П.	83, 3229, 3731, 3808
Михаэлис М.	431, 3415, 3962
Могилевский А.	52, 768, 944, 1854, 1994, 2244, 3062, 3074, 3618, 3727, 3982
Монтекю.	1186
Моор Д.	2051
Морозова Е.	337, 343
