Гринберг Ю.	601
Гринберг Ю.	602
Гриц Т.	604
Гришашвили И.	605
Гроздова Е. И.	606
Гроздоза Е. и Дьячкова О.	607
Гроссман В. С.	608
Гроссман В. С.	609
Гроссман В. С.	610, 611
Груздев И.	612
Грунин М.	613
Грушецкая И.	614
Грюнберг О. К.	615
Грюнберг О. К.	616
Грюнберг О. К.	617
Грюнберг О. К.	618
Губарев В.	619
Гумилевский Л.	621
Гумилевский Л.	622
Гурев Г. А.	623
Гурунц Л.	624
Гурьян О.	625
Гурьян О.	626
Гурьян О.	627
Гурьян О.	628
Гюго В.	631, 632
Гюго В.	633
д’Амичис Э.	46
д’Эрвильи.	2736
Давыдов Д.	634
Давыдов З.	636
Давыдов З.	635
Дальгрен В. С.	637
Даниэль М.	638
Данько Е.	639
Данько Е.	640
Данько Е.	641
Даушзили В.	642
Дедов Г. А.	652
Дейнека Н.	653
Денисов В.	656
Денисов В.	657
Денисов Н. А. и Денисов В. Н.	658
Денисов Н. А. и Денисов В. Н.	659, 660
Деныпин А.	661
Дефо Д.	684, 685
Дефо Д.	686, 687
Джапаридзе П. С.	688
Диккенс Ч.	691
Диккенс Ч.	692
Диккенс Ч.	689
Диккенс Ч.	690
Диккенс Ч.	689—692
Диковский С.	694, 695
Дильбази Мирвари.	696
Динин С.	697
Динин С. и Нимен Л.	698—700
Дмитриев  Н.	703
Дмитриева Н.	704
Дмитров М. И.	705
Добржинский Г.	708
Довгаль О.	710
Доде А.	712
Додж М.-М.	713
Долматовский Е.	714
Долматовский Е. и Боде Н.	715
Домовитов Н.	724
Домовитов Н.	725
Донченко А.	726
Дориан Н. А.	727
Дориан Н. А.	728
Дориан Н. А. и Хатанов А. А.	729
Дрожжин О.	732
Дрожжин О.	733
Дубинская М.	737
Дудин М. и Кудрин В.	733
Дуров В.	739
Дурова Н.	740
Дыховичная В.	741
Дыховичная В.	742
Дыховичная В.	743
Дышлевская В.	744, 745
Дюбин В. В.	746
Дюма А.	747
Егоров А.	748
Егунов В. А.	749
Езерский М. В.	756
Езерский М. В.	757
Елисеев А. А.	758
Ельчанинова А.	765
Емельянова Н.	766
Ернкеев А.	767
Ершов А.	768, 769
Ершов П. П.	770—774
Ефремов Е.	775
Ефремов И.	776
Ефремов И.	777
Ефремов И.	778
Жак В.	779
Жак В.	780
Жак В.	781
Жак В.	782
Жак В.	783
Жак В.	784—786
Жариков Л.	787
Жижка М. В.	792
Житков Б. М.	793
Житков Б. С.	794
Житков Б. С.	795
Житков Б. С.	796
Житков Б. С.	797
Житков Б. С.	798, 799
Житков Б. С.	800
Житков Б. С.	801
Житков Б. С.	802
Житков Б. С.	803
Житков Б. С.	804
Житницкнй И. И.	805
Жуковская-Лисенко Н. Ю.	806
Жуковский В. А.	807
Жуковский В. А.	808
Жуковский В. А.	809
Жуковский В. А.	810
Жуковский В. А.	811
Жуковский В. А.	812
Забила Н.	818
Забила Н.	819
Замчалов Г.	839
Занегин М.	840, 841
Заречная С.	843
Заречная С.	844
Зац М.	854
Зверев С.	856
Зверева В. и Зверев В.	857
Зеленцова А.	863
Землинский С. Е. и Ивенский Я. Г.	864
Земной В.	865
Земной В.	866
Зенов Ф. Т. и Егоров П. Я.	867
Зиан М.	868
Зиан М.	869
Зиан М.	870
Зиан М.	871
Зиан М.	872
Зиан М.	873
Зив О.	874
Зильберман В.	875
Злобин С. П.	882
Злобин С. П.	883, 884
Знаменская Н. И. и Немоляев А. В.	887
Золотарев Е. Х.	888
Золотарева Н.	889
Золя Э.	893
Зорин П.	899
Зорин П.	900
Зорян С. И.	901—906
Зюйд-Вест Е С.	907
Иваненко О.	908
Иваненко О.	909
Иваненко О.	910
Иваненко О.	911
Иваненко О.	912
Иванов С.	913
Иванов С.	914
Ивенсен М. И.	915, 916
Ивич А.	917
Ивнев Р. А.	918
Ивнев Р. А.	920
Ивнез Р. А.	919
Игнатов П.	921
Ильенков В.	927
Ильин М.	928
Ильин М.	929, 930
Ильин М.	931
Ильин М. и Сегал Е.	932
Ильин М. и Сегал Е.	933—935
Ильин М. и Сегал Е.	936
Ильина Е.	937
Ильина С.	938
Инбер В.	940
Иоффе А. Ф.	942
Ирвинг В.	943
Исаковский М.	944
Каверин В.	945—947
Каверин В.	948
Каверин В.	949
Каверин В.	950
Каверин В.	951
Казанский А. М. и Карелин П. О.	951а
Казанцев А.	952
Калабин С. В.	1001
Каладзе К.	1002
Каладзе К.	1003
Каладзе К.	1004
Калинин М. И.	1006
Калинина В.	1007, 1008
Кальма Н.	1009
Кальма Н.	1010
Кальма Н.	1011
Камал Ш.	1012
Камал Ш.	1013
Каменкович З.	1014
Кандыба Ф.	1015
Кандыба Ф.	1016
Караев Г. и Успенский Л.	1017
Караев Г. и Успенский Л.	1018
Карамзин Б.	1019
Кара-Мурза Г. С.	1020
Карелин Д.	1021
Каримов Х.	1022
Каринский В.	1023
Карнаухова И.	1024
Карнаухова И.	1026, 1027
Карнаухова И.	1025
Карягин П. Ф.	1030
Каспина Е. П.	1031
Кассиль Л.	1032
Кассиль Л.	1033
Кассиль Л.	1034
Кассиль Л.	1035
Кассиль Л.	1036, 1037
Кассиль Л.	1037а
Кассиль Л.	1038
Кассиль Л.	1039
Кассиль Л.	1040, 1041
Кассиль Л.	1042
Кассиль Л.	1043, 1044
Катаев В.	1045—1047
Катаев В.	1048
Катаев В.	1049
Катаев В.	1050, 1051
Катаев В.	1052—1054
Катаев В.	1055
Катаев В.	1056
Катаев В.	1057
Катаев В.	1058
Квитко Л.	1059
Квитко Л.	1060
Квитко Л.	1051
Квитко Л.	1062
Квитко Л.	1063
Квитко Л.	1064—1066
Квитко Л.	1067
Квитко Л.	1068
Квитко Л.	1069
Кедрина З.	1070
Келер М. А.	1071
Келлер Б. А.	1072
Керашев Т.	1073, 1074
Керролл Л.	1075, 1076
Киплинг Р.	1078
Киплинг Р.	1079, 1080
Киплинг Р.	1081, 1082
Кириллова А.	1083
Кириллова А.	1084
Кирлиан В.	1085
Киртон Ч.	1086
