А. С.	4451, 6961.
Горлов Д.	966, 1211, 1513, 2248, 2249, 2250, 2251, 2252, 2966, 3212, 3345, 5597, 6016, 7351, 7356, 8592, 9723, 9730, 10227.
Городецкая Е.	10736.
Городецкий С.	2257, 2258, 2260, 2499.
Горощтнко Г.	4733, 9433.
Гортычская М.	452, 2576, 3517, 5909, 6419, 7025, 10765.
Горшман М.	2116, 2547, 4027, 4373, 4414, 6706, 10576.
Гранавцева М.	2302, 5323, 6717, 9773, 10580.
Гранвиль.	2796.
Гранильщиков А.	7910.
Грезер М.	2610, 2615.
Гри.	1043.
Григольев В.	2370.
Григорьев И.	10674.
Григорьев М.	1256, 5574, 5816.
Григорьева З.	123, 2501.
Гринберг В.	1228, 1986, 9093.
Гринвальд Э.	661.
Гриневская Л.	10106.
Гриффель Л.	10701, 10777.
Громов А.	2427, 2428, 2429, 2430, 2431, 2432, 2433, 2434, 2435, 2436.
Громницкий М.	8248.
Гросс Г.	6507.
Грушевская Т.	7639.
Губин В.	834, 838, 5398, 8125, 9567.
Гугунава Г.	1581.
Гужавин М.	2470, 4961.
Гурвич Э.	531, 6470.
Гуревич М.	6968, 8387, 9613, 9942, 10195.
Гурьев И.	2557.
Гусятинский А.	2335, 6405, 9072, 10079.
Дан О’Коннор.	656.
Девяткин С.	2643.
Дегтерев Б. А.	9523.
Дейнека А.	500, 693, 1732, 2651, 2653, 4378, 4869, 4985, 4988, 5115, 6676, 9619, 10594, 10670.
Дейнеко О.	2655, 2657, 2659, 2661, 9097, 9464, 9465, 9466.
Демкин А.	2682.
Дени.	5324.
Денисов В. Н.	291, 295, 1288, 1414, 2691, 2692, 2693, 2694, 2695, 2696, 2697, 2698, 2699, 2700, 2701, 2702, 2703, 2704, 2705, 2706, 2707, 2708, 2709, 2710, 2711, 2712, 2713, 2714, 2715, 2716, 2718, 2941, 5204, 6473, 7029, 7030, 7047.
Денисовский Н.	2266, 2558, 2719, 2720, 8879, 9191.
Дехтерев А.	9342.
Джемс В.	2814.
Дик.	492.
Дин Г.	718, 2859, 2879, 2881, 2882, 2883, 4415, 4841, 9261, 9647, 9715, 9733, 9734, 9736, 9764, 9768, 9769, 10735.
Дмитриев И.	149, 8254.
Добров М. А.	1731, 6929, 8936, 9839.
Добровольский В.	64.
Доброклонский В.	1108, 1337, 1345, 1586, 1932, 3886, 4537, 4545.
Доброковский М. В.	4625, 5537, 7541, 9886.
Добросердов М.	3670, 9852, 10898.
Добужинский М.	1653, 3134, 5988, 6984, 10285.
Долинская-Тюлина Н.	8950.
Дормидонтов Н.	7660.
Дорогое М.	6234.
Дорохов К.	3851, 6234.
Дорфман Е.	3218, 6139, 6142, 9217, 9220.
Дорэ Г.	7378, 7380, 7986, 7988, 8531, 8535, 8536.
Драуле Д.	377, 380, 395, 6829, 6943.
Дубасов И.	10235.
Дубровский Л.	377, 380, 7379, 9248-а, 9249, 9251.
Дутов Н.	5623.
Дэвис.	5794.
Е. К.	678.
Евгеньев Л.	3101.
Евстафьев М.	369.
Евсюкова.	8946.
Едельский М.	9388.
Езучевский М.	2091, 3126, 3127, 6949, 8968, 8969, 8972, 10831.
Елисеев К.	50, 71, 3426, 4232.
Елисеевнин А.	195, 3133.
Ермолаев А.	1676, 1949, 1988, 2195, 3671, 4517, 10832.
Еркголаев Б.	6775, 7600, 10403.
