Семенов И.	765, 1084, 1091
Сетон-Томпсон Э.	1514
Сизов П.	1603
Синани В. А.	912
Скоков Н. Н.	1057
Смехов Л.	8, 421, 427, 1283, 1424, 1437
Смехов С.	1424
Смирнов Б.	155, 287, 511, 939, 1266, 1344, 1835, 1863
Смирнов В. И.	1078
Смирнов М.	495—497
Смольянинов Н.	1255, 1424
Соколов А.	1408
Соколов П.	1158
Соловьев Г. С.	277, 278
Соловьев Е.	1580
Старицын В. А.	1465
Степанян С.	1737
Стольггва Л. П.	446, 449
Суниня К.	973, 1038
Сутеев В.	767, 768, 1888, 1889, 1895
Сычов Л.	1521
Таиров Н.	919, 1176, 1343
Тамби В.	3, 445, 767, 1345
Таранов М.	295, 319, 370, 1121, 1218, 1638
Тарасова В. Я.	746
Таубер В.	194, 765, 1261, 1264, 1282, 1611, 1648
Телингатер С.	386, 417, 607, 741, 778, 1188, 1371, 1469, 1941
Тер-Погосов В.	1478, 1479
Тимофеев И.	437, 1269
Тимофеев Н. Д.	1117
Титков И.	554, 697, 698, 718
Титов Б.	1104, 1148, 1433
Ткачев М.	812, 814, 922, 1765
Трофимов В.	56, 123, 449, 584, 585, 1770, 1771
Трындык Н.	39—41, 48
Туганов М.	1521
Тукин П.	650
Туркин А.	143, 1026
Туркин Н. И.	401
Тырса Н.	506
Урманче Б.	1111
Утц.	1766
Ушакова Н. А.	95, 100, 104, 446, 449, 527, 642, 663, 768, 1237, 1626, 1777, 1778, 1890, 1891
Фаворский В.	709, 710
Фаворская М.	709, 710
Фатеев И. А.	277, 278
Фандерфлит-Бриммер Н.	1375
Федоровская Н. Ф.	263
Федяевская В.	709, 710
Фейнберг Л.	470, 892, 893
Фехнер Д.	549
Фехнер.	1766
Фидлер М.	236
Физ (Г. К. Браун).	457, 458
Филипповский Г.	323, 1908
Фирсова В.	498, 499
Фитингоф Г. П.	229, 914, 1483, 1635
Фишер Г.	1270, 1696
Флеров К. К.	1537
Фомичев В.	444
Формозов А. Н.	1815
Фрадкин.	1575
Фрейманис К.	1417
Фридкин Б.	787—789
Фридман В.	1191
Фридман И.	1198
Фролов К. П.	1573
Халыков Г.	1412
Харкевич И.	202, 287, 768, 1230, 1675, 1687, 1877
Хитер Е. Я.	899
Хлынов В. И.	449
Цейтлин Н.	1159
Цельмер В.	1256, 1257
Цехановский М.	510, 557
Цигаль В.	174, 221, 222, 913
Цинберг Т. С.	1647
Цыбульник И.	291, 635, 1396
Чага Л. В.	446, 450
Чарушин Е.	129, 130, 149, 153, 446, 767, 947, 966, 1467, 1853—1869, 1896, 1897 
Челинцева В.	107, 486, 705, 1201, 1455, 1661, 1766
Чертова Т. И.	1326
Чехов С.	1241
Чирт Г.	1791
Чмут А.	687
Чудаков С. С.	449, 1885, 1886
Шабанов И.	742, 915, 1084, 1091
Шабалин Н.	1099
Шабалин Н. В.	809, 810, 817, 1463, 1718
Шаварш О.	1735—1737
Шайфер И.	279
Шевченко Т. Г.	1907
Шевяков Г.	539, 1582, 1583
Шенкер И.	1495
Шершнева Е. К.	450, 1278, 1279
Шестопалова Е. И.	450
Шигаев А.	393, 1332, 1715
Шитов Л.	286
Шишловский Н.	126, 128, 191, 678, 727, 728, 916, 1021, 1196, 1259, 1362
Шишмарева Т.	391, 400, 1369, 1370, 1594
Шишкин А. В.	401
Шмаринов Д.	299, 767, 870, 1371, 1609
Шойфер И.	1087
Шпак Ф.	593
Шуклин В.	1079
Шульга В.	768
Щеглов В. В.	29, 284, 285, 318, 446, 449, 626, 765, 767, 987, 1080, 1081, 1084, 1254, 1305—1311, 1480, 1482, 1586—1588, 1663, 1685, 1729, 1794, 1798—1800, 1818, 1828, 1920
Щеглов М.	937, 938, 1614, 1900, 1901
Щербаков А.	765, 923, 1282, 1287
Щербаков В. И.	806
Щировский М.	1383
Эделынтейн К.	1674
Эйгес Т.	1834
Эндриксон Евг.	25, 351, 446, 1940
Эппле Л.	488
Юара.	85
Юркевич Н. И.	449, 450
Яворовский Г.	477
Якобсон А.	24, 520, 524, 592, 758, 767, 860, 861, 1011, 1413—1415, 1449—1453, 1459, 1460, 1622, 1623, 1660, 1835
Яковлев И.	484
Якубович Г. С.	157, 446, 449, 450, 1034, 1247
Янышинов Н. А.	1546
Яроцкий А. А.	446, 449, 450, 1043
Яцкевич Н.	768
