Пластинин В.	1113
Платов Л.	1114
Плещеев А. Н.	1115
Плисецкий М. С.	1116
Погореловский С.	1117
Пожарова М.	1122
Познанская М.	1124
Познанская М.	1125—1126
Полевой Б.	1128
Полевой Б.	1129—1130
Полевой Б.	1131—1132
Полесских М.	1133
Полийчук Б.	1056
Помяловский Н. Г.	1137—1138
Попов И.	1139
Попов. Н.	1140—1141
Попова Н.	1142
Попова Н.	1143
Попова Н. и Рождественская К.	1144
Поповский А.	1145
Потресов А. С. и Улицкий М. Б.	1147
Презент И. И.	1151
Преображенская Л.	1152
Прилежаева М.	1155—1160
Прилежаева М.	1154
Прилежаева-Барская Б.	1161
Принцев Ю. и Хочинский Ю.	1163
Пришвин М. М.	1164
Пришвин М. М.	1165
Пришвин М. М.	1166—1167
Пришвин М. М.	1168
Пришвин М. М.	1169
Пришвин М. М.	1170
Пришвин М. М.	1171
Пришвин М. М.	1172
Пришвин М. М.	1173
Программа.	377
Промптов Ю.	1181
Протасов С.	1182
Пряничников В.	1183
Пунченок А.	1184
Пунченок А.	1185
Пухначев В.	1187
Пушкарев Г.	1188
Пушкарев Г.	1189
Пушкин А. С.	1190
Пушкин А. С.	1191
Пушкин А. С.	1192
Пушкин А. С.	1193
Пушкин А. С.	1194—1196
Пушкин А. С.	1198—1203
Пушкин А. С.	1197
Пушкин А. С.	1204
Пушкин А. С.	1205
Пушкин А. С.	1206
Пушкин А. С.	1207—1208
Пушкин А. С.	1209
Пушкин А. С.	1210
Пушкин А. С.	1211—1213
Пушкин А. С.	1214—1219
Пушкин А. С.	1220—1221
Пушкин А. С.	1222—1223
Пушкин А. С.	1224—1226
Пушкин А. С.	1227—1229
Пушкин А. С.	1230—1233
Пушкин А. С.	1234—1238
Пушкин А. С.	1239—1243
Пушкин А. С.	1244—1248
Пушкин А. С.	1249
Пушкин А. С.	1250—1253
Пушкин А. С.	1254
Пушкин А. С.	1255
Пушкин А. С.	1256
Радищев А. Н.	1262
Раевский Б.	1263
Раевский Б.	1264
Раевский Б.	1265;
Раевский Б.	1266
Раковская Н.	1267
Раковская Н.	1268—1269
Раковский Л.	1270
Распэ Э.	1271
Рахманов Л.	1274—1275
Рейнберг С. А.	1277
Рзакули-заде М.	1280
Ризо Хикмат.	1279
Рогинская А.	1281
Рогова О.	1282
Рогова О.	1283
Рождественский И.	1285
Рождественский И.	1286
Розанов С.	1287
Рокпелнис Ф.	1288
Романов И.	1289
Рубель Р. Б.	1290
Рублев Г.	1291
Рудиж П. А.	1292
Русских Р.	1309
Руставели Ш.	1310
Рыбаков А.	1311—1313
Рылов А.	1314
Рыльский М.	1314а
Рябчиков Е.	1315
Сабир М. А.	1316
Сабир М. А.	1317
Сабиров С.	1318
Савельев Л.	1319—1321
Саконская Н.	1322
Саконская Н.	1323
Саконская Н.	1324
Саконская Н.	1325—1326
Салтыков-Щедрин М. Е.	1327—1328
Салтыков-Щедрин М. Е.	1329
Салтыков-Щедрин М. Е.	1330
Салтыков-Щедрин М. Е.	1331—1333
Самсонов С.	1335—1337
Сапарин В.	1338
Сартаков С.	1339
Сартаков С.	1339а
Сафонов В.	1340
Сац Н. и Розанов А.	1341
Сборник рассказов.	1000
Сборник.	1018
Свифт Д.	1342
Свифт Д.	1343
Северный А.	1344
Сеид-заде М.	1345—1346
Семеновский Д.	1347
Семушкин Т.	1348—1350
Семушкин Т.	1351—1352
Сенкевич Г.	1353
Серафимович А. С.	1354
Серафимович А. С.	1355
Серафимович А. С.	1356
Сервантес С.	1357—1358
Сергеев М.	1359
Силс П.	997
Симонов К.	1362
Симонов К.	1363
Симонов К.	1364
Сказка.	370
Скобельцын В.	1377
Скобельцын В.	1378
Скребицкий Г.	1379—1380
Скребицкий Г. и Чаплина В.	1381
Скребицкий Г. и Чаплина В.	1382
Скребицкий Г. и Чаплина В.	1382а
Слипченко И. Г. и Пухинда Н. Л.	1383
Смирнов В.	1384
Смирнов Н.	1385
Снегирь Ю.	1387
Снежин С.	1389
Соболев М.	1390
Собрал А. Бриндаров.	1044
Совюра В.	1401
Соколов Н. Л.	1393
Соколов Н. Л.	1394
Соколов Н. Л.	1395
Соколов Н. Л.	1396
Соколов Н. Л.	1397
Соколов-Микитов И.	1398
Соломянская Л. и Глязер С.	1400
Сост. А. Зусина.	204
Сост. А. Усманов.	83
Сост. Алексеев С.	384
Сост. Алексеева О. В. и Силландер В. И.	1600
Сост. Арбенева Н. Н.	329
Сост. Бабышкин О. К.	1293
Сост. Беляков Н. Д.	101
Сост. Благосклонов К. Н.	375
Сост. Боголюбская М. К. и Табенкина А. Л.	1599
Сост. Бромберг А. Г.	439
Сост. Булатов М.	715
Сост. Вавилина В. и Скибицкая В.	1108
Сост. Воскобойников М.	1399
Сост. Гакина Т.	540
Сост. Головин Н.	1371
Сост. Головин Н.	1653
Сост. Григорьева Л.	1448
Сост. Гроздова Е. И.	378
Сост. Гроздова Е. И.	379
Сост. Ершов Г. и Жемайтис С.	1695
Сост. Карпенко Г.	678
Сост. Карпенко Г.	679
Сост. Климов П.	969—969а
Сост. Козловская Р. Д.	607
Сост. Колосова С.	1676
Сост. Колпакова Н.	403
Сост. Колпакова Н.	486—487
Сост. Колпакова Н.	488—492
Сост. Кон Л. Ф.	1019
Сост. Коптелов А.	1375—1375а
Сост. Кудрявцева О. А.	440
Сост. Кудряшова А.	659
Сост. Кудряшова А.	971
Сост. Кудряшова А.	1040
Сост. Кудряшова А.	1121
Сост. Кудряшова А.	1180
Сост. Лесная Л.	1376
Сост. Летов Б.	1079
Сост. М. Фридман.	61
Сост. Озирный В. Н.	774
Сост. Рамсина С. Б.	385
Сост. Рождественская К.	1627
Сост. Садомокая С.	1257—1258
Сост. Садомская С.	383
Сост. Советкин Ф.	1273
Сост. Улуг-Заде К.	1436
Сост. Филиппова К.	1259
Сост. Халифман И.	582
Сост. Харченко Л.	1080
Сост. Хотиловская Л.	1186
Сост. Чухин А. И.	788
Сост. Шер Н. С.	1284
Сост. Шишкин С. А.	1360—1361
Сотник Ю.	1402
Сотник Ю.	1403
Стариков В. А.	1406
Стахурокий А.	1408
Стекольников И. С.	1409
Стивенсон Р. Л.	1410—1412
Страхова М.	1415
Стрелков П.	1416
Струнин В.	1418
Студитский А. Н.	1419—1420
Студитский А. Н.	1421
Студитский А. Н.	1422
Стюарт Е.	1423—1424
Стюарт Е.	1425
Судрабу Э.	1426
Сулержицкий Д. Л.	1427
Сулержицкий Д. Л.	1428
Сулержицкий Д. Л.	1429
Сунцова Г.	1430
Суриков И. З.	1431
Сурская В.	1432
Сутеев В.	1433
Тайц Я.	1440
Тайц Я. М.	1438—1439
Тараховская Е.	1441
Тарджеманов Д.	1442
Твардовский А.	1443
Твен М.	1444
Твен М.	1445—1446
Тигане А.	1450
Тимирязев К. А.	1452
Тимофеев Б.	1453—1454
Титане Л.	1451
Тихонов Н. К.	1455
Тихонов Н. С.	1456
Тихонов Н. С.	1457—1458
Тихонов Н. С.	1459—1460
Толмачева Е.	1461
Толстой А. Н.	1462—1462а
Толстой А. Н.	1463
Толстой А. Н.	1464—1466
Толстой А. Н.	1467
Толстой А. Н.	1468—1469
Толстой Л. Н.	1490—1491
Толстой Л. Н.	1470
Толстой Л. Н.	1471
Толстой Л. Н.	1472—1473
Толстой Л. Н.	1474—1475
Толстой Л. Н.	1476
Толстой Л. Н.	1477—1478
Толстой Л. Н.	1479
Толстой Л. Н.	1480
Толстой Л. Н.	1484—1489
Толстой Л. Н.	1481—1483
Толстой Л. Н.	1492
Толстой Л. Н.	1493
Толстой Л. Н.	1494
Томан Н.	1495
Томашевич Г.	1496
Третьяков Н. П.	1497
Трутнева Е.	1498
Трутнева Е.	1499
Трутнева Е.	1500
Трутнева Е.	1501
Трутнева Е.	1502
Трутнева Е.	1503
Труфакин А. Е.	1504
Труфакин А. Е.	1504а
Труфакин А. Е.	1505
Труфакин А. Е.	1506
Тувим Ю.	1507—1508
Тукай Г.	1509
Туманишвили Т.	1510
Туманян О.	1511
Туманян О.	1512
Тумунов Ж.	1512а
Тургенев И. С.	1513
Тургенев И. С.	1514
Тургенев И. С.	1515—1516
Тургенев И. С.	1517
Тургенев И. С.	1518
Тургенев И. С.	1519—1521
Тургенев И. С.	1522
Тургенев И. С.	1523—1524
Тургенев И. С.	1525
Тургенев И. С.	1526
Тургенев И. С.	1527
Тушкан Г.	1528
Тынянова Л.	1529
Тычина П.	1530
Тычина П.	1531
ТЮнга Е.	1690—1691
Уйда.	1532
Украинка Л.	1533
Украинка Л.	1534
Украинка Л.	1535
Украинские народные-сказки.	670
Ульянова-Елизарова А. И.	1537—1538
Урманов К.	1541
Успенский Г.	1542
Успенский Г. И.	1544
Успенский Г. И.	1543
Устинович Н.	1545—1546
Ушакова Н.	1549—1552
Ушинский К. Д.	1553
Ушинский К. Д.	1554
Ушинский К. Д.	1555
Ушинский К. Д.	1556
Ушинский К. Д.	1559—1561
Ушинский К. Д.	1557—1558
Ушинский К. Д.	1562
Ушков С. Л. и Васнецов В. А.	1563
Фадеев А.	1564
Фадеев А.	1565
Фадеева О.	1566—1566а
Фаст Г.	1567
Федосеев Г.	1568
Ферсман А. Е.	1569
Фец А.	1570
Филиппычев А. В.	1570а
Фиш Г.	1572—1573
Флягин А.	1574
Фонвизин Д. И.	1575
Фонвизин Д. И.	1576
Фонвизин Д. И.	1577
Фраерман Р.	1578
Франко И.	1579
Фролов Ю. П.	1580
Фролов Ю. П.	1581
Фурманов Д.	1582—1584
Фучик Ю.	1585
Хавкин О. А.	1586—1587
Харджиев Н. и Тренин В.	1588
Хаскин А.	1589
Хетагуров К.	1590
Хильдрет Р.	1591
Хоринская Е.	1592
Хоринская Е.	1593
Хоринская Е.	1594
Хоринская Е.	1595
Хоринская Е.	1596
Хоринская Е.	1597
Хорол В.	1598
Цадаса Г.	1602
Цвирка П.	1603
Цвирка П.	1604—1604а
Цвирка П.	1605
Чаплина В.	1606—1607
Чаплина В.	1608
Чарушин Е.	1609
Чарушин Е.	1610
Чарушин Е.	1611
Чарушин Е.	1612
Чарушин Е.	1613—1617
Чарушин Е.	1619
Часовников А.	1620
Черников В.	1621
Чернышевский Н. Г.	1622
Чернышевский Н. Г.	1623
Чернышевский Н. Г.	1624—1625
Честное Ф. И.	1626
Чехов А. П.	1628—1630
Чехов А. П.	1631
Чехов А. П.	1632—1637
Чехов А. П.	1638
Чехов А. П.	1639
Чехов А. П.	1645
Чехов А. П.	1640—1644
Чехов А. П.	1646
Чуковский К. И.	1654
Чуковский К. И.	1655—1656
Чуковский К. И.	1657
Чуковский К. И.	1658
Чуковский К. И.	1659
Чуковский К. И.	1660
Шанг А.	1661
Шао Цзы-нань.	1662
Шаров А.	1663
Шаферов В. П.	1664
Шафетов В. П.	1664а
Шварц Е.	1665—1667
Шварц Е. и Фрез И.	1668
Шевченко Т. Г.	1669
Шекспир В.	1670
Шекспир В.	1671
Шиллер Ф.	1673
Шихов Л. И.	1674
Шиян А.	1675
Шолохов. М.	1677
Шомахов А.	1679
Шторм Г.	1680
Шубин А.	1681
Щербиновский Н.	1683
Щукин С.	1684
Щукин С.	1685
Югов А.	1688
Юдин В. М. и Бригис О. И.	1689
Юнга Е.	1692
Юрковский А М.	1697
Юрцев Б.	1698
Юсупова С. и Яновская М.	1699
Якобсон А.	1700
Яковлев В.	1701
Яковлев В.	1702
Яковлев Ю.	1703
Яковлев Ю.	1704
Яковлев Ю.	1705
Якубович В. Я. и Смирнова Г. П.	1706
Ян В.	1707
Яровая М.	1708
