Диковский С.	2286
Дикушина Н. И.	1366
Дилакторская Н.	1130
Дильмагани М.	2296
Димитриу Г.	1900
Димитров-Рудар П.	2345
Динмагомаев Р.	2327
Дисон П.	2156
Длуголенский Я.	440, 441, 2286, 2306
Дмитриев А.	2424
Дмитриев О.	2367
Дмитриев Ю.	2281, 2301, 2350,2436—2439
Дмитриев Ю. Д.	963
Дмитриева В. И.	1554
Дмитриева О.	2440
Дмитриева Ц.	560
Дмитриенко Сережа.	2299
Добози И.	2176
Добровенский Р.	442
Добролюбов Н. А.	1555
Добронравов Н.	397
Добрый Т.	2349
Добряков В.	443, 2330
Довлатов С.	2300
Догадаев В.	444
Докучаев Ю.	2420
Долина Г.	2328
Долинина Н.	445
Долинский Д.	2322
Долматовский Ю.	2354
Домбровская Е.	2514
Домбровский А.	446, 2441
Домнин А.	2328
Донникова В.	2318
Домовитов Н.	2291
Дорохов А.	2281, 2354, 2442
Дорош Е.	2531
Достоевский Ф. М.	1556— 1568, 2282
Достян Р.	447
Драгунский В.	448—452, 2281, 2284,2291, 2313
Дридзо В. С.	694
Дриз О.	1901 — 1904, 2359, 2367
Дрожжин С. Д.	2295, 2346
Дружинин В.	2286, 2424, 2425
Дружков Ю.	453
Дубов Н.	454—456, 2215
Дубовка В.	1905
Дубровина И.	1364, 1367
Дубровина Э.	457
Дугинец А.	458—460
Дудин М.	2306, 2359
Дудинцев В.	2301
Дудкин В.	2596
Дудочкин П.	2350
Дунаевский А.	2281
Дурова Н.	461, 462
Дьяконов Л.	463, 464
Дьяченко В.	2326
Дэмский Н.	465
Дюжев Ю.	2284
Дюма А.	2171, 2172
Дягилев В.	466
Дягутите Я.	2350
Евстратов В.	468
Евтушенко А.	469
Евтушенко Е.	2367
Егоров В.	2337
Егоров Н.	2322
Екимцев А.	470—474, 2367, 2640
Елагина А.	2088, 2288, 2289
Елатомцева И.	2443
Елизаветин Г.	2444
Елинсон Н.	475, 476, 2299
Елисеев Ю.	477, 478
Елкин В.	2597
Емельянов Б.	370, 479, 2298, 2301
Емельянова И.	2361
Емельянова Н.	480, 2281
Ермаков И.	481, 2329, 2362
Ермилов В.	1562, 1758, 1759
Ермолаев Ю.	482, 2281, 2325
Ермолаева Р.	2466
Ермолович Н.	221, 483
Ершов П. П.	1569— 1572
Ершов Я.	484
Есенин С.	485, 2295, 2346, 2364, 2365
Еськов Н.	2353
Етекбаев М.	1906
Ефетов М.	492—494
Ефимов А.	2445
Ефимов Г.	1907
Ефимов И.	495
Ефимова А.	2598, 2599
Ефремов И.	496
Ефремов Ю.	497
Жабинская А.	2173
Жак В.	498, 2322
Жалсараев Д.	1908
Жариков А.	499, 500, 2324
Жариков Е.	501
Жариков Л.	502—505
Жармагамбетов К.	2336
Жаров В.	2446
Жданов Н.	506, 507
Жегалова С.	2531
Железников В.	508, 509, 2284, 2325
Жемайтис С.	510, 2281, 2303
Жестев М.	511, 2298, 2299
Жиенбаев С.	2336
Жижина С.	2531
Жимбиев Ц.-Ж.	1909
Житков Б.	513—517, 2320, 2350
Жичка Ф.	1910
Жолтикова Н.	2425
Жуков Ю.	2354, 2523
Жуковский В. А.	1573, 2346
Жукровскйй В.	2174
Жумагалиев К.	2336
Журавлев А.	518
Журавлев Н.	2347
Журавлева З.	519
Забила Н.	1911, 1912, 2320, 2350
Заболоцкий Н.	520
Заборский М.	2301
Завадская Н.	2361
Завадье А.	2171
Завельская С.	2332, 2333
Заводчиков П.	521
Завьялов А.	2600
Заграевская И.	2354
Задунайская З.	2200
Закруткин В.	2292
Замойский П.	522
Западов А.	1743, 1744
Зархи В.	2300
Зарьян Н.	2360
Заславский Р.	523, 2115
Зафар Диёр.	2293
Захаров Сергей.	524
Захаров Стефан.	525
Захарченко В.	2449, 2450
Заходер Б.	526—534, 2135, 2325, 2641
Зверев И.	2109
Зверев М.	535, 536, 2446
Зверинцев А.	2286
Звягина В.	537
Зебзеева А. Г.	2317, 2328
Зегерс А.	2242
Зейтунцян П.	2311
Зеленин В.	2287
Земитан В.	2594
Земляк Я.	538, 2334
Земская И.	539
Зернова Р.	540
Зианг Нам.	2241
Зигель Ф.	2386, 2451
Зиначев А.	2319
Златогоров М.	541
Злотников В.	542
Знаковская Л.	2350
Зобель Ж.	2296
Зоджи.	2156
Золотарев Л.	543
Золотовский К.	2305
Золотусский И.	544
Золотухина Т.	2350
Зорин Б.	2319
Зорина Т.	2452
Зорьян С.	2311
Зощенко М.	545, 2320
Зубавин Б.	546, 746
