Носов Н.	1200
Образцов П.	1201
Овечкин А.	1204
Огнецвет Э.	1205
Огнецвет Э.	1206
Одоевский В.	1207
Озерный Б.	1208
Оленич-Гнененко А.	1213
Ольхон А.	1214
Ольхон А.	1215
Оратовский И.	1216
Осеева В.	1217—1225
Осеева В.	1226, 1227
Осеева В.	1228, 1229
Осеева В.	1230
Осеева В.	1231
Осетров Е.	1233
Осинин Н.	1234
Осипов А. М., Александров В. А. и Гольдберг Н. М.	1235
Осипов К.	1236
Островой С.	1237
Островский А. Д.	1238
Островский А. Н.	1239
Островский Н.	1240
Островский Н.	1241
Охотников В.	1244
Павленко П.	1245
Павленко П.	1246—1248
Павлов Г.	1249
Павлович С.	1250
Павлович С.	1251
Павлович С.	1252
Палийчук Б.	1253
Пантелеев Л.	1261
Пантелеев Л.	1262
Пантелеев Л.	1263, 1264
Пантелеев Л.	1266
Пантелеев Л.	1265
Панько С.	1267
Панюков В.	1268
Панюков В. и Зверев М.	1269
Парве Р.	1270
Парве Р.	1271
Парве Р.	1272
Патов Н.	1273
Патов Н.	1274, 1275
Пахомов А.	1276
Пелманис Л.	1277
Пермяк Е.	1280
Пермяк Е.	1281
Перро Ш.	1282
Перро Ш.	1283—1285
Перро Ш.	1286—1289
Перфильева А.	1290
Петров М. Ф.	1295
Печерникова Т. А.	1299
Плавильщиков Н.	1304, 1305
Платов Л.	1306
Плещеев А. Н.	1307
Плисецкий М. С.	1308
Повести.	378
Погореловский С.	1310, 1311
Погореловский С.	1312
Погореловский С.	1315
Погореловский С.	1309
Погореловский С. В.	1313
Погореловский С. В.	1314
Погосян Р.	1316
Познанская М.	1321
Познанская М.	1322, 1323
Познанская М.	1324
Покровская С. А.	1969
Полевой Б.	1325
Полевой Б.	1326
Полевой Б.	1327
Полевой Б.	1328
Полесских М.	1329
Поливанова М.	1330
Поликарпов В., Черевков М., Яковлев В.	1331
Полякова К.	1333
Полякова Л.	1334
Поляхин Н.	1335
Померанцев Л. В.	1336
Померанцев Л. В.	1337
Попов И.	1338, 1339
Попов Л.	1340
Попов Н. В.	1341
Попов-Декатов Н. П.	1342
Преображенская Л.	1348
Пригоровский С.	1349
Прилежаева М.	1351
Прилежаева М.	1353, 1354
Прилежаева М.	1352
Прилежаева М.	1355
Прилежаева-Барская Б. В.	1356
Прилежаева-Барская Б.	1357
Пришвин М.	1358
Пришвин М.	1359, 1360
Пришвин М.	1361, 1362
Пришвин М.	1363
Протопопов Н.	1365
Пузанов Б. Л.	1366
Пухначев В.	1367—1371
Пушкин А. С.	1372
Пушкин А. С.	1373
Пушкин А. С.	1374, 1375
Пушкин А. С.	1376
Пушкин А. С.	1377
Пушкин А. С.	1378—1380
Пушкин А. С.	1381
Пушкин А. С.	1382 
Пушкин А. С.	1383, 1384
Пушкин А. С.	1385, 1386
Пушкин А. С.	1387
Пушкин А. С.	1388, 1389
Пушкин А. С.	1390—1395
Пушкин А. С.	1396
Пушкин А. С.	1397, 1397а
Пушкин А. С.	1398
Пушкин А. С.	1399
Пчелякова А. А.	400
Раевский Б.	1404
Раевский Б.	1405
Раевский Б.	1406
Райнис Я.	1407
Раковская Н.	1408, 1409
Раковский Л.	1410
Раскова М.	1411
Рассказы и стихи.	214
Рахмат Б.	1419
Реймерис В.	1420—1422
Ризо Х.	1426
Рихтер Б.	1427
Рогова О. и Чернышева А.	1428
Розанов С.	1430
Розанов С.	1431
Романов И.	1432
Романовский Р.	1433
Рудерман М.	1434
Ружанский Е.	1435
Румянцев А.	1439
Рыбаков А.	1458—1460
Рыкунин Б. В.	1461
Рылов А.	1462
Рыльский М.	1463
Рысс Е.	1464
Рябинин Б.	1465
Рязанова Е.	1466
Ряховский В.	1467
Сабахаттин А.	1468
Сабиров С.	1469 
Савельев Л.	1470—1473
Савельев П.	1474
Савельев П.	1475
Савельев П.	1476
Садовяну М.	1477
Саконская Н.	1478
Саконская Н.	1479
Саконская Н., Соколовский А.	1480
Салтыков-Щедрин М. Е.	1481
Салтыков-Щедрин М. Е.	1482, 1483
Самсонов С.	1486
Самсонова Л.	1487
Сармен.	1488
Сартаков С.	1489
Сафян Шогик.	1490
Саянов В.	1491
Сборник.	283
Сборник.	329
