Конашевич В.	30, 31, 507, 509, 862, 959, 978, 1030, 1033, 1096, 1098, 1283—1285, 1834, 1839, 1840
Кондратьев А.	318, 545, 712, 862, 1108, 1416, 1479, 1680
Кондрашкин В.	912
Конев Е. А.	687, 967
Коновалов В.	145, 289, 512, 521, 522, 596, 1096, 1415
Коновалов И. Я.	1908а
Константинов В.	151, 1427
Константинов Ф.	1463, 1598, 1855
Константиновский А. И.	350, 352, 362, 363, 484, 553, 935
Кораблинов В.	495, 873, 1293, 1578, 1733
Коржев Г.	294
Коровин О.	159, 253, 538, 724, 941, 1486
Коровина А.	709, 861, 862, 1830
Коростышевский Л.	553, 690, 737, 1148, 1754, 1922
Короткий А.	154, 155, 514, 852, 861, 862, 977, 1166, 1464, 1505, 1506, 1757, 1758
Костров Н.	553, 604, 1315, 1772
Кострова А.	697, 1644, 1645
Косцюшка В.	500
Котляров Г.	1248, 1460, 1783
Котляров Л.	69, 1306
Котовщиков И. П.	460, 936, 1195
Коцубей Т.	1908
Кочергин Н. М.	173, 190, 285, 286, 324, 400, 511, 553, 600, 601, 679, 722, 774—776, 862, 958, 1399, 1440—1442, 1456, 1754, 1831, 1877
Коэметс А.	1803
Кравченко Н.	950, 1593
Красковский С.	1131
Крегер В.	139
Кривов Н.	1174, 1420
Кричевский И. Д.	1230
Кроненберг А.	141, 1611
Крылов П.	1216, 1498
Ксенофонтов Т. И.	697, 1873
Кудрин А.	298, 1604
Кужеленко О.	656
Кузанян Н.	1144
Кузанян П.	360, 607—610, 1379
Кузин П. Д.	944
Кузнецов И.	402, 473, 514, 650, 671, 679, 680, 782, 783, 793, 862, 959, 1278, 1502, 1520, 1527, 1637, 1829, 1831
Кузнецов К.	480, 650, 671, 782, 783, 793, 1424, 1448
Кузнецов Н. П.	1638
Кузнецова Т.	942
Кузьмин Н.	454, 491, 1376, 1866
Кукрыниксы	352, 408—411, 415, 425, 512, 1077, 1483, 1818
Кукс М.	1507, 1649, 1650
Кулаков С. В.	951, 1523
Куликов Н.	334—337, 395, 553, 1302, 1682
Куллес Т.	1767
Куприянов С.	13, 157, 192, 559, 579, 580, 1300, 1402, 1403, 1575
Курдов В.	127, 128, 130, 135, 136, 138
Курдюмов В.	1900
Кусков И.	541, 705, 706, 861, 862, 1177, 1683, 1684
Кустов В.	305
Кустов Н.	3, 517, 553, 1405, 1716
Кустодиев Б.	372
Кучеров Е. В.	908
Лаврентьев Н.	572, 573
Лаврентьева Е.	825—827, 918
Лавров П.	616
Ладягин В.	112, 202, 300—302, 307—309, 351, 355, 360, 514, 651, 747, 834, 1115, 1194, 1198, 1240, 1353, 1415, 1416, 1561, 1593, 1739, 1817
Лазаревская В.	10, 13, 1291, 1307, 1868, 1908
Лапаев С.	46, 931
Лапин Е.	1427, 1807
Лаптев А.	13, 514, 671, 784, 862, 865—867, 916, 917, 959, 997, 998, 1001, 1393, 1413, 1414, 1527, 1727, 1734
Лебедев Б.	326, 397, 413, 414, 772, 1476, 1816
Лебедев В. В.	507, 861, 1017, 1019, 1022, 1026, 1027, 1029, 1031, 1033, 1416, 1653
Лебедев Н. И.	1349
Лебедева Т.	1415, 1416
Леви Г. Г.	984
Левянт Н.	1759
Лекаренко Н.	1020
Лемкуль Ф.	288, 496, 861, 1152, 1232, 1663, 1668, 1672
Лень В. Г.	922
Леушин Н.	1051, 1159, 1525
Ливанов А.	393
Лидер Д.	1707
Ликман Г.	672, 985, 1234
Линдеберг А.	131, 1010, 1535—1538
Лисевич В.	237
Литвинов Ф.	1513
Литовченко Г.	392
Лобанов Н. П.	511
Лопяло В.	351—354, 360, 959, 1527
Лотохин С.	959
Луганский П. И.	232, 235
Лукин Б. Н.	262
Лурье А.	245, 246, 479, 1171, 1660
Львов М. М.	1226
Любимов В. В.	510, 511
Лямин Н.	176, 1340
Ляхин Г.	883, 884
Маврина Т. А.	110, 510, 677—679, 959, 1232, 1296, 1364, 1502, 1514, 1527, 1769, 1778, 1779, 1831
Макаров Г.	319, 910
Макаров Ю.	378, 467, 468, 597, 909
Макунайте А.	140
Малаян П.	171, 675
Малинина С.	979
Малиновский Г.	841, 842
Мальт С. А.	1566
Малюков И.	658, 882, 1119, 1120, 1136, 1712
Манеця И.	1722а
Манукайте А.	140
Маркевич Б.	56, 57, 187, 514, 1883—1886, 1913
Марфин С.	685
Материн М.	782, 783
Медведев В.	1301,
Мезерницкий Ю.	576, 616
Метелей А.	119, 201
Мехтиев А.	527
Мешков В. И.	1370
Микулинская В.	167
Милашевский В.	1522
Миллер Г.	39
Миловидов Б.	169, 1150, 1466
Милорадович Л.	76, 225, 226, 828
Мильчин Л.	1748
Минаев В.	261, 351, 445—449, 498, 499, 514, 679, 721, 1172, 1174, 1502, 1781, 1823, 1831
Митрохин Д.	1177
Митряшкин М.	712
Михаэлис М.	496, 1786
Михранянц И. А.	1224, 1493
Могилевский А.	929, 959, 1527
Могилецкий Б.	878
Моносзон М.	1074
Моравов А. В.	1079—1084, 1377
Морозов Т. П.	659
Морозова Е.	1361, 1626
Мочалин И.	1007, 1775
Мочальский Д.	512, 780
Мощенко П.	741
Мулляр Ф.	90
Мунц Н.	94, 263, 522, 681, 682, 750, 837, 842, 861, 862, 972, 1096, 1102, 1219, 1225, 1519, 1587, 1588, 1619
Мурадян С.	1861
Муратов Н. Е.	227, 553, 870, 871, 1004, 1125, 1270, 1606, 1751, 1752, 1812—1814, 1832
Муцениек А.	1724
Нагишкин Д.	959, 1137—1141, 1527
Назаров В.	510
Назыров А.	1129
Налбандян Д.	512
Наумова Е.	1428
Незнайкин И.	862, 1177, 1683, 1684
Непринцев Ю.	381—390, 488—490, 509, 511, 622, 623
