Зусман Л.	306, 1457, 2458, 2633, 3614, 3794, 3837
Зырянов А.	3824
Иванин В.	67, 1070, 1575
Иваницкая Т.	1313, 2237, 3972
Иванов В.	106, 960, 1211, 4015, 4017
Иванов К.	1786
Иванов Л.	4212, 4213
Иванов Ю.	1379, 2199, 2639, 4015
Ивасенко А.	630, 647, 725, 903, 971, 976, 1657, 1737, 2110, 2129, 2578
Игнатов В.	290, 518, 1860, 2576
Игнатов Н.	3478
Игнатьев Н.	1315, 1330, 3042
Игнатьев Ю.	291, 1515, 2091, 2836—2839, 2888, 3250, 3319, 4049
Измайлов Е.	987
Изотов О.	2459
Ильин Л.	3499
Ильина Л.	3075
Ильинский И.	161, 380, 452, 520, 722, 1432, 1433, 1587, 1597, 2009, 2363, 2474, 3082, 3644, 3749, 3822, 3829, 3900, 3911, 3915
Имашев Р.	3096, 3213, 3215, 3311
Искринская И.	3856
Иткин А.	2751, 994, 1631, 1632, 1634, 1635, 1785, 2096, 2121, 2814, 2884, 2888, 3003, 3232, 3427, 3610, 3794, 3828, 3900
Иткина А.	2
Иодикайтис К.	3381
Кабаков И.	1443, 1460, 3405, 3554, 3557, 3561, 3724, 3757, 3829, 3918, 3924, 4119
Кабанов Ю.	557, 1198
Каган М.	1512, 3799, 3801, 4212
Кадочников В.	2489, 3824
Кадушкин А.	2691, 3904, 3905
Кайтуков Г.	3221
Казакова И.	1130, 3799, 3800, 4212, 4214
Казанцев А.	1007, 2427, 4018, 4138, 4385, 4418, 4422
Казанцев Н.	1017, 1516, 2340, 3938
Казанцевы Н. и А.	4051
Казмичев Ю.	1394
Кайдалов В.	3481
Калаушин Б.	507, 603, 740, 1749, 2185, 3894
Калачев С.	174, 687, 728, 729, 803, 1110, 1123, 1405, 1610, 1611, 1736, 1791, 1855, 2065, 2210, 2424, 2425
Калганов Г.	3795
Калинин М.	879, 4017
Калиниченко В.	122, 2039, 2715, 3820, 3916
Калиновская Г.	615
Калиновский Г.	607, 1051, 1057, 1058, 1135, 1442, 2063, 3104, 3562, 3625, 3662, 3721, 3915
Калинычев К.	1399, 2655, 3115
Калистратов Б.	1234, 3399
Калита Н.	1357, 3907
Калуга В.	2382
Каменева Е.	4132
Каменский А.	3829
Каменский В.	1597
Камин Э.	1794, 1885
Кампар З.	3375
Кандер В.	420, 3441
Каневский А.	161, 171, 1449, 2403, 2011, 3836, 3924
Каневский В.	762, 855—857, 3828, 3855
Каневский С.	3279, 3321
Канторов А.	1472, 3057
Кануков У.	3168
Капанидзе З.	4081
Капустин Е.	1841, 2012
Капустин Т.	3098
Капустин Ю.	1081
Капустина Т.	506, 641, 2279, 3448, 3799
Капусцинский В.	3801, 4212—4214
Карабут В.	958, 3852, 4180, 4319
Караваевы Г. и В.	492
Карамышев В.	457, 1308, 1508, 2204, 3289
Карачев Ю.	497
Караченцов Н.	610, 611
Караченцов П.	111
Кардовский Д.	3006
Каретко В.	851, 1423, 2316
Карилло А.	1029
Карлов Г.	3412
Карпенко Б.	360, 3579
Карпенко В.	3129, 3263
Карпенко М.	2790, 3079, 3460
Карпов К.	2032
Карышев О.	4015
Карюкова Л.	3176
Касрадзе Г.	3235
Катаев Л.	1539
Катанов Ю.	1392
Качанов Р.	1076
Кашкуревич А.	1014, 3552
Кащенко В.	1080
Келейников А.	5, 362, 766, 769, 824, 1216, 2214, 2217, 2231, 2657, 3280, 3821, 3829, 3906, 4041
Келейников Л.	940
Кервалишвили Г.	735
Кетов Г.	133, 1356, 2086, 3435
Кибрик Е.	1265, 1518, 1519, 1826, 2769, 3634
Киприн С.	2286, 2370
Кирич Э.	3182
Кирпичев П.	2162
Кирсанов Н.	4164
Кирчанов А.	1012
Кисамединов М.	224
Киселев Ю.	2456, 2710, 3611, 3982, 4129, 4136, 4457
Кислов В.	605
Кисляков Н.	1687
Клевенские Л. и В.	3097
Клевенский Л.	3391
Клементьева К.	2863, 2955, 2986,2987
Клочков Р.	501
Клюжев В.	260, 343, 344, 1926, 1927, 3262, 3358
Кнорринг Н.	32, 108, 513, 514, 3924
Ковалев А.	517, 1847, 4214
Ковалев С.	1427, 2798, 3446
Ковалева Т.	390, 3720, 3776
Коваленко Б.	3836
Коваленков С.	3687
Коведяева Т.	3836
Ковенчук Г.	2414, 4023, 4124, 4200, 4213, 4473
Коган Евг.	4011
Козин Л.	2208
Козлов А.	1347
Козлов Г.	723, 2196, 3129
Кокорин А.	440
Колганов В.	4222
Колесников В.	315, 1686, 2300
Коли А.	3852
Колмогорцева И.	31, 2350, 3226, 3292, 3485
Колпиков В.	2634
Колтунов В.	1597, 3400
Кольчицкий Н.	4114
Колюбин Ф.	3799
Колюшев Т.	920, 2411
Комар А.	3198
Комлев В.	437
Конашевич В.	318, 1453, 1459, 1471, 1480— 1482, 1501, 1597, 2605—2607, 2611, 2618, 2622, 2870, 2904, 2907—2909, 2914, 3228, 3232, 3548—3550, 3591, 3836, 3911, 3924
Кондиайн Э.	3744
Кондратьев А.	2820—2822
Коновалов В.	1597, 2386, 2387
Коновалов Иван.	248
Коновалов И. Я.	625
Коновалов С.	3447
Коновалов Т.	2742
Кононов И.	1383, 1917, 1952, 3393
Кононов Н.	1023, 2000, 3829, 3911
Константинов А.	3050
Константинов В.	4147
Константинов Ф.	2834, 2840, 2991, 3828, 3829, 3892
Константинова Е.	1597
Константинова М.	3829
Константиновский А.	2804
Коньков Е.	91, 579
Конышева Н.	3829
Копейко Ю.	191, 1989, 2308, 3219, 3828, 3829
Кор А.	3800, 4214
Коржевский Б.	238, 239, 1597, 3816, 3915
Коринец Ю.	1175
Коркин Ю.	1734
Кормнов А.	648, 3174
Корнеев Б.	1578
Корнилов И.	1116, 1995
Коробейников Б.	1184
Коробская А.	833
Коробский А.	3828
Коровин А.	320, 3067, 3254
Коровин В.	3575
Коровин О.	185, 186, 194, 195, 199, 1038, 1196, 1245, 1459, 1906, 2513, 2659, 3158
Коровин Ю.	1470, 1475, 1496, 1497, 1501, 1521— 1523, 1527, 1528, 1530, 1531, 1593— 1596, 3693
Коровина А.	366
Коростышевский Л.	707, 772, 1152, 1253, 2483, 3801, 3860, 4212
Короткин А.	1597, 2878
Короткова Е.	1661, 2960, 3029, 3051, 3923
Косенков С.	113
Костенко Н.	1303
Котанова Л.	3801
Котеночкин В.	2235
Котов А.	4017
Кочергин И.	1875
Кочергин Н.	467, 596, 668, 675, 890, 1585, 1609, 2900, 2919—2921, 3028, 3029, 3051, 3495, 3534, 3688, 3725, 3739, 3752, 3753, 3760, 3794, 3828, 4050
Кошелев В.	1703
Кошельков К.	471, 3801
Кошеровский И.	4214
Кошечкин В.	1873, 1874
Кошкарев И.	3828, 3829, 3855, 3983, 4185
Кравцов Г.	3907
Кравченко Л.	2701
Кравченко Н.	3285
Красаускас С.	3368
Красновский В.	2631
Краснопольский М.	3532, 3536
Красовский Л.	1721
Крейцер Б.	604, 1968, 4212—4214
Кржижановская Е.	2250
Кржижановский К.	4139
Кривов Н.	782
Криг Ю.	544
Криживичюте-Юрчяленене Л.	3530
Кроллис Г.	3208
Крутилин В.	2102, 2103
Крутцов А.	1675
Кршижановский Е.	3973, 4195, 4212—4214
Крылов А.	1376, 3031, 3109, 3110, 3863
Ксенофонтов Т.	601, 2088, 2418, 2419, 2534, 4156
Кудинов Е.	2111
Кудревич Р.	3078
Кузанян Б.	4468
Кузанян П.	4521
Кузнецов И.	389, 678, 2084, 2910, 2995, 3022, 3023, 3029, 3044, 3045, 3512, 3794, 3836
Кузнецов К.	167, 168, 1487, 1884, 3027, 3043, 3051, 3054, 3924
Кузьмин А.	1071
Кузьмин Н.	2843, 2880, 2885, 2886, 2925, 2926, 2935
Куклес И.	988, 1597
Кукрыниксы.	662, 668, 3003
Кулик Е.	3131
Куликов Н.	600
Кульков В.	54, 749, 884, 1722, 1925, 3083, 3423, 3895
Куприянов В.	916, 1282, 2660, 3759
Куприянов С.	2362, 2879, 3108
Купряшин И.	71
Купцов Г.	2522
Курдов В.	261, 268, 269, 2234, 3628, 3924
Курдюков Н.	320, 3328
Курицын А.	967, 2548
Курчевский В.	1317, 2113
Курышев Ю.	247
Кусков И.	465, 928, 1676, 2089, 2671, 2672, 2739, 3615, 3828, 3967
Кустодиев Б.	2883
Кыштымов Б.	1510, 1696, 2553, 3781, 4064, 4066, 4323
Кязимзаде К.	3371
Лаврентьев З.	3121, 3353
Лавров А.	1027
Лавров Б.	3379
Лавров И.	20, 1806, 3494
Лаврухин Ю.	469, 470, 2053, 2054
Ладонщиков Г.	3069
Ладягин В.	564—566, 751, 1099, 1597, 1598, 1758, 1960, 1961, 2107, 2290, 2291, 2336, 2465, 2920, 2921, 3011, 3795, 3828, 3829, 3906
Лазарев В.	3766
Лазурский В.	1022
Лактионов В.	2954
Лактионов Ф.	1684
Ламм Л.	3924
Лансере Е.	898, 904, 905, 2959
Лаптев А.	486, 1770, 2762, 2806, 2810, 2811, 2866, 2869, 3011, 3896, 3897, 3923, 3924
Лапшин Н.	4071
Лашманов М.	1926
Лебедев Б.	1, 1414
Лебедев Б. И.	1221
Лебедев В.	1454,1466, 1469, 1481, 1482, 1489, 1493— 1495, 1500, 1501, 1597, 2963, 3326, 3924
Лебедев Г.	4015, 4016
Лебедева Е.	3852
Лебедева Н.	3799
Лебедева Т.	4017
Лебединский В.	4015
Левандовская Э.	1386, 3155, 3520
Леви Г.	1267, 2760, 2761
Левинская Н.	3935
Левинский И.	4017
Левитин В.	4212
Левицкий Л.	398, 399, 3186
Левицкий Р.	1983, 3678
Левич А.	848
Левянт Н.	989
Легкобыт В.	1858, 1859
Лемкуль Ф.	165, 166, 194, 196, 199, 288, 713, 1013, 1314, 1474, 1476, 1856, 2519, 2622, 3323, 3754, 3828, 3858, 3911, 3987
Леонов А.	2497
Леонтьева Л.	4447
Лермонтов М.	2828
Лернер Н.	2328
Летов Л.	621, 818, 955, 1931
Ливанов А.	2507, 2511
Ливна В.	3140
Лившиц Т.	2347
Лисогорский М.	252, 3299, 3829, 3855, 3911
Лиходеев Л.	1382
Лобанек Н.	977
Лобанов Е.	1597
Лобачев Ю.	12, 36, 1820, 3573, 3574, 3680
Логачев В.	883
Логин В.	3694
Лолуа Дж.	3389
Лонгинов Н.	3816, 3915
Лопяло В.	2834, 3836
Лосев Б.	774
Лосев В.	230, 666, 667
Лосин В.	48, 150, 575, 576, 800, 939, 1060, 1061, 1636, 2265, 3794
Лоскутова Т.	443, 2481, 2482
Лось Е.	391, 3333, 3337
Лотохин С.	3836
Лубьянов В.	2582
Луганский П.	2508
Луканин В.	781, 1558, 2703
Лукашевич И.	368, 1336
Луконин В.	1369
Лупачев Б.	2625
Лурье А.	80, 97, 98, 534, 1251, 1259, 1260, 1413, 2035, 2208, 2313, 2314, 3107, 3150, 3268, 3273, 3774, 3795, 3816, 3828, 3829, 3915
Лутохин Н.	447
Лыков В.	3829
Любаров В.	3587
