Аас В.	2966.
Коптев Ю.	2699, 2886—2887.
Копштейн А.	1316.
Копыленко А.	2086.
Копылова Л.	2222.
Кораблннов В.	680.
Кордюкова С.	2758.
Коржавин Н.	1312.
Коржиков В.	681—683, 2500.
Коринец Ю.	400, 684—687, 2358, 2395 3081, 3150.
Коркин В.	688, 2500, 2506, 3196, 3752—3753, 4181, 4207, 4524.
Коркищенко А.	689.
Корнакова Л.	690.
Корнеева Е.	4016.
Корнетов Л.	2683.
Корнилов Б.	1312.
Корнильев Н.	1377.
Коровин В.	3327.
Коровин К.	1608.
Коровин Ю.	4524.
Коровина В.	3371.
Коровкин Ф.	2521.
Короза З.	3197, 4668.
Королев А.	2950.
Королев В.	1425.
Королев Ю.	2807.
Короленко В. Г.	1656—1657, 2489.
Корольков Ю.	2545, 4123.
Королькова А. Н.	1895—1896.
Королюк В.	2106, 4124.
Коростелев Н.	146.
Коростелев П.	2506.
Коротеев Н.	2503.
Короткий П.	2770.
Коротков И.	2759.
Корпачев Э.	691, 2500.
Корсакова Т.	2804.
Корф О.	4721.
Корчак Я.	2357. 
Коршунов М.	462, 495, 692—694, 2494.
Корытковская А.	695.
Корюн М.	2060.
Коряков О.	696—697.
Косенко П.	3533.
Косихин В.	4208.
Космодемьянская Л.	698.
Костарев В.	2858.
Костарев Н.	699, 3082.
Костелянец Б.	3409.
Костенко А.	700.
Костерина Н.	1316.
Костоглодова М.	3754.
Кострин К.	4416.
Костылев В.	701.
Костыря И.	2500—2501.
Костюковский Б.	702—703.
Котенев А.	1425.
Котенко С.	2807.
Котиков С. Ф.	2824.
Коткин А.	2501.
Котляр Э.	704—706.
Котляревский Б.	3953.
Котов А.	3528.
Котов В.	707, 3083.
Котовщикова А.	708, 1033, 1291.
Котомкин М. В.	2824.
Кохан Е.	709.
Код А.	2908.
Коцарев Н.	2442.
Кочергин Н. М.	4465.
Кочетков В.	1646, 3328.
Кочетов В.	710.
Кочин Н.	2760.
Кошевая Е.	698, 711.
Кошкина О.	4743.
Кравцев А.	3755.
Кравцова Н.	712, 1316, 2501.
Кравченко А.	464, 713.
Кравченко В.	714.
Кравченко К.	4526.
Краковский В.	715.
Крамов В.	2761—2763.
Крапивин В.	400, 495, 716—718, 979, 2079, 2500.
Красиков С.	719—720.
Красильников К. И.	3036.
Красильников Н.	2640.
Красин В.	665.
Красинская А.	2825.
Краснер В.	2133.
Краснова Л.	4727.
Краснова М.	2928.
Красноперка А.	2950.
Красноперов А.	721.
Красных Г.	4731, 4744.
Краснянский Э.	4686.
Красухин Г.	3756.
Крауинь К.	2087.
Крахмальникова З.	3151.
Крачек Р.	4883.
Крейцвальд Ф. Р.	2088.
Кремянская Н.	3150.
Крендель Р.	4745.
Крепе М. Л.	2824.
Крестинский А.	722, 1421, 2498, 3534, 4500.
Крестова Л.	1813, 1823, 3329—3330.
Кретов Ф.	2824.
Крещик В.	576.
Кржижановский Г. М.	2494, 2500.
Крнвенкова Н.	4753.
Крнвин Ф.	1165.
Крнвицкий А.	3963.
Криволапое В.	723.
Кривошеин В.	2954.
Кригер Е.	1425.
Кристалинский В.	2968.
Кристи С.	4527.
Крич К.	2790.
Крон А.	1316.
Кронгауз А.	1312, 2964.
Кроненберг А.	2222.
Кропоткин П. А.	2493.
Кросс Я.	2110.
Кроткое В.	1377.
Кротова И.	1415, 3535.
Круглов В.	2991.
Круглова А.	2790.
Кружков Н.	3757, 3954, 3987, 4528.
Крупина Р.	724.
Крупняков А.	2277.
Крупская Н. К.	725—727, 2494, 2500, 2506, 2765, 2840, 4747.
Крутикова Н.	728.
Крутов Ю.	729.
Крутогоров Ю.	730.
Кручина В.	2790.
Кршижановская Е.	1033.
Крыжко И. Д.	2823.
Крылов А.	2886.
Крылов Алексей.	731.
Крылов Г. В.	2826.
Крылов И. А.	1650, 1658—1665, 1690.
Крылов П.	4612.
Крылов С.	1472.
Крылова Е.	732.
Крымов Ю.	733, 1316.
Крымов Я.	2886—2887.
Крысин Л.	3758, 3894, 4099.
Крышко М.	734.
Крюсе Д.	2358.
Крючков В.	2960.
Крючков Н.	2566.
Кряжинская А.	4778.
Крянгэ И.	2260.
Куадра Х. де ла.	2342.
Кубанский Г.	735.
Кубилюс В.	4209.
Кубяк Т.	2324.
Кугультинов Д.	2604, 3536, 3759, 3988, 4210.
Кудинова Н.	4884.
Кудреватых Л.	3760.
Кудряшев Н.	1798.
Кудряшов Г.	4211.
Кузмин М.	1312.
Кузнецов Василий.	736.
Кузнецов Вячеслав.	2507.
Кузнецов И.	2503.
Кузнецов М.	3198, 4086.
Кузнецов Н.	1425.
Кузнецов О.	737.
Кузнецов Ф.	3761—3762.
Кузнецов Э.	1504, 4466, 4529—4530, 4885.
Кузнецова А.	738.
Кузьмин В.	739.
Кузьмин И.	2950.
Кузьмин Л.	400—401, 740—741.
Кузьмин Н.	4095.
Кузьмина Л.	742.
Кузьмина М.	4610—4611.
Кузьминов Я.	4886.
Кузьмичев И.	3155, 3247.
Кукинова В.	2545.
Кукуллу А.	2060, 2089, 2282.
Кулагин В.	1377.
Кулагина А.	4775.
Кулаков П.	1425.
Кулешов А.	3528.
Кулешов В.	1637, 3331.
Кулиев К.	2204, 2220, 2513, 2519, 2545, 4125—4126, 4311, 4317.
Кулик А.	2500.
Куликов А.	4887.
Куликов Александр.	743.
Куликов Г.	744.
Куликов Л.	745.
Куликова К.	2766.
Куликова М.	746.
Кулиш О.	4531.
Кульдяев О.	2912.
Кульмова И.	2324.
Кульчицкий М.	1316, 2545.
Кумма А.	2625.
Кунгуров Г.	747.
Кунгурцева С.	2775.
Кунижева Х.	2508.
Кунин К.	748.
Куняев Б.	2554.
Купала Я.	2090.
Купер Дж.-Ф.	2360—2361.
Куповых Б.	2625.
Куприн А. И.	1666—1673, 2488—2489.
Куприянов В.	4532.
Куприянов М.	4612.
Купцов И.	2804, 2808, 4533—4535, 4613.
Курасов В.	400.
Курбабаев И.	4212.
Курбатов К.	749.
Курбатова В.	1897.
Кургосова М. Д.	2909.
Курдов В.	4536.
Курдюмова Т.	4888.
Курилова Т.	2508.
Курихина О.	4537.
Курлат И.	750.
Курляндский А.	1288, 2625.
Курочкин В. С.	1674.
Курочкина Г.	3410, 4538—4539.
Курто Е.	2950.
Курцман А.	2825.
Кусихина Г.	4540.
Кутуй А.	2091.
Кутьина Р.	4746.
Кухно А.	576.
Куценко И. Я.	2930,
Куценко С.	2625.
Кучаев А.	2509.
Кучаев Андрей.	2567.
Кучеренко И.	751.
Кучияк П.	2227.
Кучкина О.	3763.
Кушнер А.	752, 2497, 3411.
Кушнеровская Г.	2864.
Кымытваль А.	2499.
Кырвитс Х.	2966.
Кэраре П.	2092.
Кюхельбекер В. К.	1650, 1721.
Ла Гума Алекс.	2325.
Лабулэ Э.	2390—2391.
Лавренев Б.	753—754, 1166, 2510, 2840.
Лаврик А.	2512.
Лавров А.	2640.
Лаврова Т.	2968.
Лагерлёф С.	2362.
Лагздынь В.	2956.
Лагин Л.	755—756, 769, 3537.
Лада Й.	2530, 2596.
Ладонщиков Г.	757—761, 2500—2501, 2506, 2640—2641, 3085.
Лазар А.	2363.
Лазарев Е.	1029.
Лазарев Л.	1316.
Лазарев М.	4541.
Лазарев Ю.	3989.
Лазо А.	4542.
Лазо С.	1425.
Лайко А.	3086.
Лайне Н.	2518.
Ландман М.	2370.
Ланина В.	3321.
Ланина Т.	2428, 4364.
Ланкаускас Р.	2093.
Ланкина Л.	3764.
Лапин Б.	742.
Лаптев А.	763.
Лаптиев А.	2514.
Лапцуй Л.	2094.
Лапшин М.	3765—3766, 4026.
Ларин Б.	2365.
Ларина В.	2641.
Ларина Л.	4543.
Ларионова О.	2516.
Ларри Я.	764.
Ласкер Э.	2364.
Ласкин Б.	1165, 1425.
Ласкин С.	537.
Лассо Л. Э.	2342.
Латвенене Г.	4889.
Латьева Л.	765.
Лауринчюкас А.	2807.
Лахонина И.	2960.
Лацис В.	2500.
Лащилин Б.	2521.
Лебедев А.	3332.
Лебедев Алексей.	2507.
Лебедев В.	2497.
Лебедев В. В.	2767.
Лебедев Василий.	649, 766—767.
Лебедев Владимир.	768, 1377.
Лебедев Г.	2442.
Лебедев Ю.	2640.
Лебедев-Кумач В.	769—770, 1425, 2501, 2506.
Лебедева Г.	771.
Лебедева Г. М.	2841.
Лебедева Л.	4127.
Лебедева М.	4890.
Лебедева Ю.	4417.
Лебеденко П.	772.
Лебединский В. В.	2969.
Лебединский В. И.	2699.
Лев Ф.	319, 773—774, 3151, 3199, 4738.
Левандовский А.	775.
Левандовский В.	2498.
Левановский В.	776—776-а
Левант Я.	2554.
Левашева Г.	2768.
Левин В.	401, 777—778.
Левин Г.	3767.
Левин М.	779.
Левина А.	3794.
Левина З.	2825.
Левина О.	4713, 4717, 4749, 4871.
Левина С.	2950.
Левинсон Г.	2521.
Левинсон Г. И.	1472.
Левитан Р.	2813.
Левитанский Ю.	1316.
Левитин И.	3200.
Левитов В.	4418.
Левицкий Л.	3805.
Левкова Л.	2950.
Левушкин А.	2562.
Левчаев П.	2095.
Левченко А.	978.
Левченко И.	4891.
Левшин А.	2640.
Левшин В.	2655.
Леднев Ю.	2640.
Лежепеков В.	2566.
Лежнин А.	2931.
Лейбсон В.	4738.
Лейкин В.	2545.
Лельевр А.	2500—2501, 2640—2641, 2769, 3087.
Лемперт Э.	4670.
Ленина Л.	663, 3538.
Ленская Е.	2601.
Ленч Л.	1165.
Леонов А.	780.
Леонов Б.	3201, 3990.
Леонов Л.	2526.
Леонтьев В.	2256.
Лепин И.	401.
Лермонтов М. Ю.	1650, 1675—1687, 2500, 2511, 2641.
Лескин С.	2501.
Лесков Н. С.	1688—1689.
Лесневский С.	3768.
Лесняк А.	2770.
Лесса О.	2342.
Лессиг В.	782.
Летов Б.	48, 3539.
Летова Н.	48, 3539.
Летова С.	3088.
Летунов Ю.	2771.
Леухин Б. Д.	2932.
Лешковцев В.	2772.
Лещинский А.	4671.
Лён Лёнич.	2133.
Лёшинская В.	4805.
Либединская Л.	2489, 2501, 3469, 4627.
Либединский Ю.	783.
Либин М.	784—785.
Либова О.	4892.
Ливанов А.	786.
Ливанов В.	544, 1305, 2625.
Лилеева И.	2307, 4365.
Лимановская Б.	4419.
Лиманцева С.	2807.
Линдгрен А.	2365—2366, 2582, 4420—4421.
Линевский А.	2518.
Линкова И.	2992, 3540, 4893—4898.
Линник Ю.	2518.
Линьков Л.	787, 2510.
Липелис А.	4422.
Липинская К. А.	2773.
Липовская И.	3935, 4899.
Лисбрам П.	1118.
Лисенков М.	1425.
Лисициан С.	2107.
Лисичкин В.	400.
Листовский А.	2764.
Лисянский М.	2494, 2513.
Литвин Э.	3156, 3158, 3202, 3333—3334.
Литвинов В.	3154, 3541.
Литвинов Р.	3203, 4213, 4626.
Литвинова Л.	2406, 4366.
Лифшиц В.	788—791, 2506, 2568—2572, 2640.
Лифшиц М.	2096.
Лифшиц Ю.	2908.
Лиханов А.	792.
Лихачев Д.	1951.
Лихачева З.	1301.
Лихоталь Т.	873, 2501, 2506, 2604, 3542.
Лишин О.	495.
Лишина А.	495.
Лобанов А.	2838.
Лобанов М.	1650.
Лобачева А.	2058, 4128.
Лобода В.	1316, 2545.
Лободин М.	440.
Логвиненко И.	2097.
Логвинская Э.	4544—4546.
Логинов В.	793.
Логинов Д. М.	2824.
Логинова Н.	1377.
Логунов А.	794.
Лодкин Ю.	795.
Лозовой Б.	796.
Лойтер Е.	2774, 2813.
Лойтер С.	3543.
Ломанов В.	4672.
Ломиа К.	2098.
Ломидзе Г.	3154.
Ломм А.	797.
Ломоносов М. В.	1650, 1690, 2518.
Ломунов К.	1678—1679, 1683, 3335—3338.
Лонгфелло Г.	2367.
Лондон Д.	2368.
Лопатова В. И.	2953.
Лопухин В.	2588.
Лори А.	2319.
Лосев А.	2573—2574, 2886, 3524.
Лосин В.	2657.
Лоскутов М.	1165.
Лоскутова Р.	4793.
Лось Е.	2099—2100.
Лошкарева Н.	4751.
Луговой В.	799.
Луговской В.	800, 1227, 1312, 2513.
Луговской И.	311.
Луда.	2369.
Лудяков Н.	1229.
Лузгин В.	2545.
Луйк В.	2508.
Луканов И.	2699.
Лукачева В.	4805.
Лукашов М.	2824.
Лукин В.	2943.
Лукин Ю.	650.
Лукина Г.	2309, 2444.
Лукич Д.	2499—2500.
Лукичева Т.	3931.
Лукичева Ф.	801.
Луконин М.	1312, 1316, 2775, 4312.
Луначарский А. В.	1844—1845, 2824.
Лунгина Л.	4421.
Лунин Б.	3321, 3938.
Лунина И.	3935, 4744, 4900.
Лупанова И.	3150, 3156.
Лупсяков Н.	1166.
Луцкевич Ю.	2604.
Луч Г.	2101.
Лучесской К.	2500.
Лыссый Ю.	4718.
Львов М.	1, 1312, 1316, 2040, 3544, 4129.
Львов Н.	2807.
Львов Н. А.	1690.
Львов С.	2775.
Львовский М.	2540, 2566, 2908, 2964.
Льдов А.	1377.
Любарская А.	2247, 2302, 2362, 2380, 2390—2391, 2498.
Любимов А.	4441.
Любимов Б.	2773.
Любимов К.	3017.
Любимов Л.	802.
Любимцева Ю.	3089—3091.
Любош Г.	2699, 2887.
Людников И.	1316, 1425.
Люфанов Е.	2575.
Люшнин Г.	803—804.
Ляленков В.	805.
Лялицкая С.	2886.
Ляпунов Б.	2886.
Ляпунова И.	2887.
Лященко В.	4901.
Мавр Я.	2102.
Маврина Т.	4547.
Магомедов М.	291, 2103—2104.
Маев И.	3270.
Мазании А.	3018.
Мазнин И.	806—807, 2506.
Мазняк Н.	808.
Мазуров Г.	3019.
Майзелис И. Л.	2346.
Майков А. Н.	1951, 2491, 2493, 2502, 2511.
Майков В. И.	1690.
Майн М.	2256.
Майоров В.	4673.
Майоров Н.	1312, 1316, 2545.
Майорова Т.	2933.
Макаев В.	2514.
Макаревич И.	2590.
Макаренко А.	809.
Макаренко Я.	810.
Макаров В.	895, 3519.
Макаров Вл.	576.
Макаров Ф.	3545.
Макарова А.	2521.
Макарова В. А.	3158.
Макарова Н.	811.
Макарова Т.	812.
Макарочкина Н.	1377.
Макарьев Л.	2777.
Макеев А.	2621.
Маккаллерс К.	2408.
Маклеод А.	2408.
Максименко Н.	813.
Максимов А.	814—816.
Максимов В.	817, 3092—3093.
Максимов М.	1316.
Максимов П.	3546.
Макушинский К.	2370.
Маларчук Г.	2105.
Малахов С.	3154.
Малик В.	2106.
Маликова Л.	4752.
Малиновская—Бонар В.	818.
Малиновский Р. Я.	1425.
Малкин Г.	4810.
Малкин И. И.	2934.
Малкина И.	819, 2886—2887.
Малов В.	2504.
Малов К.	1377.
Малышев А.	820.
Малышев В.	1377.
Малышев М.	2451, 4367.
Малькевич Е.	821.
Мальсагов А.	822, 2285.
Мальцев С.	823.
Маляренко Л.	3204.
Мамакаев Э.	2149.
Мамаладзе Т.	4215.
Маматова Е.	3154.
Мамед-Кули-заде Д.	2137.
Мамедов А.	4271.
Мамедханлы Э.	2137.
Мамин-Сибиряк Д. Н.	1691—1694, 1894, 1939, 2489—2490.
Мамлин Г.	2554, 2576.
Мамсуров Д.	2108.
Манакова Т.	2965.
Мандрик И.	2950.
Маневич А.	825.
Манзюк А.	2965.
Мануйлов В.	1725—1726, 1791—1792, 3303, 3339—3341, 3676.
Мануш Л.	2109.
Мар Е.	826—827, 2494, 2500—2501, 2506, 2764, 2778, 2840, 3824, 3993, 4675.
Марамзин В.	2779.
Маран И.	2577.
Маргарян А.	2508.
Марек И.	2510.
Мариан Б.	828.
Маркин П.	829.
Марков Г.	830.
Марков М.	831.
Марков С.	2507.
Марков Ю.	832.
Маркова А.	4902.
Маркова В.	2456, 2472.
Маркуша А.	2506, 2640, 2780—2784, 3770.
Маркушевич А.	3205.
Мартынов А.	2699.
Мартынов Г.	2516.
Мартынов Л.	833, 1312.
Марушкевич Н.	2950.
Мархасёв Л.	2704.
Марцинкявичюс Ю.	2111, 2507 2640.
Марченко А.	3206.
Марчик Г.	834.
Маршак И. С.	3207.
Маршак С.	153, 541, 824, 835—869, 1440, 2464—2468, 2473, 2500—2501, 2506, 2513, 2604, 2908, 3024, 3207, 3371, 3547—3548.
Маршалл А.	4423.
Марысаев Е.	870.
Масленников И.	979.
Масленникова А.	871.
Маслов И.	1377.
Масс В.	2509.
Матафонов В.	4548—4550.
Матвеев В.	2730.
Матвеев В. Ф.	2959—2960.
Матвеев Н. М.	2824.
Матвеева Г.	2441, 2699, 4368.
Матвеева И.	872.
Матвеева И. С.	4379.
Матвеева Л.	873, 2501, 2604, 2965, 3542.
Матвеева Н.	2508.
Матвеева Т. В.	2935.
Матвеевский А.	1041.
Матёцкая И.	4738.
Матросов М.	2965.
Матселе Р.	2325.
Матусовский М.	1316, 1472, 2908, 2963.
Матуте А. М.	3269, 4424.
Матюшина О.	874, 2790.
Матюшкин Ф. Ф.	1650.
Махмаев Ж.	2112, 2149.
Махмуд Т.	4216.
Махнач А.	1472, 2950.
Махонина И.	875.
Махрин Ю.	3413.
Машбиц-Веров И.	3549.
Машинский С.	1619, 1625, 1627, 3285—3287, 3342—3345, 3435.
Машканцев П.	876.
Машкин Г.	877.
Машков В.	878, 2950.
Маяков Ю.	879.
Маяковская Л. В.	895, 2501.
Маяковский В.	416, 824, 880—897, 1312» 1472, 1491, 2501, 2513, 2534, 2504, 2640.
Мгвимели Ш.	2113.
Медаур Ж.	2342.
Медведев В.	898, 979.
Медведев Н.	899, 4713.
Медведев Ю.	900.
Медведева Н.	4903—4908.
Меджид Г.	2114.
Меджидов К.	2115.
Медников А.	4017.
Меднис Н.	3414.
Медовой Н.	138.
Меерзон В.	2785, 4737, 4909—4910.
Межелайтис Э.	2507.
Межиров А.	1312, 1316.
Мезинов Л.	901—904, 2282, 2506.
Мелентьев В.	905—906, 2545.
Мелентьева Е.	907, 2699.
Мелло Г. де.	2325.
Мельник М.	4753.
Мельников И.	908, 2506.
Мельченко Л.	2929.
Мельчин А. И.	2824.
Менде Я.	2956.
Меньшиков М.	909.
Мерзликин Л.	910.
Меркулов А.	911.
Мешков К.	2536, 2578—2581.
Мещерякова Н.	4911.
Микаэлян М.	2582.
Микоян А. И.	2824.
Микоян Э.	4676.
Миксон И.	495.
Милашевский Д.	2950.
Милева Л.	2641.
Милн А. А.	2595.
Милонов Н.	2512.
Мильчаков А.	3657.
Мильчаков А. И.	2824.
Миляев В.	2554.
Мингажитдинов М.	4130.
Миндлин Э.	912.
Минин И.	913.
Минутко И.	2509.
Минчковский А.	85, 646, 914.
Мирер С.	2566.
Мирза-Ахмедова П.	4217.
Мирзо Г.	2019.
Мирмухсин.	2506.
Мироник А.	2914.
Миронков Я.	2950.
Миронов А.	3346.
Миротворцев Б.	915.
Мирошников Л.	2699.
Миршакар М.	2019.
Митрейкин В.	2640.
Митро, Бамачороно.	2419.
Митрофанов Л.	2555.
Митта А.	916, 2808.
Митурич М.	4551, 4575, 4581.
Митяев А.	1906, 2641, 2960.
Михаевич М.	2950.
Михайлов Ал.	3208.
Михайлов Александр.	917.
Михайлов Б.	918.
Михайлов В.	919.
Михайлов М.	2502, 4218, 4677.
Михайлов Н.	4045.
Михайлов Н. А.	2824.
Михайлов Николай.	3154.
Михайлов Ю.	2886.
Михайлова А. П.	2764.
Михайлова В.	3773, 4750.
Михайлова Е.	3936.
Михайлова И.	920, 2640, 3096—3099.
Михайлова К.	4912.
Михайлова Л.	3151, 3994.
Михайлова Т.	4552.
Михалев И.	2604.
Михалевич А.	4313.
Михалков С.	37, 54, 146, 441, 738, 824, 921—936, 977, 1021, 1885, 2311, 2371, 2469—2471, 2494, 2500—2501, 2506, 2513, 2566, 2583—2584, 2587, 2640, 2884, 2608, 2954, 2994, 3004, 3192, 3209—3214, 3261, 3271—3273, 3528, 3552—3559, 3774—3779, 3913, 3922, 4105, 4314, 4455, 4624/4913—4914.
Михальский В.	937, 4315.
Михальчи Д.	4425.
Михальчук С.	2954.
Михановский В.	2504.
Михасенко Г.	938—939.
Михеев М.	940.
Михеевская Е.	4905.
Михельсон Т.	1767.
Михнева И.	3781.
Мишарина А.	2508.
Мишин Ю.	4106.
Мишкевич Г.	2699, 2886.
Мишутин Н.	941.
Мищенко Д.	2116.
Млодик А.	267—268, 3886.
Могендович М. Р.	2841.
Могилевская С.	942—946, 1166, 2501, 2506, 2641, 2825, 3415.
Могутин Ю.	947.
Модестова Н.	4369.
Моисеев В.	2342.
Моисеева К.	948—949.
Моисеева М.	2521.
Моисеева Э. И.	2930.
Мойтлис Е.	4426.
Молдавская Н.	4915.
Молдавский Д.	3528, 3782, 4316.
Молок Ю.	4553—4554.
Молоканов Ю.	2640.
Молочко М.	1316.
Молчанова Л.	950.
Мольер Ж.-Б.	1843, 2372-2373.
Молънар И.	1843, 2596.
Монахов В.	3022.
Монахов Н. И.	2941.
Моносзон И. И.	2948.
Монтень М.	2786.
Мор Н.	2787.
Моран Р.	4219.
Моргун А.	978.
Мордовских В.	2912.
Мориц Ю.	1312, 3100.
Морковкин А.	2954.
Морозов В.	2518, 2943, 2950—2951.
Морозов Вл.	3024.
Морозов Вячеслав.	951.
Морозов Е.	952, 1029.
Морозов И.	953.
Морозов М.	2807.
Морозов Н.	954.
Морозов С.	2825.
Морозова В.	2968.
Морозова Вера.	955.
Морозова Л.	4220.
Морозова О.	3783.
Моронов А. Ф.	2824.
Москаленко А.	1425.
Москатов П.	2954.
Москвин Н.	956.
Московая О. Н.	2940.
Московкин В.	1377.
Московская Г.	4221.
Мосунов А.	957.
Мотяшов И.	2079, 3151, 3215—3222, 3262, 3548, 3784, 3914, 3923, 3997—3998, 4046, 4107, 4222, 4427, 4737.
Моуэт Ф.	2374.
Мошев А.	4581.
Мошковская Э.	958, 2500—2501, 2506.
Мошковский А.	959, 2604.
Мразкова Д.	2641.
Мревлишвили М.	2508.
Мукминова Э.	2508.
Мулламухамедова С.	4223.
Мулярчик А.	4428.
Мумин П.	2519.
Муравин Г.	3151.
Муравьев В.	144.
Муравьев В. С.	4370, 4429.
Муравьев Вл.	229, 960—961, 1690, 2256, 2501, 2521, 3560, 4224.
Муравьев М. Н.	1690.
Мурадели В.	2825.
Мурадян С.	3999, 4225—4226, 4340.
Мурани И.	4555.
Муранов А.	2699.
Мураталиев М.	2117.
Муратов В.	962.
Муратов М.	2521.
Муратов С.	2808.
Мусабаева Л.	4716.
Мусатов А.	44, 504, 963—965, 2995—2996, 3561, 3786, 4678.
Мусатов В.	966, 3101—3102.
Муссалитин В.	2512.
Мустафин К.	2133.
Мустафин Р.	2042, 4131—4132, 4227.
Мустафин Ф.	4628.
Мустафин Я.	967, 4294.
Мухаммад Салех.	2442.
Мухаммади К.	162, 2519.
Муханов Л.	2507.
Мухина-Петринская В.	968.
Мухтар А.	4228.
Муцураева З.	2508.
Муштуков В.	2790.
Мышлина М.	969.
Мэргэн К.	2118.
Мэтьюз Дж.	2325.
Мягкова Н.	4750.
Мянд Х.	2119, 2585.
Мясников В.	1377.
Мячин Ю.	978.
Н. М.	3785.
Набатов Г.	1033, 2510, 2951.
Набиев Б.	4229—4230.
Наволочкин Н.	971—972.
Нагибин Ю.	979, 2348, 3528, 3955.
Нагишкин Д.	2521.
Надеждина Н.	937—974, 1033, 2501, 2788—2789, 2951.
Наджафов Г.	2951.
Назарова Н.	4679.
Назимов Р.	4628.
Назир Х.	2120.
Назор В.	2379.
Найденова Н.	975, 2499, 3103.
Найдич М.	976.
Налбандян В.	2107.
Налдеев А.	1362.
Намжилов Ч.-Р.	2132.
Нанешвили Д.	3713.
Напалков С.	2699.
Нарайн Р. К.	2419.
Наровчатов С.	1312, 1316, 2545, 2604, 3520, 3562.
Насибов А.	977.
Натанов Н.	3154.
Науменко И.	2029, 4133, 4231.
Наумов А.	4556.
Наумов Е.	1434, 3563.
Наумова И.	4805.
Наумова М.	4754.
Наумова Н.	3347.
Наумова Р.	4916.
Нгуги Дж.	2325.
Неверов-Скобелев Б.	3787.
Негин С.	4301.
Недашковская З.	4713—4714, 4917.
Недзвецкий А.	4233.
Недзвецкий В.	2966.
Недогонов В.	2604.
Недоля И.	495.
Недува Э.	3788, 4918.
Неёлов Е.	3564, 3593.
Нежданова А.	2840.
Незвал В.	2320.
Нейман Л.	2791.
Нейман Ст. К.	2320.
Неймарк М.	2879.
Нейруз Малик.	2442.
Неклюдов Н.	2950.
Нековаль Р.	4919.
Некрасов А.	980—982, 3565, 3940.
Некрасов Б.	649,
Некрасов В.	1316, 2943.
Некрасов Г.	983.
Некрасов Н. А.	1695—1706, 1764, 2491, 2493, 2502, 2505, 2511.
Некрасова Л.	2908.
Нелаев В.	2792.
Нелединский-Мелецкий Ю. А.	1690.
Неменский Б.	2804.
Немирова Е.	2506.
Немировская О.	4557.
Немировский А.	984.
Немоляев Н.	1936.
Немченко Г.	985—986.
Немченко Л.	2516.
Немченко М.	2516.
Немчинов Г.	987.
Немчинский М.	2587.
Ненарокомова И.	2804.
Непомнящий В.	3371, 3416.
Нерсесова О.	3104—3111.
Неруда П.	2375.
Неслуховская Т.	2790.
Нестайко В.	1021, 2121.
Нестеров В.	2699, 2886—2887.
Неструх Я.	4430.
Нехода И.	2286.
Нечаев А.	1879, 1885, 1888, 1912, 1936, 1943, 1946, 1967, 2492, 2521, 2588, 3151.
Нечепоренко А.	4749.
Низамов Р.	4628.
Низюрский Э.	2596.
Нийт Э.	2122.
Никаноров А.	2793.
Никитин А.	9704.
Никитин И. С.	1707-1708, 2505, 2511, 2641.
Никитин С.	2886.
Никитин Сергей.	988.
Никитич Н.	989.
Никифорова Л.	1377.
Никишина Е.	2838.
Николаев В. И.	2952, 2964.
Николаев Вл.	495, 3566, 3790—3791.
Николаев Н.	990—991.
Николаев С.	400—401, 2950.
Николаева Л.	1377.
Николаева М.	1527, 3792.
Николаева Н.	2320.
Николаева Т.	4920.
Николаева Э.	4921.
Николаевская Е.	1312, 2060, 3567.
Николаенко Л.	763, 992—994, 2501, 2640.
Николин Е.	1033.
Николин И.	1377, 3568.
Николина О.	4680.
Николов К.	2350.
Никольский Б.	995—998, 1033, 2494, 2497—2498, 2640—2641.
Никольский Г.	999.
Никольский Н.	2640.
Никонов В.	1000.
Никонов Н.	401, 1001.
Никонов Н. Г.	2673.
Никонова Т. К.	2940.
Никонова Ю.	1002.
Ни-Ли П. Н.	2899.
Нимбуев Ш.	2132.
Нифонтова Н.	4948.
Ниязи Ф.	2124.
Новиков А.	2795.
Новиков И.	1758, 3348.
Новиков С.	2796.
Новиков С. М.	3017.
Новиков Ю.	4922.
Новицкая Г.	1003, 2497.
Новичкова Н.	4714.
Новогрудский Г.	1006, 2501.
Новогрудский Л.	2589, 2604.
Новогрудский С.	3793.
Новожилова А.	4714.
Новожилова З.	4000.
Новокрещенных И.	4778.
Норин С.	2518.
Нормет Д.	2590.
Норт Д.	4431.
Носик Б.	1007, 2591.
Носкова М.	4750.
Носов Н.	1008—1021, 2506, 2509, 3786, 3794.
Носов С. С.	2934.
Носырев Л.	1453.
Нугманов М.	2513.
Нудельман Р.	438.
Нуруллаева Г.	2508.
Образцов И.	979.
Образцов П.	1022—1023.
Образцов С.	1548.
Образцова А.	4923.
Образцова О.	2369.
Обухова Л.	1024, 4924.
Овакимян А.	2107.
Овечкин К.	1425.
Овсянников А.	3795.
Овсянников Н.	2545.
Овсянникова Л.	4925.
Овчаренко Ф.	3349.
Овчинников В.	2797.
Овчинников Н.	2798.
Овчинникова С.	3417, 4432, 4561.
Оганисьян Ю.	2799.
Огарев Н. П.	2511.
Огнев В.	1025, 4132, 4737, 4926.
Огнецвет Э.	4235.
Огородников К.	2887.
Огородников Ю.	4738.
Одинокое В.	3965.
Одоевский В. Ф.	1709—1711, 2490, 2807.
Ожегов А.	400—401, 2858.
Ожоговская Г.	2506.
Озерецкая Е.	1026, 2800, 2887.
