Аас В.	2966.
Беленькая Л.	4709.
Беленький Г. И.	2899.
Беленький М.	2807.
Белецкий П.	2521.
Беликов Г.	2670, 2905.
Белинский В. Г.	1650, 3285—3288, 3323.
Белкин А.	3289.
Белкин Д.	3438.
Белкин С.	2671.
Белобородов А.	1425.
Белов А.	2812.
Белов В.	147, 3170, 3673, 4032.
Белов Г.	1377.
Белов М.	1425, 4164.
Белова Б.	148, 2500.
Белозеров Т.	149—151, 311, 401, 2501, 2640.
Белозерова А.	4805.
Беломестная Е.	4822.
Беломлинский М.	2497.
Белорус В.	979.
Белостоцкая Е.	4420.
Белоус В.	495.
Белоус М.	2604.
Белоусов В.	2886—2887.
Белоусов Д.	3674.
Белоусов Р.	2430, 3675, 4344, 4399.
Белоусова К.	4805.
Белоцерковский А.	152.
Белых Г.	153.
Бельды Т.	2508.
Белькинд В.	3676.
Беляев А.	2951.
Беляев Александр.	2672, 3051—3052.
Беляев Альберт.	2507, 3154.
Беляев В.	154, 2507, 3677.
Беляев М.	155.
Беляева Э.	3021—3022.
Беляков И.	156—157, 2501.
Белянинов А.	158.
Бенашвили Н.	2625.
Бенди О.	2966.
Бенедетти М.	2342.
Беранже П. Ж.	1674, 2307.
Берг Л.	2308.
Берггольц О.	1312, 1472, 2790.
Береговая М.	2530, 2596.
Березняк П.	2950.
Березовская Ю.	4614.
Берендгоф Н.	2500—2501, 3053.
Берестов В.	29, 159—162, 400, 2231—2232, 2499—2501, 2506, 2640—2641, 3678, 4082, 4091, 4165.
Берман Б.	3192.
Бернштейн И.	2320, 4400.
Берри Д.	2825.
Берсанов Х.-А.	1995.
Берулава Х.	2513, 4166—4167.
Берхин Н.	4823.
Беседина Т.	4461.
Беспалов В.	163, 1228, 2501.
Бессмертный Е.	2507.
Бестужев А. А.	1768.
Бестужев Н. А.	1650.
Бестужев-Марлинский А. А.	1650.
Бехлерова Х.	2309, 2324.
Бешенковский Е.	3154.
Бешлягэ В.	1996.
