Быков В.	2743, 4503
Быстров В.	237
Бычко В.	2078, 2782, 4303
Бэлза С.	2555, 4455, 4637
Бээкман Вл.	2079, 2089
Бээкман Э.	2080, 2089
Бюргер Г. А.	2458
Бялек Ю.	4590
Бялик Б.	398—399, 3657—3658
Бялковская С.	238
Бялый Г.	1892, 3346
Ваганов Н.	540
Вадимова М.	4918
Важдаев В.	239, 485, 1698, 2347, 2351, 2371, 2561, 2571, 3347, 3659, 4628
Важко О.	5125—5126, 5132
Вазилло Н.	5050, 5057
Вазов И.	2458
Вайдло Р.	2089
Вайнберг И.	397, 3660
Вайнилайтис М.	2081, 3308
Вайнруб М.	2933
Вайнштейн И.	424
Ваккер А.	2875
Вакс И.	3537
Ваксберг А.	2797
Вакуленко В.	3220, 3911—3913, 4359
Вакуров В.	4108
Валеев М.	4360
Валеева Р.	2643, 2757
Валек М.	2516
Валентинов А.	925
Валькова В.	5127
Ван Чаунг.	2546
Ванаг Ю.	2362, 4304
Вангели С.	2082, 2622, 2756
Ван-Гог В.	3024
Ван Дай.	2516
Ванслова А. В.	2021
Ванханен Л.	3233
Ваншенкин К.	240, 999, 1171, 2606, 2634, 2640, 2757, 3914
Ванюков А.	3776
Варма, Тилакрам.	2419
Вартаньян Э.	2798
Варшавский А.	2799
Васамурти.	2419
Василевская В.	2083
Василевская Г.	2084
Василевский А.	4070
Василевский Л.	241, 424
Василенко И.	242—244, 539, 2832
Василёв В.	2789
Васильев В.	3776
Васильев Л.	2602
Васильев П.	245, 3224
Васильев С.	246—247, 1171, 1418, 4309
Васильева А.	248
Васильева Г.	3033, 5054, 5056
Васильева Н.	3560
Васильева О.	3561
Васильева Р. С.	2868
Васин К.	2085
Васина-Гроссман В.	2800
Васич И.	5128
Васнецов Ю.	4665, 4692, 4838
Ватагин М.	2329
Вахабов А.	4919—4920
Вахитов А.	2077
Вахман В.	249
Вахнина Л.	2838
Вахромов Б.	2865
Вацземниек Л.	1327
Вашурин А.	4693
Введенский А.	250, 2437—2438, 2571
Вебер Ю.	2801
Ведзижев А.	2086, 2211, 2607
Ведина Т.	2963, 3069
Вежинов П.	2672
Вейцман М.	251
Векшегонова И.	2614
Веленгурин Н.	3915
Велиев С.	2587, 4071
Великанов А.	252
Великанов В.	253
Великович Э.	2802
Великопольский И.	2616
Велтистов Е.	254
Велугин А.	3623
Вергасов И.	255—256
Вердян Л.	4362
Верейская Е.	257—259
Верейский О.	4694—4696
Вересаев В. В.	2605
Вересов А.	260, 3034
Веретенников Н.	2803
Веретенов В.	261
Верзаков Н.	262
Верзилин Н.	2804, 2893
Веригин Ю.	2658
Верлен П.	2458
Верн Ж.	2420—2424
Верников В.	2805
Верт А.	2659
Верхарн Э.	2458
Верхов В.	4864
Верховская Н.	3336
Верховский В.	2642
Вершинин Л.	263, 2521, 2571
Вершинский Н.	2806
Веселов П.	2621
Вестерман М.	2963
Вестли А. К.	2425
Вехова М.	2607
Веян А.	2087
Вивье К.	2426
Вигдорова Ф.	697, 2646, 2838
Видищев Б.	3661
Виеру Г.	2088, 2589, 2608, 2614, 2756, 3308
Вийон Ф.	2458
Викстрем Т.	4428
Викторов В.	2673
Викторова Э.	267
Викулов С.	4162
Вилли Б. (В В. Адикаевский).	2616
Вильде Э.	2316
Винников Л.	268
Виноградов А.	2533, 4457
Виноградов Б.	2824
Виноградов Н.	3070
Виноградов Ю.	3070
Виноградская П.	269, 3662
Виноградская С.	269
Винокуров Е.	539, 1171, 2640, 2728
Винокуров И.	2618
Винтерих Дж.	4458
Виньи А. В. де.	2458
Вирина Л.	4121
Виролайнен Л.	5103
Висагтээ Н.	4504
Вислов А.	3676
Витез Г.	2516
Витензон Ж.	829, 1483
Витка В.	3308
Вишневская И.	2718, 3663
Вишневский В.	2452
Вишневский Вс.	1329
Владимиров А.	2608, 2807, 2950
Владимиров В.	2672
Владимиров Г.	2672
Владимиров К.	2933
Владимиров М.	2838
Владимиров С.	3664
Владимирская Т.	5129
Владимирцев В.	2609
Владимов М.	2962
Владыкина-Бачинская Н.	2808
Власенко А.	1124, 3665
Власенко Л.	3145
Власов В.	3071
Власов Н.	2591
Власова С.	270
Внуков Н.	271—272, 372, 882, 3033
Воденичарова К.	2673
Водоносов М.	4442
Водопьянов М.	273, 1193, 1329, 2628
Вожжова Л.	274
Воздвиженский А.	2809
Вознесенский А.	1171, 2728
Воинов А.	275—276
Воинов Л.	2792
Войнич Э. Л.	2427—2429
Войскунский Е.	277
Волгин Г.	3221
Волгина Т.	278, 2757
Волевич И.	2453
Волжанин А.	4122
Волжина Т.	2607
Волк И.	279
Волков А.	280—282, 2608, 2810, 4697—4698
Волков А. А.	3666
Волков В.	283
Волков В. В.	2811
Волков И.	2924
Волков О.	4653
Волкова А. И.	2811
Волкова В.	5103
Волкова С.	284
Волконская М. Н.	2614
Волобуева И.	2634
Воловик А.	2623
Володин А.	811, 3667
Болотова И.	3698
Волочай В.	4363
Волынский Л.	2950
Вольнов А.	285
Вольпе Л.	325, 3668
Вольпе М.	4558
Вольпин М.	1483
Вольский А.	2636
Вольф.	2610
Вольф С.	286—288, 882, 2660
Вордсворт У.	2458
Воробкевич С.	2597
Воробьев А.	2792
Воробьев В.	289, 372, 437, 2623, 4699
Воробьев Е.	114, 290—291, 831, 1193, 1329, 2587, 2728, 3669
Воробьева И.	292, 2033
Воробьева М.	1
Воробьева Н.	3670, 4305
Воронин Г.	293
Воронин С.	294—296
Воронкова Л.	297—300, 1327, 1854, 2606, 2608, 2618, 2622, 2757, 3349, 3916, 4884
Воронов А.	3917
Воронов Б.	1422, 1483
Воронов В.	1397
Воронов Вл.	3671
Воронов Н.	2661
Воронова О.	4700
Воронцова Е.	1582
Воронько П.	2092, 2587, 2594, 2606, 2618
Ворошилов К. Е.	2868
Воскобойников В.	3034
Воскобойников Валерий.	301—302, 2662
Воскобойников Владимир.	303
Воскобойников М.	2620
Воскобойников Ю.	2624
Воскресенская З.	304—307, 539, 1329, 2607—2608, 2622, 2628, 3918
Востокова С.	2432, 4459
Вотяков А.	2093
Вохрышева М.	5004
Вощенков К.	2812
Вреттакос Н.	2458
Врона К.	3146—3147
Вронский Ю.	309
Врублевская Д.	4701
Всеволожский И.	310
Вуич Л.	3919
Вулис А.	3264
Вучетич В.	3920
Высотская О.	311, 2589, 2606, 2618
Высоцкая Г.	312
Вьет Линь.	2546
Вьюкова Т.	4921
Вядро Ш.	4205
Вяземский П А.	2616
Вяли Х.	2089, 2094—2095
Габбе Т.	2507—2508, 2512, 2528
Габдрахманов Р.	2077
Габе Д.	2516
Габитов Х.	2096
Гаврилов П.	313
Гаврилова И.	4526
Гагарин И.	314
Гагарин Ю. А.	2608
Гагауз Л.	4295
Гадагатль А.	2091
Гадаев В.	2602
Гаев М.	2663
Гаецкий Ю.	315
Гаирбекова М.	2119
Гай Г. Д.	2868
Гайдар А.	316—333, 552, 999.Л069, 1329, 2593, 2606—2607, 2622, 2630, 2634, 2698, 2748, 3676
Гайдар Т.	4125—4126
Гайдар-Голикова Д.	4146
Гайсарьян С.	2137, 4306, 4426
Гайсенюк З.	4206
Гайсултанов У.	2097, 2211
Гакина В.	1779, 2607, 3350
Галанов Б.	2933, 3677, 3698
Галахова Г.	334
Гали М.	2098, 2623
Галиев Ш.	1418, 2099, 2643
Галимов Ш.	3921
Галин Б.	2728
Галин Л.	2659
Галицкий А.	1104
Галкин А.	2100, 5107
Галкин И.	1439, 2816, 3001
Галкина Л.	5130—5132
Галлай М.	2867, 3678
Галчинский К. И.	2458
Галшоян М.	2051
Гальперин И.	3698
Гальперин Ю.	3679, 4460
Гальперштейн Л.	2607, 2817
Гамаюнов И.	2933
Гамзатов Р.	2101, 2119, 2606, 2607, 2614, 2641—2642,
Ганейзер Г.	2607, 2818—2819, 3072
Ганицкая И.	4993—4994
Ганкина Э.	4665, 4680, 4702—4705
Гантваргер О.	3680, 3922—3923
Гапонова А.	3811
Гараджа Д. И.	2788
Гаранжин В.	1, 335
Гареев А.	2077
Гарей Ю.	2102
Гарин-Михайловский Н. Г.	2627, 2629, 3024
Гарина О.	4707—4708
Гарипов Р.	962
Гаркави А.	3425
Гарнакерьян А.	4276
Гарсиа Лорка Ф.	2458, 2516
Гартман М.	2610
Гарф А.	2326, 2365, 2563, 2607—2608, 2617, 2620
Гаршин В М.	1648—1651, 2593, 2627
Гасанова Н.	5005
Гасенко Г.	1440, 2832
Гатилов В.	336
Гауф В.	2430
Гафури М.	2284
Гаче Б.	2431
Гачев Г.	4295
Гашева Н.	372
Гашек Я.	2432
Гейне Г.	2458, 2610
Геллер М.	338
Гельдерлин Ф.	2458
Гельдыев Н.	2596
Гембель А.	2823
Гендин Г.	2820
Георге Г.	3033
Георгиев Г.	339
Георгиева Г.	4709
Георгиева Н.	2664, 4207
Георгиевская С.	114, 340—343, 2614,
Георгиу Г.	2103
Герасимова Л.	2952
Геращенко А.	344
Гербер А.	2646
Герловина Э.	3033
Герман А.	2869
Герман В.	345
Герман М.	2665
Герман Ю.	346, 1329, 2606, 3698
Гернет Н.	347, 1611, 2603, 2666—2667
Герус А.	2838
Герцен А. И.	1653—1658, 3024
Герчук Ю.	4673, 4680, 4710—4711, 4771, 4842
Гершанова С.	1260, 2832
Гершензон М.	2548, 2571
Гершкович А.	2464, 4461, 4505
Гессе Н.	2334
Гессен А.	2607, 3563
Гете И.-В.	2433—2435, 2458, 2610
Геттуев М.	2104
Гешева Ф.	2971
Гидаш А.	2458
Гиззатуллин И.	2587
Гиленко В.	1337, 2614, 3680
Гилинская Э.	2971
Гильен Н.	2516
Гильзин К.	2821, 4646
Гиневский А.	464
Гинзбург В.	3044
Гинс Е.	337
Гирфанов А.	2077
Гиткович В.	1105
Главан З.	2822
Гладилина М.	463
Гладилина Т.	2952
Гладков Н.	4654
Гладкова Г.	3148
Глаз Е.	5004
Глазков М.	1426
Глазков Н.	2057, 4307
Глебов А.	348, 2607
Глебов В.	2625
Глибов Л.	2597
Глинин Г.	2324
Глинка М.	349, 882
Глоцер Вл.	3233, 3924—3925, 4665, 4856, 5033
Глухов А.	3926, 4640, 4647
Глухов П.	2105
Глушков В.	2825
Глушкова Л.	2623
Глязер С.	3073—3074
Гниловский В.	2826
Гнутов В.	1, 1440
Гоббе Л.	2827
Гоберман В.	3112
Говоров А.	350—351, 1054, 1341
Гоголь Н. В.	1659—1671, 2631, 2645
Годунова М.	352, 2757
Голант В.	2824, 3033
Голейзовский К.	2789
Голенкова А.	2962
Голешовски Ф.	4828
Голицын С.	353, 4857
Голованов Б.	354
Голованов К.	355
Голованова Т.	1876, 3351
Головатый Н.	1426
Головкин В.	4712
