author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex,lastname,ntitle
"Коньяков, В.",Димка и Журавлев,Повесть,1975-01-01,90000,FALSE,TRUE,FALSE,NA,Новосибирск,м,Коньяков,димка и журавлев
Копыленко А.,Очень хорошо,Повесть,1939-01-01,15000,NA,NA,TRUE,NA,М.-Л.,м,Копыленко,очень хорошо
Копыленко А.,Секрет,Повесть,1936-01-01,25000,TRUE,NA,NA,NA,М.-Л.,м,Копыленко,секрет
"Кораблинов, В.",В заповедном лесу,NA,1953-01-01,15000,FALSE,TRUE,FALSE,TRUE,Воронеж,м,Кораблинов,в заповедном лесу
"Кораблинов, В.",Олень-Золотые Рога,Рассказы,1972-01-01,100000,TRUE,TRUE,FALSE,FALSE,Воронеж,м,Кораблинов,олень золотые рога
"Коренев, В. В.",Ключи родника,Расказы,1983-01-01,30000,NA,TRUE,NA,NA,Хабаровск,м,Коренев,ключи родника
"Коржиков, В. Т.",Вот такой Пахомов!,Расказы,1983-01-01,2000000,TRUE,NA,NA,NA,NA,м,Коржиков,вот такой пахомов
"Коржиков, В. Т.",Коготь динозавра,Повесть,1979-01-01,100000,TRUE,FALSE,FALSE,FALSE,Москва,м,Коржиков,коготь динозавра
"Коржиков, В.",Мореплавание Солнышкина,Повесть,1970-01-01,100,TRUE,NA,NA,NA,Москва,м,Коржиков,мореплавание солнышкина
"Коржиков, В. Т.",Мореплавания Солнышкина,Повести,1982-01-01,100000,TRUE,NA,NA,NA,NA,м,Коржиков,мореплавания солнышкина
"Коржиков, В. Т.",Пусть посмотрит в глаза граница,повесть,1987-01-01,100000,TRUE,NA,NA,NA,Москва,м,Коржиков,пусть посмотрит в глаза граница
"Коринец, Ю.",Володины братья,Повесть,1975-01-01,150000,TRUE,TRUE,FALSE,NA,Москва,м,Коринец,володины братья
"Коринец, Ю. И.",Избранное,NA,1982-01-01,100000,TRUE,TRUE,NA,NA,NA,м,Коринец,избранное
"Коринец, Ю.",Привет от Вернера,Повесть,1979-01-01,100000,TRUE,TRUE,FALSE,FALSE,Москва,м,Коринец,привет от вернера
"Коркищенко, А.",За желтым ериком,Рассказы,1962-01-01,15000,TRUE,TRUE,FALSE,FALSE,Ростов-на-Дону,м,Коркищенко,за желтым ериком
"Коркищенко, А.",Старая лошадь Зина,Повесть,1973-01-01,30000,TRUE,TRUE,FALSE,FALSE,Ростов н/Д,м,Коркищенко,старая лошадь зина
"Коркищенко, А. А.",Твой светлый дом,Повесть,1980-01-01,30000,FALSE,TRUE,FALSE,FALSE,Ростов на Дону,м,Коркищенко,твой светлый дом
"Корнеев, А.",Как Санька на Луну летал,Рассказы,1963-01-01,30000,FALSE,TRUE,FALSE,FALSE,Орел,м,Корнеев,как санька на луну летал
"Корнилов, В.",Лесной хозяин,Повесть,1954-01-01,30000,FALSE,TRUE,FALSE,FALSE,Куйбышев,м,Корнилов,лесной хозяин
"Корнилова, М.",Катя из Мичуринска,NA,1960-01-01,30000,FALSE,FALSE,TRUE,NA,Ташкент,Ж,Корнилова,катя из мичуринска
"Корнилова, Г.",Наш знакомый Бумчик,Рассказ,1975-01-01,150000,TRUE,FALSE,FALSE,NA,Москва,ж,Корнилова,наш знакомый бумчик
"Коробейников, Г. А.",Пещера Рыжего монаха,повесть,1985-01-01,100000,NA,TRUE,NA,NA,Москва,м,Коробейников,пещера рыжего монаха
Короленко В. Г.,В дурном обществе,NA,1946-01-01,50000,FALSE,TRUE,TRUE,FALSE,Москва; Ленинград,м,Короленко,в дурном обществе
Короленко В. Г.,Дети подземелья,NA,1948-01-01,200000,TRUE,FALSE,FALSE,FALSE,Москва; Ленинград,м,Короленко,дети подземелья
Короленко В. Г.,Купленный мальчик,NA,1947-01-01,15000,FALSE,TRUE,FALSE,FALSE,Сталинабад,м,Короленко,купленный мальчик
Короленко В. Г.,Слепой музыкант,NA,1948-01-01,100000,FALSE,TRUE,FALSE,FALSE,Москва; Ленинград,м,Короленко,слепой музыкант
"Корольков, Юр.",Партизан Леня Голиков,Повесть,1953-01-01,30000,FALSE,TRUE,TRUE,FALSE,Москва,м,Корольков,партизан леня голиков
"Коростелев, П.",Компас,Рассказы,1962-01-01,65000,FALSE,TRUE,FALSE,FALSE,Москва,м,Коростелев,компас
"Коростелев, П.",Тайга и Ленька,Рассказы,1961-01-01,65000,FALSE,TRUE,FALSE,FALSE,Владимир,м,Коростелев,тайга и ленька
"Коротеев, Н. И.",По ту сторону костра,Повести и рассказы,1982-01-01,75000,NA,TRUE,TRUE,NA,NA,м,Коротеев,по ту сторону костра
"Коротков, Ю. М.",Авоська для земного шара,Повесть. Рассказы,1984-01-01,15000,TRUE,NA,NA,NA,Тула,м,Коротков,авоська для земного шара
"Коротков, Ю. М.",Мадемуазель Виктория,Повесть,1981-01-01,75000,TRUE,TRUE,FALSE,FALSE,Москва,м,Коротков,мадемуазель виктория
"Корпачев, Э.","Гони свой поезд, мальчик!",Повести и рассказы,1977-01-01,75000,FALSE,TRUE,TRUE,NA,Москва,м,Корпачев,гони свой поезд мальчик
"Корпачев, Э.",Зов походной трубы,Повесть,1974-01-01,150000,TRUE,FALSE,FALSE,NA,Москва,м,Корпачев,зов походной трубы
