author,title,genre,year,printrun,kid,junior,teen,exclude,location,sex
"Касаткин, М. И. ",Уголек и Яшонок,Повесть ,1979,75000,0,1,0,0,Москва,м
"Кассиль, Л. А.",Великое противостояние,Повесть,1979,200000,0,1,0,0,Киев,м
"Кассиль, Л. А.",Великое противостояние,Повесть,1980,50000,0,1,1,0,Москва,м
"Кассиль, Л. А.",Дорогие мои мальчишки,Повесть,1981,250000,0,1,0,0,Минск,м
"Кассиль, Л. А.",История с бородой,Рассказ,1980,500000,1,0,0,0,Москва,м
"Кассиль, Л. А.",Огнеопасный груз ,Рассказ,1979,750000,1,0,0,0,Москва,м
"Кассиль, Л. А.",Рассказы разных лет,Рассказ,1979,100000,0,1,1,0,Москва,м
"Кассиль, Л. А.",Тёня-Тотя,Повесть,1981,300000,1,0,0,0,Москва,м
"Кассиль, Л. А.","Три страны, которых нет на карте",Повесть,1979,300000,0,1,1,0,Алма-Ата,м
"Катаев, В. П.",Белеет парус одинокий,Северная повесть,1980,100000,0,0,0,0,Москва,м
"Кашафутдинов, И.",Высокая кровь,Повесть,1979,75000,0,0,1,0,Москва,м
"Квин, Л. И.",Везет же людям,Повесть,1979,50000,0,1,1,0,Барнаул,м
"Квин, Л. И.",Ржавый капкан на зеленом поле,Роман,1980,75000,0,0,1,0,Москва,м
"Киндер, И. Ф.",Степные зарницы,Рассказы,1981,105000,0,0,1,0,Казань,м
"Кирносов, А. А.",Свидание с морем,Роман,1981,100000,1,0,0,0,Ленинград,м
"Кирпичникова, И. П.",Самый трудный километр,Повесть,1979,150000,1,0,0,0,Ленинград,ж
"Киршина, К. Д. ",Вот какая история,Рассказы,1981,100000,1,0,0,0,Куйбышев,ж
"Кирюшкин, В. В.",Золотой медведь,Повесть,1981,50000,0,0,0,0,Куйбышев,м
"Киселев, В. Л. ",Любовь и картошка,Роман,1979,100000,0,0,1,0,Москва,м
"Киселев, Г. ","Возьмемся за руки, друзья",Повесть,1980,15000,0,0,0,0,Ташкент,м
"Кларов, Ю. М.",Печать и колокол,Рассказы,1981,150000,0,1,1,0,Москва,м
"Клеменьтева, О. С.","Яник, Таня и собака Жолька",Повесть,1981,150000,1,0,0,0,Казань,ж
"Климович, Л. М.",Учусь на человека,Повесть,1980,75000,0,0,1,0,Москва,м
"Климычев, Б. Н. ",Часы деревянные с боем,Повесть,1981,30000,0,1,0,0,Новосибирск,м
"Ковалев, Ю. А.",Выстрела он не услышал,Повесть и рассказы,1980,15000,0,0,0,0,Ташкент,м
"Коваль, Ю. И. ",Недопесок,Повесть,1979,100000,1,0,0,0,Москва,м
"Когинов, Ю. И. ",Берестяная грамота,Повесть,1981,100000,1,0,0,0,Москва,м
"Кожевников, А. В. ",Парень с большим именем,Рассказы,1979,100000,0,1,1,0,Москва,м
"Козачинский, А. В.",Зеленый фургон,Повесть,1979,300000,0,1,1,0,Барнаул,м
"Козлов, В. Ф.",Гость из леса,Повесть,1981,150000,1,0,0,0,Ленинград,м
"Козлов, В. Ф.",Президент не уходит в отставку,Повесть,1979,100000,0,1,1,0,Ленинград,м
"Козлов, В. Ф.",Юрка Гусь,Повести и рассказы,1980,100000,0,1,1,0,Ленинград,м
"Козлов, Ю. А. ",Добрая ягода калина,Рассказы и повесть,1981,100000,0,1,1,0,Москва,м
"Коковин, Е. С.",Гостья из Заполярья,Рассказы и повесть,1980,100000,1,0,0,0,Москва,м
"Коковин, Е. С.",Детство в Соломбале,Повесть,1979,50000,0,1,0,0,Архангельск,м
"Колосов, М. М.",Яшкина одиссея,Повесть,1979,65000,0,1,0,0,Москва,м
"Кондрашов, В. П.",Рыжий - не рыжий,Повесть,1979,100000,0,0,1,0,Москва,м
"Константинов, А. И.",Ординарец начдива,Повесть,1979,65000,0,1,1,0,Орленко,м
"Конторович, Л. И.",Колька и Наташа,Повесть,1981,30000,0,1,0,0,Урал,м
"Коржиков, В. Т.",Коготь динозавра,Повесть,1979,100000,1,0,0,0,Москва,м
"Коринец, Ю.",Привет от Вернера,Повесть,1979,100000,1,1,0,0,Москва,м
"Коркищенко, А. А.",Твой светлый дом,Повесть,1980,30000,0,1,0,0,Ростов на Дону,м
"Коротков, Ю. М.",Мадемуазель Виктория,Повесть,1981,75000,1,1,0,0,Москва,м
"Корпачев, Э. М.",Хвала гимнастерке,Повесть,1979,30000,0,1,1,0,Минск,м
"Коршунов, М. П.",Бульвар под ливнем,Роман,1981,100000,0,0,1,0,Москва,м
"Коршунов, М. П.",Рассказы старого шахтера,Рассказы,1981,150000,1,0,0,0,Москва,м
"Коршунов, М. П.",Школьная вселенная,Повесть,1980,100000,1,0,0,0,Москва,м
"Коряков, О.Ф.",Парень с космодрома,Повесть,1980,75000,0,0,0,0,Свердловск,м
